purify,purify_family,strength,method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,drop_psnr,drop_ssim,drop_vifp,drop_fsim,drop_lpips,drop_valid
jpeg_q90,jpeg,90,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.74813461303711,0.5764864683151245,0.1450749784708023,0.6952864527702332,0.40723514556884766,-0.12265276907949875,-0.18952565271271,-0.21217984749230873,-0.06810576077155062,0.12333117810386085,True
jpeg_q80,jpeg,80,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,14.043599128723145,0.5985649228096008,0.17299439013004303,0.7076011300086975,0.38304492831230164,-0.1467799736811406,-0.23508246876458952,-0.445461620296326,-0.08702368682640038,0.17540627401456635,True
jpeg_q65,jpeg,65,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.616043090820312,0.5308103561401367,0.12732331454753876,0.6931377649307251,0.4787658154964447,-0.11186636660654146,-0.09527728759994668,-0.06385510194311625,-0.06480492576989877,-0.030655305668980618,True
jpeg_q50,jpeg,50,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.787300109863281,0.4974977374076843,0.1171347051858902,0.6957425475120544,0.5137574076652527,-0.1258509668497316,-0.026539829360720104,0.021276235468369212,-0.06880641791689833,-0.10598288536510224,True
blur_s0.5,blur,0.5,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,12.215933799743652,0.4677175283432007,0.1076478362083435,0.6478559970855713,0.48076915740966797,0.002464531139440893,0.034908833482805456,0.10054415273155533,0.004757363126461839,-0.03496796731921061,True
blur_s1.0,blur,1.0,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.384943008422852,0.3456858992576599,0.0694226548075676,0.6104910969734192,0.6482466459274292,-0.09299506844569987,0.28670963231825114,0.4199362012375897,0.06215768338501275,-0.3955024009273432,True
blur_s1.5,blur,1.5,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.263615608215332,0.3018607497215271,0.059748079627752304,0.5546502470970154,0.6938636302947998,-0.08308764859260764,0.3771387099678311,0.5007725052621435,0.14794093603106478,-0.49370362049039407,True
crop_r0.1,crop_resize,0.1,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.372108459472656,0.5535648465156555,0.1388765126466751,0.6850791573524475,0.42401498556137085,-0.09194701775923368,-0.14222904016265978,-0.16038831571628306,-0.05242521501347474,0.08720865106287372,True
crop_r0.2,crop_resize,0.2,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.039237022399902,0.5151287317276001,0.1277579814195633,0.6750098466873169,0.4640275537967682,-0.06476521811182354,-0.06291972928736972,-0.06748697856439524,-0.036956642764478846,0.001072246978775887,True
crop_r0.3,crop_resize,0.3,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.350336074829102,0.5110588073730469,0.11027909070253372,0.6932063102722168,0.4960199296474457,-0.09016911634951283,-0.054521822848228645,0.0785585994328321,-0.06491022578520848,-0.06779881867420154,True
advclean_bf,advclean_bf,,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.613351821899414,0.510210394859314,0.1197599396109581,0.6909980177879333,0.49031195044517517,-0.11164660148265919,-0.05277120335473499,-0.0006590168994319419,-0.06151782555285255,-0.05551105948369187,True
advclean_bfgf,advclean_bfgf,,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.768970489501953,0.5952576398849487,0.16849902272224426,0.702640175819397,0.3866320848464966,-0.12435419658714575,-0.22825820124769458,-0.40790039618831,-0.07940262110966805,0.16768408125441797,True
jpeg_q90,jpeg,90,pg_diff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.747657775878906,0.5237177610397339,0.12790460884571075,0.6918878555297852,0.46406859159469604,0.014649028119090819,-0.2211498384568014,-0.3509057691174229,-0.03595431394025621,0.17451700027969252,True
jpeg_q80,jpeg,80,pg_diff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.859159469604492,0.5216859579086304,0.12483041733503342,0.7039036750793457,0.4832093119621277,0.006657244786249632,-0.21641229421083713,-0.3184367042054974,-0.053945437788446154,0.14046957808415075,True
jpeg_q65,jpeg,65,pg_diff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.980759620666504,0.5070789456367493,0.1196572333574295,0.706636369228363,0.5005471110343933,-0.002058336368239678,-0.18235320360307974,-0.2637984535347883,-0.05803706372135998,0.10962918369861233,True
