image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.07049,0.97857,30.226,0.72374,0.02962,0.09616,0.92923,23.848,0.53447,0.05065,0.59139,0.03081,117.6
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.10573,0.97286,30.408,0.65528,0.05017,0.12954,0.89816,24.956,0.44832,0.07844,0.53336,0.03017,117.5
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.12514,0.93322,24.586,0.54127,0.07748,0.23401,0.73921,18.232,0.34784,0.17461,0.77693,0.05898,117.6
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.14494,0.99085,41.85,0.7688,0.03399,0.15276,0.88766,22.296,0.71408,0.13731,0.32787,0.00808,117.2
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.05957,0.98448,33.905,0.76668,0.05282,0.07892,0.93784,26.643,0.62516,0.06715,0.49223,0.02017,117.6
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.14829,0.95672,32.957,0.68194,0.0212,0.23044,0.80681,22.039,0.36916,0.10816,0.38199,0.0225,117.8
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.13419,0.97657,34.582,0.72185,0.02232,0.16822,0.91656,28.155,0.4707,0.0421,0.30206,0.01866,117.7
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.18692,0.93427,32.139,0.63663,0.03565,0.25119,0.80896,19.884,0.52639,0.15629,0.29018,0.02472,117.6
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.21584,0.87989,20.645,0.49046,0.07117,0.34277,0.60612,17.348,0.21922,0.17309,0.89573,0.09284,117.5
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.14785,0.95817,27.196,0.57832,0.05682,0.17348,0.86893,22.374,0.36685,0.08723,0.69978,0.04367,117.5
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.1992,0.92174,26.535,0.50128,0.079,0.29497,0.6989,19.838,0.24709,0.18762,0.7549,0.04713,117.6
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.0818,0.97971,31.77,0.73047,0.04033,0.19715,0.85024,17.126,0.50747,0.13523,0.55238,0.02579,117.6
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.20255,0.95853,29.135,0.64608,0.05814,0.2271,0.80543,20.876,0.39787,0.14025,0.5256,0.03493,117.5
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.10007,0.97753,36.901,0.79171,0.03025,0.11673,0.91956,29.654,0.66541,0.06786,0.45572,0.01429,117.4
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.10607,0.94969,27.31,0.7309,0.0423,0.14666,0.88031,23.708,0.54114,0.05201,0.56427,0.0431,117.6
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.25954,0.90648,24.787,0.58558,0.0692,0.41213,0.45017,13.544,0.08257,0.24964,0.66815,0.05763,117.5
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.17284,0.97908,35.05,0.74873,0.0349,0.18393,0.90465,28.004,0.47494,0.06488,0.40873,0.01768,117.5
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.20254,0.9452,28.212,0.65057,0.06054,0.3891,0.71804,17.438,0.27559,0.1712,0.81176,0.03885,117.5
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.17453,0.93371,26.269,0.56981,0.06003,0.20227,0.81194,22.157,0.37651,0.08133,0.63688,0.04859,117.4
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,2.2,False,2.0,100,7.5,1.5,20260812,False,0.05594,0.98997,39.871,0.87901,0.02372,0.22921,0.84691,21.561,0.74049,0.16568,0.35513,0.01015,117.2
