image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,delta_within_1,delta_nonzero,zero_coef_frac,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_unified,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.8398,0.32477,0.83581,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5675,0.79701,14.791,0.12291,0.19962,0.59333,0.46564,10.153,0.13368,0.31322,1.0,0.18216,0.76807,0.76103,True,0.837,191.5
task_attr_mod_color_136767,dct_unified,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.81157,0.36386,0.83135,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57953,0.70936,14.396,0.11186,0.312,0.63432,0.26666,7.566,0.02793,0.39806,1.0,0.19063,0.77576,0.80539,True,0.837,182.5
task_attr_mod_color_184837,dct_unified,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.6871,0.53592,0.73483,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.67308,0.65288,11.518,0.09512,0.29512,0.78456,0.13805,6.37,0.03356,0.66976,1.0,0.26552,0.69717,0.63151,True,0.837,182.5
task_attr_mod_color_32648,dct_unified,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95418,0.15118,0.94156,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49329,0.85374,21.26,0.06986,0.23894,0.41067,0.69254,17.367,0.20419,0.2325,1.0,0.0865,0.87704,0.89241,False,0.837,182.5
task_attr_mod_color_6205,dct_unified,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.85929,0.3193,0.872,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57884,0.72465,16.116,0.14119,0.24598,0.72911,0.20253,6.954,0.38268,0.54683,1.0,0.15638,0.62478,0.56199,True,0.837,182.5
task_env_weather_112463,dct_unified,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.7858,0.4599,0.85591,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.75681,0.66345,14.76,0.1125,0.22045,0.87888,0.25787,10.061,0.10528,0.38145,1.0,0.1828,0.55407,0.57261,True,0.837,182.5
task_obj_remove_380621,dct_unified,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.8046,0.41321,0.80157,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.68252,0.69811,14.918,0.11586,0.23704,0.75266,0.23819,7.463,0.04138,0.40395,1.0,0.17952,0.71973,0.68626,True,0.837,182.5
task_obj_swap_joint_mask_276754,dct_unified,instruct-pix2pix,Replace the satellite dish with rocket,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.67273,0.50466,0.69052,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54169,0.51628,13.283,0.04536,0.29869,0.64955,0.5365,12.925,0.0135,0.38807,1.0,0.21669,0.85822,0.87578,False,0.837,182.5
task_obj_swap_joint_mask_533428,dct_unified,instruct-pix2pix,Replace the samurai armor with red jacket,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.68875,0.57052,0.74767,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.6951,0.5542,12.143,0.07947,0.31623,0.64562,0.23588,9.121,0.06013,0.29902,1.0,0.24708,0.62191,0.60063,True,0.837,182.6
task_obj_swap_rand_mask_417469,dct_unified,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.77013,0.46133,0.80663,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.68076,0.5591,14.174,0.0814,0.28985,0.77409,0.20151,8.928,0.04152,0.49495,1.0,0.19558,0.43117,0.48856,True,0.837,182.5
