image,condition,displacement,acutance_ratio,matched_sigma,blur_control_lpips,blur_explained,sigma_reachable
task_attr_mod_color_11699,base_s025,0.35483,0.1744,1.7091,0.23822,0.6714,True
task_attr_mod_color_11699,base_s050,0.39206,0.1067,2.1856,0.3005,0.7665,True
task_attr_mod_color_11699,dct_s0100,0.41813,0.0794,2.5071,0.33515,0.8015,True
task_attr_mod_color_11699,pgx_g78,0.35474,0.0501,3.0771,0.38421,1.0831,True
task_attr_mod_color_11699,phase_s0100,0.1377,0.5603,0.7532,0.08485,0.6162,True
task_attr_mod_color_11699,phase_s1000,0.10912,0.6222,0.6699,0.06681,0.6123,True
task_attr_mod_color_11699,q00_e10_r127,0.17594,0.526,0.8036,0.09482,0.5389,True
task_attr_mod_color_11699,y_e10_a,0.37923,0.1247,2.0264,0.28105,0.7411,True
task_attr_mod_color_11699,y_e20_a,0.4611,0.077,2.5429,0.3386,0.7343,True
task_attr_mod_color_11699,y_e30_a,0.51838,0.1425,1.8982,0.2643,0.5099,True
task_attr_mod_color_136767,base_s025,0.42157,0.2936,1.5497,0.19045,0.4518,True
task_attr_mod_color_136767,base_s050,0.55361,0.178,2.3245,0.28843,0.521,True
task_attr_mod_color_136767,dct_s0100,0.57552,0.2376,1.8447,0.23367,0.406,True
task_attr_mod_color_136767,pgx_g78,0.48173,0.1637,2.4762,0.30262,0.6282,True
task_attr_mod_color_136767,phase_s0100,0.20858,0.5349,0.8799,0.07339,0.3518,True
task_attr_mod_color_136767,phase_s1000,0.1801,0.5686,0.8194,0.0631,0.3504,True
task_attr_mod_color_136767,q00_e10_r127,0.23575,0.4519,1.0509,0.10358,0.4394,True
task_attr_mod_color_136767,y_e10_a,0.58398,0.413,1.1463,0.12071,0.2067,True
task_attr_mod_color_136767,y_e20_a,0.63042,0.3937,1.1989,0.13008,0.2063,True
task_attr_mod_color_136767,y_e30_a,0.6317,0.2549,1.7418,0.21967,0.3477,True
task_attr_mod_color_184837,base_s025,0.36109,0.2739,1.443,0.16615,0.4601,True
task_attr_mod_color_184837,base_s050,0.40521,0.2194,1.6698,0.21039,0.5192,True
task_attr_mod_color_184837,dct_s0100,0.45415,0.166,1.9902,0.2669,0.5877,True
task_attr_mod_color_184837,pgx_g78,0.50574,0.0501,3.9575,0.47055,0.9304,True
task_attr_mod_color_184837,phase_s0100,0.28389,0.225,1.6453,0.20554,0.724,True
task_attr_mod_color_184837,phase_s1000,0.20061,0.2759,1.4356,0.16473,0.8211,True
task_attr_mod_color_184837,q00_e10_r127,0.3436,0.2007,1.7672,0.22861,0.6653,True
task_attr_mod_color_184837,y_e10_a,0.37755,0.2215,1.6624,0.20883,0.5531,True
task_attr_mod_color_184837,y_e20_a,0.50285,0.0982,2.7062,0.36344,0.7228,True
task_attr_mod_color_184837,y_e30_a,0.63285,0.0657,3.3972,0.43032,0.68,True
task_attr_mod_color_32648,base_s025,0.38497,0.1077,5.9444,0.36022,0.9357,True
task_attr_mod_color_32648,base_s050,0.40387,0.1057,6.0148,0.36123,0.8944,True
task_attr_mod_color_32648,dct_s0100,0.58771,0.5764,1.2206,0.13061,0.2222,True
task_attr_mod_color_32648,pgx_g78,0.36574,0.2519,3.1249,0.28971,0.7921,True
task_attr_mod_color_32648,phase_s0100,0.18204,0.4819,1.5726,0.17574,0.9654,True
task_attr_mod_color_32648,phase_s1000,0.16855,0.4659,1.6445,0.18401,1.0917,True
task_attr_mod_color_32648,q00_e10_r127,0.20646,0.4341,1.7926,0.20018,0.9696,True
task_attr_mod_color_32648,y_e10_a,0.62175,0.5273,1.3903,0.1531,0.2462,True
task_attr_mod_color_32648,y_e20_a,0.63647,0.4116,1.9122,0.21193,0.333,True
task_attr_mod_color_32648,y_e30_a,0.6325,0.3849,2.0617,0.22542,0.3564,True
task_attr_mod_color_6205,base_s025,0.48413,0.1648,2.8866,0.31552,0.6517,True
task_attr_mod_color_6205,base_s050,0.57609,0.1052,4.0631,0.38851,0.6744,True
task_attr_mod_color_6205,dct_s0100,0.63279,0.0471,7.2821,0.49653,0.7847,True
task_attr_mod_color_6205,pgx_g78,0.53627,0.1204,3.6717,0.36721,0.6847,True
task_attr_mod_color_6205,phase_s0100,0.23302,0.3963,1.3658,0.15111,0.6485,True
task_attr_mod_color_6205,phase_s1000,0.12924,0.53,1.0053,0.09369,0.7249,True
task_attr_mod_color_6205,q00_e10_r127,0.26741,0.3312,1.6158,0.1864,0.6971,True
task_attr_mod_color_6205,y_e10_a,0.57575,0.0898,4.5739,0.41273,0.7169,True
task_attr_mod_color_6205,y_e20_a,0.74364,0.0114,,,,False
task_attr_mod_color_6205,y_e30_a,0.74527,0.0027,,,,False
task_env_weather_112463,base_s025,0.39809,0.321,1.9158,0.18942,0.4758,True
task_env_weather_112463,base_s050,0.41424,0.1577,3.0453,0.31415,0.7584,True
task_env_weather_112463,dct_s0100,0.83532,0.2482,2.3081,0.23697,0.2837,True
task_env_weather_112463,pgx_g78,0.44815,0.1594,3.0271,0.31252,0.6974,True
task_env_weather_112463,phase_s0100,0.27564,0.8828,0.4868,0.008,0.029,True
task_env_weather_112463,phase_s1000,0.2529,0.9279,0.4286,0.00298,0.0118,True
task_env_weather_112463,q00_e10_r127,0.32542,0.7846,0.6381,0.02595,0.0797,True
task_env_weather_112463,y_e10_a,0.4385,0.9398,0.4129,0.00207,0.0047,True
