image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34456,0.92798,23.987,0.39012,0.11909,0.49378,0.61498,12.886,0.21804,0.28111,0.96471,0.06319,0.7906,0.80523,True,0.837,185.7
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40615,0.8904,24.107,0.31584,0.19436,0.56336,0.41865,9.881,0.177,0.34307,0.99608,0.06232,0.78304,0.83915,False,0.837,176.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4661,0.83946,20.269,0.27227,0.24097,0.73768,0.18641,7.665,0.1679,0.42711,0.76471,0.09695,0.7788,0.80187,True,0.837,176.9
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42783,0.96805,32.807,0.35447,0.09938,0.35612,0.67616,14.692,0.62513,0.27227,0.77111,0.02289,0.93225,0.92417,False,0.837,176.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34259,0.92573,26.881,0.43321,0.15251,0.56798,0.39397,9.102,0.39967,0.35617,0.86275,0.04529,0.83255,0.76173,True,0.837,176.7
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45159,0.9089,27.909,0.42355,0.09849,0.80021,0.43213,11.216,0.2003,0.32846,0.78017,0.04023,0.64523,0.57808,True,0.837,177.0
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43206,0.8093,18.785,0.23364,0.17841,0.62707,0.24924,14.136,0.117,0.36435,1.0,0.11502,0.88106,0.86056,False,0.837,177.0
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40299,0.9124,23.279,0.3293,0.12074,0.51579,0.56322,15.217,0.18983,0.30717,0.80392,0.06855,0.8406,0.78737,True,0.837,177.1
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50041,0.85803,23.423,0.30788,0.17667,0.55753,0.37492,15.547,0.20093,0.37292,0.66688,0.06743,0.86831,0.72551,True,0.837,177.1
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.15,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40728,0.91293,24.256,0.43447,0.12739,0.5062,0.48868,10.569,0.25887,0.29249,1.0,0.06126,0.80493,0.76831,True,0.837,177.1
