image_id,op,dtype,psnr,linf,ssim,vif_p,fsim,lpips,dists,acutance_ratio,rms,frac_gt_16_255,k_inv,t_max,exact_inversion
bird_03,vae_roundtrip,fp32,30.09650993347168,0.7943136692047119,0.9254118204116821,0.4260016977787018,0.9515334963798523,0.13304448127746582,0.030179202556610107,0.9604551792144775,0.03127319738268852,0.043702445924282074,,,
cat_02,vae_roundtrip,fp32,24.3230037689209,0.5750300884246826,0.7788256406784058,0.2383107841014862,0.9192352890968323,0.2398258000612259,0.057174086570739746,0.9193326830863953,0.06079239398241043,0.2470601499080658,,,
dog_03,vae_roundtrip,fp32,26.330957412719727,0.5460130572319031,0.87347811460495,0.4370393455028534,0.9491490721702576,0.14034885168075562,0.025224149227142334,0.9484386444091797,0.04824487864971161,0.1384836882352829,,,
bird_03,recon,fp32,20.39759635925293,0.7070922255516052,0.6155936121940613,0.208851620554924,0.638552725315094,0.5729438066482544,0.544297993183136,0.0073545766063034534,0.09552562236785889,0.3533058166503906,10,999,False
cat_02,recon,fp32,18.713117599487305,0.6781439781188965,0.3268027603626251,0.06053173914551735,0.562127411365509,0.6957876086235046,0.4707052707672119,0.07347393780946732,0.11596954613924026,0.5950139760971069,10,999,False
dog_03,recon,fp32,16.40272331237793,0.7355327606201172,0.3830907344818115,0.15505558252334595,0.5605429410934448,0.6834934949874878,0.48235374689102173,0.021213456988334656,0.15130865573883057,0.6708488464355469,10,999,False
bird_03,recon,fp32,30.09650993347168,0.7943134307861328,0.9254117012023926,0.42600056529045105,0.9515333771705627,0.13304448127746582,0.030179321765899658,0.9604553580284119,0.03127319738268852,0.043702445924282074,10,999,True
cat_02,recon,fp32,24.3230037689209,0.575029730796814,0.7788258790969849,0.23831085860729218,0.9192352294921875,0.2398257851600647,0.05717414617538452,0.9193326234817505,0.06079239398241043,0.24705633521080017,10,999,True
dog_03,recon,fp32,26.330957412719727,0.5460140705108643,0.8734781742095947,0.4370405077934265,0.9491491913795471,0.1403488665819168,0.02522408962249756,0.9484382271766663,0.04824487492442131,0.13848242163658142,10,999,True
bird_03,recon,fp32,27.291276931762695,0.756956160068512,0.8330366015434265,0.44522830843925476,0.8345354795455933,0.2633058428764343,0.13589739799499512,0.48559796810150146,0.043195150792598724,0.11343511193990707,10,500,False
cat_02,recon,fp32,22.062044143676758,0.5657517910003662,0.5782606601715088,0.20405514538288116,0.7757126688957214,0.47090718150138855,0.2820585370063782,0.19306565821170807,0.07886739820241928,0.4275347590446472,10,500,False
dog_03,recon,fp32,24.47686004638672,0.5358827710151672,0.7888511419296265,0.4153423011302948,0.8879806399345398,0.2358371466398239,0.12138915061950684,0.43763571977615356,0.05972504988312721,0.21685664355754852,10,500,False
bird_03,recon,fp32,30.09650993347168,0.7943129539489746,0.9254117012023926,0.42600196599960327,0.9515334963798523,0.13304448127746582,0.030179262161254883,0.9604552984237671,0.03127319738268852,0.043702445924282074,10,500,True
cat_02,recon,fp32,24.3230037689209,0.5750300884246826,0.7788259387016296,0.23831091821193695,0.9192351698875427,0.2398257702589035,0.05717414617538452,0.9193326830863953,0.06079239398241043,0.24706141650676727,10,500,True
dog_03,recon,fp32,26.330957412719727,0.5460131764411926,0.87347811460495,0.4370395243167877,0.9491490721702576,0.14034885168075562,0.025224149227142334,0.9484385848045349,0.04824488237500191,0.13848242163658142,10,500,True
bird_03,recon,fp32,29.225013732910156,0.7604278326034546,0.8978794813156128,0.4538838863372803,0.9139790534973145,0.19210347533226013,0.08418875932693481,0.6834641695022583,0.034573834389448166,0.060751598328351974,10,300,False
cat_02,recon,fp32,24.163536071777344,0.4995579421520233,0.7384783029556274,0.23838992416858673,0.887800931930542,0.30737829208374023,0.13958442211151123,0.4716044068336487,0.06191880255937576,0.2699699401855469,10,300,False
dog_03,recon,fp32,25.953189849853516,0.5800228118896484,0.845955491065979,0.4409489333629608,0.9313079714775085,0.1754264235496521,0.06635743379592896,0.6834153532981873,0.050389453768730164,0.15280279517173767,10,300,False
bird_03,recon,fp32,30.09650993347168,0.7943135499954224,0.9254118800163269,0.426002562046051,0.951533317565918,0.13304449617862701,0.030179202556610107,0.9604551792144775,0.03127319738268852,0.043702445924282074,10,300,True
cat_02,recon,fp32,24.3230037689209,0.5750302076339722,0.7788257002830505,0.23831075429916382,0.9192352294921875,0.23982581496238708,0.057174086570739746,0.9193328619003296,0.06079239398241043,0.24706141650676727,10,300,True
dog_03,recon,fp32,26.330957412719727,0.5460124015808105,0.8734780550003052,0.4370401203632355,0.9491492509841919,0.1403488665819168,0.02522408962249756,0.9484386444091797,0.04824488237500191,0.13848242163658142,10,300,True
bird_03,recon,fp32,29.781198501586914,0.7756869196891785,0.9147461652755737,0.44792160391807556,0.9358150959014893,0.1652740240097046,0.06280052661895752,0.7803884148597717,0.03242933005094528,0.0490163192152977,10,200,False
cat_02,recon,fp32,24.42938232421875,0.5098503828048706,0.7655609846115112,0.24088424444198608,0.9068722128868103,0.2700551152229309,0.09645003080368042,0.6174779534339905,0.06005237624049187,0.2485097348690033,10,200,False
dog_03,recon,fp32,26.216781616210938,0.5462560653686523,0.861247181892395,0.4435123801231384,0.9412796497344971,0.15542033314704895,0.047299861907958984,0.7809619307518005,0.04888325184583664,0.1419423520565033,10,200,False
bird_03,recon,fp32,30.09650993347168,0.794313371181488,0.9254118800163269,0.4260014593601227,0.9515334367752075,0.13304448127746582,0.030179321765899658,0.9604551792144775,0.03127319738268852,0.043702445924282074,10,200,True
cat_02,recon,fp32,24.3230037689209,0.5750303268432617,0.7788257002830505,0.23831067979335785,0.9192351698875427,0.2398258000612259,0.057174086570739746,0.9193326234817505,0.06079239398241043,0.2470601499080658,10,200,True
dog_03,recon,fp32,26.330957412719727,0.5460128784179688,0.8734780550003052,0.43703973293304443,0.9491491913795471,0.1403488665819168,0.02522420883178711,0.9484385848045349,0.04824487864971161,0.1384836882352829,10,200,True
