image,condition,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_linf,fid_clip_img,fid_nima,fid_cnniqa,gen_lpips,gen_lpips_full,clip_orig,clip_def,clip_drop,attack_strength,mask_coverage,active_fraction,amp_dev
horse_03,phase,1.3,49.3,0.1377,0.9633,0.0343,32.735,0.5274,0.9945,4.8714,0.6855,0.1254,0.3017,0.2307,0.2291,0.0015,0.3922,0.4795,0.4581,0.01893
horse_03,phase_out,1.3,32.2,0.1268,0.9696,0.0346,33.7021,0.3857,0.9966,4.8638,0.6729,0.1189,0.2926,0.2307,0.2251,0.0056,0.3922,0.4795,0.2646,0.01643
horse_03,phase_rand,1.3,17.9,0.0844,0.9519,0.0485,31.4843,0.3774,0.9926,4.9878,0.697,0.0569,0.1327,0.2307,0.2296,0.0011,0.3922,0.4795,0.4581,0.02506
horse_03,add,0.004705882352941176,32.6,0.0349,0.9991,0.0029,51.0727,0.0047,0.999,5.1562,0.6917,0.0637,0.1269,0.2307,0.2292,0.0015,0.3922,0.4795,,
horse_03,add_out,0.004705882352941176,32.8,0.0348,0.9991,0.0029,51.0754,0.0047,0.9984,5.1559,0.6917,0.059,0.1221,0.2307,0.2288,0.0018,0.3922,0.4795,,
horse_03,photoguard_c,,6867.5,0.1076,0.9854,0.021,40.8966,0.2615,0.9926,5.1067,0.6912,0.2403,0.3929,0.2307,0.2118,0.0189,0.3922,0.4795,,
horse_03,advpaint,,82.4,0.3239,0.9501,0.0704,33.5086,0.03,0.9758,4.8233,0.6866,0.1382,0.4374,0.2307,0.2563,-0.0256,0.3922,0.4795,,
horse_03,promptflare,,195.5,0.1681,0.9772,0.0469,37.3324,0.0235,0.9717,4.9545,0.6881,0.1371,0.3406,0.2307,0.2409,-0.0102,0.3922,0.4795,,
