image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,P,1,a wrecked car after an accident,25,20,10,1,96.7,10145.0,14.62,298.3333333333333,1.3333333333333333,1.0,1.0,1.0,0.00995635986328125,0.409505695104599,0.401982843875885,0.007522847503423691,0.09801717102527618,46.40651321411133,0.034206271171569824,46.40651321411133,0.034206271171569824,0.9982964396476746,0.005819287151098251
car_00,P,4,a wrecked car after an accident,25,20,10,1,96.7,11506.4,9.06,324.6666666666667,4.333333333333333,4.0,4.0,4.0,0.01151275634765625,0.32180652022361755,0.3027154803276062,0.019091036170721054,0.1972845196723938,42.40752410888672,0.05520355701446533,42.40752410888672,0.05520355701446533,0.9955300092697144,0.01462104544043541
car_00,P,16,a wrecked car after an accident,25,20,10,1,96.7,11508.9,6.11,357.6666666666667,17.0,10.666666666666666,16.0,15.333333333333334,0.0136324567720294,2.4505655765533447,0.22703713178634644,2.2235283851623535,0.27296286821365356,38.66614532470703,0.08181171864271164,38.66614532470703,0.08181171864271164,0.9896356463432312,0.03199215978384018
car_00,L,1,a wrecked car after an accident,25,20,10,1,295.0,11512.1,0.5,512.0,334.0,179.66666666666666,,,,1.2303158044815063,0.39392367005348206,0.8363921642303467,0.10607633739709854,57.074241638183594,0.06389549374580383,19.613956451416016,1.0,0.7562859058380127,0.20312857627868652
car_00,L,4,a wrecked car after an accident,25,20,10,1,297.7,11509.4,0.5,512.0,334.0,179.66666666666666,,,,1.3805233240127563,0.3924151062965393,0.988108217716217,0.10758490860462189,56.43052673339844,0.06540852785110474,19.61566162109375,1.0,0.7560998201370239,0.20335513353347778
car_00,L,16,a wrecked car after an accident,25,20,10,1,297.6,11510.8,0.5,512.0,334.0,179.66666666666666,,,,1.532212495803833,0.39047378301620483,1.1417386531829834,0.10952620208263397,55.33989715576172,0.06694722175598145,19.623703002929688,1.0,0.7561640739440918,0.2031804621219635
car_01,P,1,a wrecked car after an accident,25,20,10,1,96.9,11504.0,17.49,173.66666666666666,1.0,1.0,1.0,1.0,0.0017674764385446906,0.3739585876464844,0.35866156220436096,0.015297031961381435,0.14133843779563904,45.23477554321289,0.02858838438987732,45.23477554321289,0.02858838438987732,0.9975857734680176,0.012882805429399014
car_01,P,4,a wrecked car after an accident,25,20,10,1,97.2,11507.2,8.38,199.66666666666666,4.0,3.6666666666666665,4.0,4.0,0.002109527587890625,0.2640046179294586,0.23308175802230835,0.030922871083021164,0.26691824197769165,41.48955535888672,0.05965232849121094,41.48955535888672,0.05965232849121094,0.9947305917739868,0.02565346285700798
car_01,P,16,a wrecked car after an accident,25,20,10,1,96.8,11507.6,5.9,238.0,16.0,11.333333333333334,16.0,15.666666666666666,0.0029627482872456312,2.708165168762207,0.17140525579452515,2.536759853363037,0.32859474420547485,37.995906829833984,0.08473759889602661,37.995906829833984,0.08473759889602661,0.9886716604232788,0.05167137458920479
car_01,L,1,a wrecked car after an accident,25,20,10,1,297.7,11513.3,0.54,512.0,336.0,184.33333333333334,,,,0.822370707988739,0.43063804507255554,0.39173266291618347,0.06936194747686386,60.358829498291016,0.05360907316207886,22.282333374023438,0.9297024011611938,0.8175477981567383,0.20928046107292175
car_01,L,4,a wrecked car after an accident,25,20,10,1,297.6,11509.4,0.54,512.0,336.0,184.33333333333334,,,,1.1325607299804688,0.42599114775657654,0.7065695524215698,0.07400885969400406,54.893959045410156,0.0631641149520874,22.291019439697266,0.9296873807907104,0.8181192278862,0.2082771360874176
car_01,L,16,a wrecked car after an accident,25,20,10,1,297.5,11510.8,0.54,512.0,335.3333333333333,183.66666666666666,,,,13.651484489440918,0.4286820590496063,13.22280216217041,0.07131794095039368,54.247520446777344,0.18830224871635437,22.281326293945312,0.9274089336395264,0.8169170618057251,0.20949450135231018
dog_00,P,1,a cat sitting on the grass,25,20,10,1,96.8,11504.0,21.82,73.0,1.0,1.0,1.0,1.0,0.0010426839580759406,0.4745734930038452,0.4659522771835327,0.008621206507086754,0.03404771536588669,50.46070861816406,0.02291768789291382,50.46070861816406,0.02291768789291382,0.998717188835144,0.007338395807892084
dog_00,P,4,a cat sitting on the grass,25,20,10,1,97.1,11507.2,9.61,89.33333333333333,4.0,4.0,4.0,4.0,0.0014394124737009406,0.4207378029823303,0.3924941122531891,0.02824370376765728,0.10750589519739151,44.840084075927734,0.052020490169525146,44.840084075927734,0.052020490169525146,0.995567262172699,0.023810965940356255
dog_00,P,16,a cat sitting on the grass,25,20,10,1,96.9,11507.6,7.6,114.0,16.0,11.666666666666666,16.0,16.0,0.0023040771484375,0.7878279685974121,0.12229049205780029,0.6655374765396118,0.3777095079421997,39.46580505371094,0.06582310795783997,39.46580505371094,0.06582310795783997,0.984803318977356,0.06802986562252045
dog_00,L,1,a cat sitting on the grass,25,20,10,1,298.0,11513.3,1.14,512.0,342.3333333333333,167.33333333333334,,,,0.7448040246963501,0.46863794326782227,0.2761661112308502,0.03136204183101654,60.09697723388672,0.03479209542274475,29.80203628540039,0.4399157762527466,0.9101795554161072,0.1863456666469574
dog_00,L,4,a cat sitting on the grass,25,20,10,1,297.9,11509.4,1.14,512.0,343.3333333333333,168.0,,,,0.7394179105758667,0.46686071157455444,0.27255719900131226,0.03313929960131645,54.20428466796875,0.05701291561126709,29.837093353271484,0.44024157524108887,0.9111495018005371,0.18370670080184937
