fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,step,align_loss,align_psnr_floor,align_tau_acut,align_tau_chroma,align_tau_lpips,align_best_step
0.10566775500774384,0.0,0.8966484069824219,2.384185791015625e-07,0.575029730796814,24.323015213012695,0.2398257851600647,0.2398257851600647,0.7788258790969849,0.575029730796814,24.323015213012695,0.5150297284126282,0.0,0.0,0,2.384185791015625e-05,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.0977424681186676,0.0,0.81328284740448,0.0,0.5769962072372437,24.26973533630371,0.24005040526390076,0.24005040526390076,0.7778893709182739,0.5769962072372437,24.26973533630371,0.5169962048530579,0.00022460520267486572,0.053279876708984375,1,0.07574039697647095,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10011440515518188,0.0,0.7874234318733215,0.0,0.5758892297744751,24.286422729492188,0.23942413926124573,0.23942413926124573,0.7784196734428406,0.5758892297744751,24.286422729492188,0.5158892273902893,0.0,0.03659248352050781,2,0.03659248352050781,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10932754725217819,0.0036597922444343567,0.7783249616622925,0.0,0.5739631056785583,24.327966690063477,0.23912125825881958,0.23912125825881958,0.7791168689727783,0.5739631056785583,24.327966690063477,0.5139631032943726,0.0,0.0,3,0.36597922444343567,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10804480314254761,0.002377048134803772,0.7737160921096802,0.0,0.5731627941131592,24.334278106689453,0.23894672095775604,0.23894672095775604,0.7795495986938477,0.5731627941131592,24.334278106689453,0.5131627917289734,0.0,0.0,4,0.2377048134803772,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10287937521934509,0.0,0.7716507911682129,0.0,0.5729731321334839,24.320724487304688,0.23883306980133057,0.23883306980133057,0.7797491550445557,0.5729731321334839,24.320724487304688,0.5129731297492981,0.0,0.0022907257080078125,5,0.0022907257080078125,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10301175713539124,0.0,0.7752987146377563,0.0,0.5721539855003357,24.32657241821289,0.23877306282520294,0.23877306282520294,0.7800419330596924,0.5721539855003357,24.32657241821289,0.5121539831161499,0.0,0.0,6,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10325925797224045,0.0,0.7796044945716858,0.0,0.5714404582977295,24.330663681030273,0.2387227714061737,0.2387227714061737,0.780261218547821,0.5714404582977295,24.330663681030273,0.5114404559135437,0.0,0.0,7,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10348322242498398,0.0,0.7842274308204651,0.0,0.5708150863647461,24.33356285095215,0.2387053221464157,0.2387053221464157,0.7804285883903503,0.5708150863647461,24.33356285095215,0.5108150839805603,0.0,0.0,8,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10366251319646835,0.0,0.788829505443573,0.0,0.5702664852142334,24.335630416870117,0.23870885372161865,0.23870885372161865,0.7805583477020264,0.5702664852142334,24.335630416870117,0.5102664828300476,0.0,0.0,9,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10387975722551346,0.0,0.7932958006858826,0.0,0.569783091545105,24.33710289001465,0.2387371063232422,0.2387371063232422,0.7806606292724609,0.569783091545105,24.33710289001465,0.5097830891609192,0.0,0.0,10,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10408249497413635,0.0,0.7975667715072632,0.0,0.569352924823761,24.338151931762695,0.23877295851707458,0.23877295851707458,0.7807413935661316,0.569352924823761,24.338151931762695,0.5093529224395752,0.0,0.0,11,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10428021103143692,0.0,0.8016150593757629,0.0,0.5689753293991089,24.338897705078125,0.23881292343139648,0.23881292343139648,0.7808076739311218,0.5689753293991089,24.338897705078125,0.5089753270149231,0.0,0.0,12,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10447889566421509,0.0,0.8054108619689941,0.0,0.5686367750167847,24.339412689208984,0.23885317146778107,0.23885317146778107,0.7808617353439331,0.5686367750167847,24.339412689208984,0.5086367726325989,0.0,0.0,13,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10465220361948013,0.0,0.8089525699615479,0.0,0.5683342218399048,24.339744567871094,0.2388952076435089,0.2388952076435089,0.7809054255485535,0.5683342218399048,24.339744567871094,0.508334219455719,0.0,0.0,14,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10480254888534546,0.0,0.8122357726097107,0.0,0.5680643320083618,24.339941024780273,0.23893053829669952,0.23893053829669952,0.7809418439865112,0.5680643320083618,24.339941024780273,0.508064329624176,0.0,0.0,15,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10493914783000946,0.0,0.8152734041213989,0.0,0.5678246021270752,24.34004783630371,0.23895978927612305,0.23895978927612305,0.780972421169281,0.5678246021270752,24.34004783630371,0.5078245997428894,0.0,0.0,16,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.1050669252872467,0.0,0.8180766105651855,0.0,0.5676088929176331,24.340085983276367,0.23898498713970184,0.23898498713970184,0.7809977531433105,0.5676088929176331,24.340085983276367,0.5076088905334473,0.0,0.0,17,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10517974942922592,0.0,0.8206623196601868,0.0,0.5674126148223877,24.34007453918457,0.2390066534280777,0.2390066534280777,0.781019389629364,0.5674126148223877,24.34007453918457,0.5074126124382019,0.0,0.0,18,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10528691112995148,0.0,0.8230396509170532,0.0,0.5672383904457092,24.340023040771484,0.23902621865272522,0.23902621865272522,0.7810382843017578,0.5672383904457092,24.340023040771484,0.5072383880615234,0.0,0.0,19,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10538886487483978,0.0,0.8252272605895996,0.0,0.5670802593231201,24.339946746826172,0.23904243111610413,0.23904243111610413,0.7810540199279785,0.5670802593231201,24.339946746826172,0.5070802569389343,0.0,0.0,20,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10548379272222519,0.0,0.8272378444671631,0.0,0.5669382810592651,24.339855194091797,0.23905521631240845,0.23905521631240845,0.7810676097869873,0.5669382810592651,24.339855194091797,0.5069382786750793,0.0,0.0,21,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10556826740503311,0.0,0.8290824890136719,0.0,0.5668113231658936,24.339744567871094,0.23906710743904114,0.23906710743904114,0.7810792922973633,0.5668113231658936,24.339744567871094,0.5068113207817078,0.0,0.0,22,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10564500093460083,0.0,0.8307783007621765,0.0,0.5666948556900024,24.339635848999023,0.23907800018787384,0.23907800018787384,0.781089186668396,0.5666948556900024,24.339635848999023,0.5066948533058167,0.0,0.0,23,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10571736097335815,4.960596561431885e-05,0.8323261737823486,0.0,0.5665881633758545,24.339521408081055,0.23908819258213043,0.23908819258213043,0.7810980677604675,0.5665881633758545,24.339521408081055,0.5065881609916687,0.0,0.0,24,0.004960596561431885,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10287893563508987,0.0,0.8316073417663574,0.0,0.5671262741088867,24.327720642089844,0.23905691504478455,0.23905691504478455,0.7809937000274658,0.5671262741088867,24.327720642089844,0.5071262717247009,0.0,0.0,25,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.10033345222473145,0.0,0.8310770988464355,0.0,0.567603349685669,24.316791534423828,0.23902425169944763,0.23902425169944763,0.7808870673179626,0.567603349685669,24.316791534423828,0.5076033473014832,0.0,0.0062236785888671875,26,0.0062236785888671875,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.0998402088880539,0.0,0.8301079273223877,0.0,0.5678648948669434,24.32605743408203,0.2388334423303604,0.2388334423303604,0.781012773513794,0.5678648948669434,24.32605743408203,0.5078648924827576,0.0,0.0,27,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.09947190433740616,0.0,0.829413652420044,0.0,0.5680900812149048,24.333816528320312,0.2386520802974701,0.2386520802974701,0.7811064720153809,0.5680900812149048,24.333816528320312,0.508090078830719,0.0,0.0,28,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.09922389686107635,0.0,0.8289386034011841,0.0,0.5682854652404785,24.34032440185547,0.23848870396614075,0.23848870396614075,0.7811746597290039,0.5682854652404785,24.34032440185547,0.5082854628562927,0.0,0.0,29,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.0990724265575409,0.0,0.8286402225494385,0.0,0.5684529542922974,24.345788955688477,0.23835724592208862,0.23835724592208862,0.7812221050262451,0.5684529542922974,24.345788955688477,0.5084529519081116,0.0,0.0,30,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
0.09895922988653183,0.0,0.8284823894500732,0.0,0.5685967206954956,24.350412368774414,0.23824360966682434,0.23824360966682434,0.7812544107437134,0.5685967206954956,24.350412368774414,0.5085967183113098,0.0,0.0,31,0.0,24.323015213012695,0.10566775500774384,0.8966481685638428,0.2398258000612259,6
