image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34376,0.93329,23.549,0.38742,0.10016,0.4962,0.59765,12.528,0.23011,0.28565,0.96471,0.06646,0.78306,0.7665,True,0.837,186.0
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41462,0.90325,24.044,0.31327,0.17522,0.56699,0.41738,9.759,0.17988,0.33853,0.98039,0.06278,0.79033,0.82138,True,0.837,177.5
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45275,0.84265,20.296,0.27196,0.22305,0.6783,0.37193,12.2,0.19714,0.35824,0.85098,0.09665,0.8989,0.8539,False,0.837,177.6
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45479,0.97673,32.479,0.32814,0.07208,0.36647,0.66323,14.493,0.65388,0.29822,0.75686,0.02377,0.91195,0.91933,False,0.837,177.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36441,0.93442,26.47,0.42332,0.14485,0.54805,0.44742,9.718,0.3879,0.33573,0.96863,0.04748,0.86522,0.81836,True,0.837,177.7
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4704,0.90407,27.558,0.40799,0.08261,0.82867,0.38487,10.533,0.15328,0.34815,0.75791,0.04189,0.56107,0.58156,True,0.837,177.8
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43381,0.80911,18.83,0.22972,0.16033,0.6186,0.25179,13.86,0.1212,0.36382,1.0,0.11442,0.88611,0.84995,False,0.837,177.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39497,0.92147,23.482,0.33699,0.10395,0.48671,0.61734,16.937,0.20999,0.27728,0.8,0.06697,0.87247,0.83367,True,0.837,177.8
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49004,0.87158,23.737,0.31977,0.14118,0.53622,0.40117,15.805,0.2119,0.34137,0.7134,0.06504,0.87158,0.72306,True,0.837,177.7
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,2.5,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40949,0.92352,24.342,0.43912,0.11563,0.45259,0.51789,12.336,0.29551,0.25395,0.95686,0.06066,0.85792,0.82806,True,0.837,177.9
