image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34794,0.93458,23.884,0.40348,0.1193,0.53983,0.53794,10.912,0.19596,0.2982,0.89412,0.06394,0.7751,0.76349,True,0.837,422.3
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42041,0.89692,23.747,0.31919,0.19765,0.58282,0.39869,9.673,0.16983,0.32191,0.96863,0.06496,0.83592,0.81801,True,0.837,411.1
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47215,0.85404,20.294,0.282,0.23423,0.75273,0.14503,7.249,0.14984,0.46604,0.70414,0.09667,0.71021,0.74025,True,0.837,410.6
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4389,0.97046,32.047,0.35091,0.10969,0.35769,0.65606,13.971,0.64717,0.27282,0.9768,0.02498,0.93632,0.91824,False,0.837,410.2
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36042,0.93216,26.455,0.44132,0.15622,0.5747,0.38806,9.076,0.40217,0.36097,0.96863,0.04756,0.84046,0.75441,True,0.837,409.7
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46309,0.91562,28.036,0.43665,0.09112,0.82477,0.38569,10.819,0.17233,0.34474,0.91373,0.03965,0.56597,0.58994,True,0.837,410.2
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44457,0.8282,18.925,0.24644,0.17773,0.61589,0.28448,14.924,0.1044,0.33239,0.94902,0.11317,0.90242,0.88127,False,0.837,410.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42389,0.91371,22.94,0.32611,0.12074,0.57724,0.52922,14.434,0.1213,0.36456,0.80343,0.07129,0.72526,0.73666,True,0.837,409.6
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50824,0.87477,23.536,0.31863,0.18343,0.57339,0.36585,15.565,0.20693,0.39243,0.70477,0.06656,0.83225,0.70843,True,0.837,409.3
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40391,0.9265,24.403,0.45984,0.12771,0.72462,0.27404,7.851,0.06833,0.40631,0.99162,0.06023,0.7388,0.70501,True,0.837,409.7
