image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3567,0.95796,24.173,0.43562,0.08466,0.4672,0.66461,14.387,0.23241,0.25047,0.97255,0.06185,0.85306,0.85306,False,0.837,180.8
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41223,0.92404,24.029,0.36279,0.15821,0.57309,0.41447,9.782,0.17533,0.30775,0.97647,0.06288,0.82926,0.85201,False,0.837,170.4
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46951,0.90476,20.125,0.32831,0.19262,0.76028,0.17384,7.788,0.17815,0.44574,0.8126,0.09857,0.73078,0.75107,True,0.837,170.2
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44831,0.9738,31.869,0.34655,0.0863,0.37298,0.65752,13.86,0.62265,0.27799,0.92766,0.0255,0.91615,0.90414,False,0.837,170.2
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35892,0.95538,26.938,0.47569,0.11906,0.5207,0.53305,10.751,0.3735,0.29827,0.97233,0.04499,0.85981,0.8158,True,0.837,170.2
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46662,0.95838,29.355,0.49418,0.04989,0.80677,0.4165,11.487,0.17781,0.33895,0.77315,0.03406,0.57492,0.57389,True,0.837,170.2
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44328,0.85061,18.394,0.27308,0.13737,0.62278,0.25057,13.74,0.1339,0.35768,1.0,0.1203,0.87615,0.83739,False,0.837,170.1
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42171,0.94636,23.479,0.3692,0.09699,0.50186,0.57297,15.503,0.2064,0.29634,0.87451,0.067,0.87165,0.81194,True,0.837,170.2
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4901,0.91411,24.249,0.36885,0.13999,0.54424,0.3851,15.409,0.22616,0.36139,0.76326,0.06132,0.87925,0.76434,True,0.837,170.2
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4175,0.93042,23.451,0.46558,0.09639,0.70313,0.29051,7.993,0.07794,0.36803,1.0,0.06721,0.73733,0.69977,True,0.837,170.1
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46763,0.81811,20.456,0.19873,0.18411,0.66741,0.49818,12.715,0.01333,0.4407,0.95151,0.09488,0.79118,0.81387,True,0.837,170.0
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49179,0.90092,22.032,0.32338,0.14188,0.62892,0.25862,9.51,0.06092,0.26451,0.96471,0.07914,0.63264,0.66033,True,0.837,170.1
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.2,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47478,0.89578,22.959,0.32947,0.10704,0.68837,0.32738,8.481,0.12907,0.46081,0.96471,0.07113,0.39354,0.49332,True,0.837,170.1
