image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_nonadd_rand,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01977,0.99881,39.316,0.85507,0.0028,0.03093,0.98605,31.028,0.70565,0.01107,0.35653,0.01082,0.99865,0.99823,False,0.837,32.2
task_attr_mod_color_136767,dct_nonadd_rand,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.024,0.99816,38.141,0.82366,0.00328,0.03401,0.98068,31.539,0.6697,0.01776,0.39206,0.01239,0.99901,0.99889,False,0.837,22.3
task_attr_mod_color_184837,dct_nonadd_rand,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03881,0.99686,33.863,0.74725,0.00625,0.0541,0.96202,27.036,0.54875,0.0322,0.57944,0.02027,0.9966,0.99774,False,0.837,22.6
task_attr_mod_color_32648,dct_nonadd_rand,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01013,0.99934,47.101,0.8948,0.00208,0.01675,0.99344,36.882,0.87183,0.01088,0.20952,0.00441,0.99909,0.99856,False,0.837,22.6
task_attr_mod_color_6205,dct_nonadd_rand,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01867,0.99881,41.367,0.88732,0.00266,0.02385,0.9899,36.054,0.78286,0.01443,0.32179,0.00854,0.99944,0.99808,False,0.837,22.7
task_env_weather_112463,dct_nonadd_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.07946,0.99754,40.281,0.83565,0.00188,0.09426,0.93767,28.382,0.57878,0.03379,0.2956,0.00968,0.98938,0.98806,False,0.837,22.8
task_obj_remove_380621,dct_nonadd_rand,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03414,0.99681,36.918,0.80818,0.00493,0.06438,0.96098,26.85,0.56579,0.0233,0.42797,0.01426,0.99823,0.9971,False,0.837,22.9
task_obj_swap_joint_mask_276754,dct_nonadd_rand,instruct-pix2pix,Replace the satellite dish with rocket,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03887,0.98933,34.038,0.63613,0.01369,0.0099,0.99376,37.48,0.66908,0.02134,0.38263,0.01986,0.9985,0.9967,False,0.837,22.7
task_obj_swap_joint_mask_533428,dct_nonadd_rand,instruct-pix2pix,Replace the samurai armor with red jacket,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03584,0.99523,33.911,0.74309,0.00415,0.08814,0.93797,26.222,0.5615,0.05865,0.47202,0.02016,0.99504,0.99505,False,0.837,22.8
task_obj_swap_rand_mask_417469,dct_nonadd_rand,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02527,0.99639,36.855,0.79899,0.00194,0.04109,0.96765,29.453,0.63901,0.01226,0.45385,0.01436,0.9977,0.98715,False,0.837,22.8
