image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_rand,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.06079,0.98255,32.146,0.66558,0.03718,0.0752,0.95928,26.834,0.54072,0.03202,0.36737,0.0247,72.9
task_attr_mod_color_136767,phase_rand,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.08785,0.96909,31.708,0.6099,0.07293,0.11441,0.93634,27.331,0.48516,0.07337,0.34267,0.02598,73.1
task_attr_mod_color_184837,phase_rand,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.09179,0.95779,27.248,0.5394,0.08334,0.13046,0.88349,21.975,0.38478,0.09479,0.34211,0.04341,72.9
task_attr_mod_color_32648,phase_rand,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.03346,0.99462,42.526,0.80327,0.02836,0.05727,0.97277,27.336,0.75473,0.05563,0.20191,0.00748,73.0
task_attr_mod_color_6205,phase_rand,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.06473,0.97788,34.226,0.69555,0.06526,0.07155,0.95991,31.009,0.6047,0.04529,0.33154,0.01944,73.6
task_env_weather_112463,phase_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.05137,0.97712,34.627,0.69406,0.02433,0.12517,0.90221,24.924,0.48948,0.05826,0.2452,0.01856,73.8
task_env_weather_133752,phase_rand,instruct-pix2pix,transform the setting to a rainy day,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.0228,0.98727,36.559,0.74862,0.01704,0.05738,0.9618,31.271,0.56539,0.02059,0.23392,0.01486,73.2
task_env_weather_181583,phase_rand,instruct-pix2pix,change the setting to a stormy day,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.04266,0.97336,35.694,0.69387,0.02494,0.08762,0.94334,31.721,0.61642,0.03695,0.24505,0.01642,73.5
task_env_weather_246440,phase_rand,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.05905,0.9588,25.523,0.55422,0.04656,0.18064,0.82109,21.325,0.33457,0.08513,0.48516,0.05295,73.5
task_env_weather_63722,phase_rand,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.07421,0.97517,29.944,0.59046,0.07525,0.1,0.94241,25.194,0.4194,0.06436,0.34037,0.03183,73.4
task_obj_add_13726,phase_rand,instruct-pix2pix,Add subscribe button,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.06457,0.96551,30.716,0.57208,0.06242,0.11962,0.87814,24.276,0.35386,0.05976,0.29906,0.02912,73.0
task_obj_add_340466,phase_rand,instruct-pix2pix,Add orange juice,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.07679,0.97899,32.962,0.67309,0.07142,0.17445,0.86451,17.053,0.46402,0.11669,0.31045,0.02248,73.3
task_obj_add_40931,phase_rand,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.09365,0.95601,29.73,0.57182,0.04982,0.14785,0.89187,24.399,0.39565,0.07081,0.31802,0.03262,73.4
task_obj_add_581286,phase_rand,instruct-pix2pix,Add sauce,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.02873,0.98835,39.652,0.816,0.0243,0.04976,0.97017,35.162,0.6938,0.02302,0.21589,0.01041,73.5
task_obj_add_692065,phase_rand,instruct-pix2pix,Add monk,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.03756,0.98015,31.656,0.73106,0.03289,0.06209,0.94692,26.903,0.62028,0.03358,0.31048,0.02613,73.2
task_obj_remove_10197,phase_rand,instruct-pix2pix,Remove gravel path,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.06172,0.969,29.683,0.64327,0.03273,0.14509,0.82506,22.533,0.28092,0.05945,0.34035,0.0328,73.4
task_obj_remove_257910,phase_rand,instruct-pix2pix,Remove bracelet,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.03928,0.9858,37.365,0.76823,0.03088,0.07187,0.961,31.776,0.56673,0.03273,0.21843,0.01354,73.9
task_obj_remove_380621,phase_rand,instruct-pix2pix,Remove iceberg,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.05763,0.97754,32.541,0.70517,0.04686,0.09888,0.90836,23.773,0.49056,0.05009,0.38746,0.0236,73.6
task_obj_remove_509477,phase_rand,instruct-pix2pix,Remove the man with glasses,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.07061,0.96368,29.861,0.58416,0.05273,0.10441,0.90447,24.729,0.42421,0.04535,0.30942,0.03213,73.1
task_obj_remove_657585,phase_rand,instruct-pix2pix,Remove frisbee,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.03373,0.99054,40.94,0.85248,0.02754,0.17008,0.88909,23.314,0.68904,0.12587,0.13141,0.00897,73.7
task_obj_swap_joint_mask_276754,phase_rand,instruct-pix2pix,Replace the satellite dish with rocket,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.11378,0.94488,29.973,0.46206,0.05625,0.05704,0.96056,27.24,0.44989,0.10218,0.32346,0.03172,73.5
task_obj_swap_joint_mask_533428,phase_rand,instruct-pix2pix,Replace the samurai armor with red jacket,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.07358,0.95809,29.077,0.56874,0.05833,0.15409,0.85681,21.693,0.44504,0.08769,0.37823,0.03517,73.4
task_obj_swap_joint_mask_75733,phase_rand,instruct-pix2pix,Replace the snowy landscape with sea,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.05596,0.97815,36.741,0.67434,0.06259,0.10854,0.92178,28.023,0.43321,0.08536,0.2271,0.01455,73.3
task_obj_swap_rand_mask_298147,phase_rand,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.14436,0.94209,29.674,0.53125,0.06864,0.18595,0.84265,22.381,0.31291,0.07053,0.43894,0.03283,73.5
