image,prompt,label,guidance_scale,strength,n_edit,clip_orig,clip_edit,d_clip,siglip_orig,siglip_edit,d_siglip,lpips_to_orig,psnr_to_orig,seconds
car_00,a wrecked car after an accident,w1.0_s0.5（現行設定）,1.0,0.5,10,0.21923349797725677,0.21795731782913208,-0.0012761801481246948,0.01904786378145218,0.04843788221478462,0.029390018433332443,0.45294517278671265,15.12622356414795,35.85884989999977
car_00,a wrecked car after an accident,w3.0_s0.5,3.0,0.5,10,0.21923349797725677,0.2270689159631729,0.007835417985916138,0.01904786378145218,0.06886959820985794,0.04982173442840576,0.4639340937137604,14.972996711730957,64.78490600000077
car_00,a wrecked car after an accident,w7.5_s0.5（標準攻擊）,7.5,0.5,10,0.21923349797725677,0.273939311504364,0.05470581352710724,0.01904786378145218,0.10902062803506851,0.08997276425361633,0.49873778223991394,14.394017219543457,66.36709309999969
car_00,a wrecked car after an accident,w7.5_s0.7,7.5,0.7,10,0.21923349797725677,0.30060216784477234,0.08136866986751556,0.01904786378145218,0.11756879091262817,0.098520927131176,0.6357220411300659,12.228200912475586,92.9452913999994
car_01,a wrecked car after an accident,w1.0_s0.5（現行設定）,1.0,0.5,10,0.2770880162715912,0.3016117513179779,0.02452373504638672,0.017491355538368225,0.058260492980480194,0.04076913744211197,0.49766141176223755,14.977068901062012,44.89014820000011
car_01,a wrecked car after an accident,w3.0_s0.5,3.0,0.5,10,0.2770880162715912,0.32460108399391174,0.04751306772232056,0.017491355538368225,0.0956972986459732,0.07820594310760498,0.5194817185401917,14.447344779968262,74.20626140000059
car_01,a wrecked car after an accident,w7.5_s0.5（標準攻擊）,7.5,0.5,10,0.2770880162715912,0.322341650724411,0.045253634452819824,0.017491355538368225,0.11617965996265411,0.09868830442428589,0.547755241394043,13.588203430175781,70.57181530000162
car_01,a wrecked car after an accident,w7.5_s0.7,7.5,0.7,10,0.2770880162715912,0.30829548835754395,0.03120747208595276,0.017491355538368225,0.11124128848314285,0.09374993294477463,0.607261598110199,11.843743324279785,68.23204269999951
dog_00,a cat sitting on the grass,w1.0_s0.5（現行設定）,1.0,0.5,10,0.16961881518363953,0.1672820746898651,-0.002336740493774414,0.01096988096833229,0.004863853100687265,-0.006106027867645025,0.3799069821834564,21.10365867614746,39.22853659999964
dog_00,a cat sitting on the grass,w3.0_s0.5,3.0,0.5,10,0.16961881518363953,0.18258346617221832,0.012964650988578796,0.01096988096833229,0.006573444698005915,-0.004396436270326376,0.3839327394962311,21.002288818359375,67.17740640000011
