
Loading pipeline components...:   0%|          | 0/6 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/196 [00:00<?, ?it/s][A
Loading weights: 100%|██████████| 196/196 [00:00<00:00, 3455.05it/s]

Loading pipeline components...:  50%|█████     | 3/6 [00:00<00:00, 16.14it/s]
Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 16.15it/s]
Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 16.14it/s]
There are modules in AutoencoderKL that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:207: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:222: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
IP2P 線：10 張、條件 ['phase_gain']、steps=100 s_T=7.5 s_I=1.5 seed=20260812
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/diffusers/image_processor.py:724: FutureWarning: Passing `image` as torch tensor with value range in [-1,1] is deprecated. The expected value range for image tensor is [0,1] when passing as pytorch tensor or numpy Array. You passed `image` with value range [-1.0,1.0]
  warnings.warn(
    [phase] step    0 loss 105.950577 |p| 0.00118
    [phase] step  185 loss 98.351990 |p| 0.16492
    [phase] step  370 loss 93.099640 |p| 0.29293
    [phase] step  555 loss 89.495338 |p| 0.39417
    [phase] step  740 loss 86.875214 |p| 0.47809
    [phase] step  925 loss 84.706978 |p| 0.54940
    [phase] step 1110 loss 82.826241 |p| 0.61064
    [phase] step 1295 loss 81.198479 |p| 0.66367
    [phase] step 1480 loss 79.705879 |p| 0.71053
    [phase] step 1665 loss 78.225830 |p| 0.75210
    [phase] step 1850 loss 76.861778 |p| 0.78925
    [phase] step 2035 loss 75.956108 |p| 0.80672
    [phase] step 2220 loss 75.167732 |p| 0.82063
    [phase] step 2405 loss 74.402740 |p| 0.83298
    [phase] step 2590 loss 73.630096 |p| 0.84416
    [phase] step 2775 loss 73.019653 |p| 0.85410
    [phase] step 2960 loss 72.455551 |p| 0.86313
    [phase] step 3145 loss 72.014832 |p| 0.87136
    [phase] step 3330 loss 71.582092 |p| 0.87898
    [phase] step 3515 loss 71.220825 |p| 0.88603
    [phase] step 3700 loss 70.837074 |p| 0.89267
    [phase] step 3885 loss 70.507309 |p| 0.89859
    [phase] step 4070 loss 70.182823 |p| 0.90424
    [phase] step 4255 loss 69.914558 |p| 0.90954
    [phase] step 4440 loss 69.614090 |p| 0.91461
    [phase] step 4625 loss 69.386078 |p| 0.91936
    [phase] step 4810 loss 69.097893 |p| 0.92391
    [phase] step 4995 loss 68.873398 |p| 0.92817
    [phase] step 5180 loss 68.664391 |p| 0.93231
    [phase] step 5365 loss 68.462502 |p| 0.93627
    [phase] step 5550 loss 68.290535 |p| 0.94004
