image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23303,0.99004,29.254,0.60853,0.02167,0.25018,0.83448,21.044,0.36782,0.13458,0.7399,0.03446,0.93012,0.95704,False,0.837,193.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26871,0.98298,30.389,0.55055,0.05322,0.32744,0.79313,19.62,0.32561,0.19295,0.68047,0.03024,0.97389,0.97175,False,0.837,186.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32534,0.9744,24.952,0.47388,0.06637,0.4268,0.57086,16.634,0.2792,0.27894,0.60893,0.05654,0.94979,0.93092,False,0.837,380.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31396,0.99559,38.795,0.60691,0.02265,0.23896,0.77084,18.612,0.60746,0.19557,0.39793,0.01149,0.9445,0.92639,False,0.837,387.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20636,0.99139,33.822,0.67734,0.03703,0.34096,0.72143,12.683,0.4594,0.19163,0.62308,0.02037,0.96593,0.9299,False,0.837,398.8
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33106,0.98988,36.484,0.70848,0.01387,0.30661,0.69853,19.413,0.37254,0.15295,0.32611,0.01499,0.93624,0.92026,False,0.837,398.5
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31408,0.96238,22.162,0.43269,0.0526,0.46279,0.44544,15.866,0.14601,0.25018,0.91762,0.07796,0.93156,0.86981,False,0.837,398.3
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.28851,0.98808,29.024,0.54573,0.03549,0.34886,0.7638,19.195,0.27854,0.17954,0.52442,0.03538,0.92772,0.87731,False,0.837,398.4
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37823,0.97914,29.921,0.55439,0.0442,0.38938,0.55336,17.858,0.28822,0.26195,0.39446,0.03191,0.91944,0.83857,False,0.837,397.9
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29423,0.98294,27.587,0.61459,0.04734,0.36535,0.65241,16.939,0.35289,0.2239,0.95429,0.04175,0.91357,0.91801,False,0.837,398.1
