image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.08213,0.98034,30.749,0.63936,0.02371,0.11371,0.92268,23.979,0.47705,0.0503,0.41553,0.02901,120.8
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.14651,0.96968,31.352,0.59122,0.04877,0.18373,0.87091,22.953,0.40332,0.11197,0.32992,0.02706,121.1
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.15325,0.94677,25.832,0.49916,0.05115,0.22216,0.73487,18.403,0.32641,0.16099,0.46938,0.0511,121.1
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.129,0.99348,42.79,0.75794,0.02947,0.13727,0.90579,23.076,0.70969,0.11916,0.18376,0.00725,120.9
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.08751,0.9783,33.955,0.68499,0.05377,0.20211,0.83804,17.129,0.54712,0.12319,0.36249,0.02006,121.2
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.14511,0.96673,33.15,0.64487,0.02215,0.25688,0.79463,21.077,0.33487,0.11759,0.27217,0.022,121.2
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.13962,0.97921,34.576,0.67842,0.02149,0.18129,0.91582,27.81,0.43564,0.04657,0.27619,0.01867,120.9
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.17091,0.95985,33.774,0.63168,0.02778,0.56208,0.71261,14.826,0.35311,0.32929,0.198,0.02048,121.1
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.20075,0.93434,23.297,0.49049,0.05142,0.33251,0.62634,18.037,0.21186,0.14888,0.59683,0.06842,120.9
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,100,7.5,1.5,20260812,False,0.1404,0.97253,29.124,0.56505,0.0439,0.17407,0.87913,22.934,0.3587,0.07688,0.48565,0.03498,121.0
