image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.321,0.9705,25.251,0.47442,0.06295,0.38174,0.70179,17.881,0.29618,0.21932,0.89311,0.05463,0.87382,0.87892,False,0.837,390.4
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37482,0.95071,25.552,0.3931,0.12333,0.53278,0.47402,10.728,0.15803,0.2671,0.99216,0.05277,0.84229,0.82037,True,0.837,378.9
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43863,0.92935,21.107,0.33958,0.1586,0.62765,0.41876,14.46,0.21952,0.33612,0.84314,0.08804,0.91767,0.86553,False,0.837,379.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40731,0.98666,33.656,0.41421,0.05561,0.33138,0.6783,15.074,0.55299,0.23565,0.7102,0.02076,0.94325,0.88897,False,0.837,378.5
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32118,0.9715,28.605,0.52076,0.09346,0.44828,0.62934,11.93,0.38843,0.25024,0.96863,0.03713,0.8965,0.85657,False,0.837,379.0
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44111,0.96651,31.047,0.53045,0.04463,0.39369,0.54021,16.199,0.34194,0.23049,0.57275,0.02803,0.90623,0.87376,False,0.837,378.7
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41762,0.90393,19.325,0.30102,0.11163,0.59012,0.28874,14.377,0.13221,0.33314,1.0,0.10808,0.90058,0.84469,False,0.837,378.0
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3894,0.96514,24.875,0.39966,0.07253,0.46651,0.64045,17.045,0.22561,0.26627,0.7046,0.05705,0.89032,0.84229,False,0.837,378.3
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46264,0.94211,25.684,0.40301,0.10024,0.51529,0.42599,15.853,0.23858,0.34194,0.60646,0.05198,0.88667,0.69658,True,0.837,378.5
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38467,0.95768,24.73,0.49827,0.09027,0.59898,0.38543,9.188,0.18386,0.31221,0.93333,0.05801,0.73774,0.71318,True,0.837,378.6
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44447,0.89399,21.844,0.22966,0.13792,0.67665,0.47715,12.677,0.01414,0.45309,0.95686,0.08087,0.8226,0.85264,False,0.837,307.9
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46728,0.93182,23.372,0.33846,0.10424,0.57525,0.34711,11.033,0.10652,0.25747,0.85882,0.06782,0.6723,0.62441,True,0.837,177.1
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.75,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44346,0.93429,24.251,0.36265,0.08031,0.61749,0.47599,11.27,0.26475,0.36582,0.95294,0.0613,0.80053,0.61609,True,0.837,177.0
