image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.03888,0.9908,35.371,0.72491,0.02127,0.06611,0.95862,26.801,0.55095,0.02821,0.21997,0.01704,38.2
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08156,0.97842,34.008,0.66188,0.03163,0.12806,0.91749,23.621,0.46352,0.069,0.22765,0.01993,38.6
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.06085,0.9812,30.16,0.61706,0.02216,0.10371,0.88697,22.846,0.4334,0.06512,0.25811,0.03104,38.8
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07026,0.99507,45.227,0.81158,0.03398,0.07017,0.97774,35.181,0.69795,0.04638,0.1125,0.00548,38.8
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.04274,0.98585,36.58,0.76006,0.04274,0.07227,0.94712,27.913,0.62611,0.06016,0.21972,0.01482,38.8
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07834,0.97738,35.078,0.67604,0.02987,0.17038,0.85936,23.581,0.4015,0.07712,0.16454,0.01762,38.8
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.05064,0.98048,35.389,0.69849,0.02516,0.10511,0.93883,29.394,0.47201,0.03343,0.20407,0.017,38.9
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07381,0.97508,35.413,0.66239,0.03513,0.11355,0.92445,28.702,0.55351,0.06109,0.12899,0.01696,38.9
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08175,0.97995,28.748,0.61844,0.02434,0.22683,0.76747,20.114,0.29066,0.09167,0.34979,0.03653,39.0
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.06054,0.9895,33.505,0.68382,0.02715,0.09958,0.93892,25.592,0.44063,0.0429,0.28018,0.02112,39.1
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08015,0.98261,33.291,0.6504,0.031,0.16537,0.85901,23.682,0.30482,0.06044,0.24367,0.02165,38.9
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.04255,0.99015,36.19,0.75661,0.0273,0.12871,0.89352,18.667,0.54137,0.09435,0.20137,0.01551,38.9
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.1397,0.97814,33.65,0.67642,0.02956,0.18522,0.86516,23.193,0.40738,0.07238,0.1878,0.02077,39.0
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.06091,0.9764,37.683,0.7176,0.04673,0.09135,0.94056,32.321,0.60915,0.04976,0.158,0.01306,39.0
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.04124,0.98943,34.053,0.77111,0.01941,0.08099,0.94511,26.109,0.58731,0.02362,0.23218,0.01983,38.9
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.13062,0.98094,31.83,0.69289,0.01894,0.3391,0.5619,14.41,0.12887,0.21049,0.27478,0.02561,38.9
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08932,0.98251,37.923,0.74879,0.04514,0.13421,0.9404,30.652,0.48922,0.05269,0.15259,0.0127,39.0
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.10013,0.98442,35.511,0.73227,0.0401,0.16761,0.86854,23.155,0.43258,0.06399,0.28712,0.01677,38.8
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08307,0.97398,31.656,0.64731,0.02639,0.12795,0.8883,24.31,0.4152,0.03818,0.31184,0.02613,38.9
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.0493,0.98601,40.177,0.81424,0.02666,0.18108,0.86968,22.662,0.60466,0.09987,0.11311,0.0098,39.0
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.2582,0.97239,33.343,0.5671,0.03931,0.14966,0.83737,22.34,0.30644,0.17356,0.19249,0.02152,38.8
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07828,0.97857,32.548,0.65473,0.02015,0.16883,0.83887,22.094,0.40113,0.08622,0.28908,0.02358,38.9
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.13975,0.96616,35.356,0.61321,0.07127,0.20138,0.88213,24.972,0.3583,0.13689,0.16487,0.01707,38.8
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.1755,0.97356,33.652,0.65364,0.0379,0.2531,0.78707,21.64,0.29577,0.09158,0.33411,0.02077,38.8
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.4,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07521,0.98265,35.251,0.70573,0.02027,0.10758,0.90174,25.386,0.47819,0.04048,0.25301,0.01728,39.4
