image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_obj_remove_271889,Remove flower vase,0.20272,0.24493,0.0422,0.01,0.04887,0.03886,0.42165,100,7.5,1.5,20260812,31.5
task_obj_remove_284852,Remove khaki pants,0.23484,0.25785,0.02301,0.08027,0.07116,-0.00911,0.51863,100,7.5,1.5,20260812,21.5
task_obj_remove_286801,Remove red boat,0.22735,0.22851,0.00116,0.03518,0.04224,0.00706,0.1859,100,7.5,1.5,20260812,21.8
task_obj_remove_2878,Remove person,0.17364,0.17411,0.00046,-0.00338,1e-05,0.0034,0.14699,100,7.5,1.5,20260812,22.1
task_obj_remove_303082,Remove red rock,0.24709,0.24838,0.00129,0.06718,0.05955,-0.00762,0.31279,100,7.5,1.5,20260812,22.4
task_obj_remove_385207,Remove the flagpole,0.19981,0.20383,0.00402,-0.02099,0.02028,0.04127,0.59845,100,7.5,1.5,20260812,22.5
task_obj_remove_388764,Remove green chair,0.21555,0.20979,-0.00576,0.01707,0.01055,-0.00652,0.45018,100,7.5,1.5,20260812,22.8
task_obj_remove_410264,Remove short hair,0.20468,0.21208,0.0074,0.03662,0.05825,0.02163,0.12797,100,7.5,1.5,20260812,22.9
task_obj_remove_483219,Remove the lamp,0.1976,0.18609,-0.01151,-0.02382,-0.01748,0.00634,0.22083,100,7.5,1.5,20260812,23.0
task_obj_remove_499725,Remove the road,0.18903,0.18588,-0.00315,0.00231,0.0094,0.00708,0.21024,100,7.5,1.5,20260812,23.0
task_obj_remove_560476,Remove peruvian flag,0.23685,0.2488,0.01195,0.06236,0.06896,0.00659,0.7376,100,7.5,1.5,20260812,23.1
task_obj_remove_571780,Remove the house,0.22102,0.20591,-0.01511,0.01723,0.01847,0.00124,0.22689,100,7.5,1.5,20260812,23.0
task_obj_remove_606694,Remove facial expression,0.24489,0.24635,0.00146,0.03237,0.02199,-0.01038,0.28244,100,7.5,1.5,20260812,23.0
task_obj_remove_634326,Remove fence,0.23276,0.23765,0.00489,0.0106,0.00702,-0.00358,0.47362,100,7.5,1.5,20260812,23.0
task_obj_remove_648479,Remove dam,0.27062,0.27883,0.0082,0.07546,0.07625,0.00079,0.21954,100,7.5,1.5,20260812,22.8
task_obj_remove_704852,Remove truck,0.2288,0.18631,-0.04249,0.07353,0.02157,-0.05196,0.23421,100,7.5,1.5,20260812,22.7
