image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.11275,0.97226,29.191,0.58649,0.04592,0.16687,0.89635,22.465,0.4134,0.10448,0.54356,0.03471,38.2
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.17876,0.95485,29.599,0.53121,0.09338,0.22836,0.79725,23.5,0.35302,0.16278,0.41531,0.03312,39.4
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.23237,0.9168,23.953,0.4438,0.14713,0.34482,0.64974,17.538,0.28726,0.23163,0.60768,0.06344,39.8
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.13171,0.99166,42.104,0.72497,0.0313,0.14481,0.88717,21.146,0.64873,0.137,0.2377,0.00785,40.0
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.11916,0.96933,32.184,0.62945,0.09482,0.28264,0.75331,12.91,0.45042,0.17606,0.5014,0.02459,40.1
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.15501,0.95542,31.899,0.60942,0.04029,0.20619,0.83045,23.973,0.37471,0.08149,0.33017,0.02541,40.2
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.16075,0.97049,33.132,0.62821,0.03267,0.24272,0.88493,24.972,0.36783,0.08061,0.28394,0.02205,40.1
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.19197,0.94321,32.276,0.58002,0.05142,0.56694,0.70703,14.845,0.3408,0.31933,0.25291,0.02433,40.1
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.19888,0.91022,21.998,0.44855,0.08937,0.41379,0.51123,16.084,0.16777,0.21647,0.73824,0.07945,40.0
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.1584,0.96112,27.552,0.51458,0.07345,0.22964,0.84091,21.164,0.30673,0.12917,0.52684,0.04192,40.1
