condition,radius,r_min,r_max,block,hop,gl_iters,pixel_gate_sigma,quantile,gate_edge_power,loss,gain_ratio,purify_aware,defense_steps,wm_topk,wm_eps,wm_block_frac,wm_q_attack,wm_tau,wm_mu,wm_q_embed,n_images,superseded_implementation,edit_lpips,fid_lpips,fid_dists,method,ratio_fid_lpips,ratio_fid_dists
phase,2.4,0.12,inf,32,16,3,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.2370112,0.19469560000000002,0.0436864,texture_rephase,1.2173,5.4253
phase,1.2,0.12,inf,32,16,0,0.0,0.5,1.0,latent_norm,0.0,none,,,,,,,,,25,False,0.3053144,0.19477840000000002,0.0706956,texture_rephase,1.5675,4.3187
phase,1.27,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,eot_ops,,,,,,,,,25,False,0.2647952,0.196006,0.06118559999999999,texture_rephase,1.351,4.3277
phase,1.2,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.2632608,0.1977236,0.050182000000000004,texture_rephase,1.3315,5.2461
phase,1.0,0.08,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.269256,0.2025884,0.078186,texture_rephase,1.3291,3.4438
phase,1.27,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,75,False,0.2949734666666667,0.20757626666666668,0.0563792,texture_rephase,1.421,5.232
phase,1.4,0.12,inf,32,16,0,0.0,0.5,1.0,latent_norm,0.0,none,,,,,,,,,25,False,0.3266604,0.217196,0.082652,texture_rephase,1.504,3.9522
phase,1.4,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.2946504,0.21875599999999998,0.0605364,texture_rephase,1.3469,4.8673
phase,3.141593,0.12,inf,32,16,3,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.2633642,0.2188794,0.0529072,texture_rephase,1.2032,4.9779
phase,1.0,0.06,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.3111788,0.223166,0.10957280000000001,texture_rephase,1.3944,2.8399
phase,1.6,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.3105628,0.236602,0.0711328,texture_rephase,1.3126,4.366
phase_gain,0.8,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.25,none,,,,,,,,,25,False,0.239492,0.1754636,0.0381932,texture_rephase,1.3649,6.2705
phase_gain,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.25,none,,,,,,,,,25,False,0.281982,0.20576239999999998,0.0503456,texture_rephase,1.3704,5.6009
phase_gain,1.2,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.25,none,,,,,,,,,25,False,0.3162676,0.2307964,0.0635332,texture_rephase,1.3703,4.978
phase_gain,1.5,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.25,none,,,,,,,,,25,False,0.348656,0.261676,0.079736,texture_rephase,1.3324,4.3726
phase_rand,0.7,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.07657320000000001,0.0370424,0.026652,phase_rand,2.0672,2.8731
phase_rand,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.11006360000000001,0.064758,0.047717999999999997,phase_rand,1.6996,2.3065
phase_rand,1.08,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,75,False,0.13337093333333333,0.07084866666666667,0.055355600000000005,phase_rand,1.8825,2.4093
phase_rand,1.3,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.1470736,0.0971724,0.0719616,phase_rand,1.5135,2.0438
phase_rand,1.6,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.17928239999999998,0.1332076,0.0956168,phase_rand,1.3459,1.875
