axis,n_points,slope_through_origin,x_min,x_max,slope_ols,intercept_ols,r2,method,window,x_cut_lo,x_cut_hi,cv_across_conditions,spread_ratio
fid_lpips,3,1.2614,0.44093,0.62308,0.5891,0.37254,0.9452,dct_shield,all,0.0,,,
fid_lpips,4,1.1995,0.19798,0.35227,1.1396,0.0172,0.9968,djsma,all,0.0,,,
fid_lpips,5,1.5246,0.03704,0.13321,1.0379,0.04561,0.9519,phase_rand,all,0.0,,,
fid_lpips,44,1.4071,0.04589,0.26168,1.1174,0.05197,0.9395,texture_rephase,all,0.0,,,
fid_lpips,4,1.3481,,,,,,__across_methods__,all,0.0,,0.1085,1.271
fid_dists,3,6.0648,0.04948,0.14682,1.0871,0.58259,0.8884,dct_shield,all,0.0,,,
fid_dists,4,7.0757,0.02415,0.06734,4.0589,0.15118,0.994,djsma,all,0.0,,,
fid_dists,5,2.0813,0.02665,0.09562,1.4727,0.04171,0.9772,phase_rand,all,0.0,,,
fid_dists,44,4.0633,0.02209,0.10957,2.0442,0.12367,0.4389,texture_rephase,all,0.0,,,
fid_dists,4,4.8213,,,,,,__across_methods__,all,0.0,,0.4593,3.4
fid_dists,2,6.5977,0.04981,0.06734,,,,djsma,overlap,0.04948,0.06734,,
fid_dists,15,4.3687,0.04964,0.06393,2.3768,0.11517,0.0722,texture_rephase,overlap,0.04948,0.06734,,
fid_dists,2,5.4832,,,,,,__across_methods__,overlap,0.04948,0.06734,0.2874,1.51
