Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading pipeline components...:   0%|          | 0/6 [00:00<?, ?it/s]
Loading weights:   0%|          | 0/196 [00:00<?, ?it/s][ALoading weights: 100%|██████████| 196/196 [00:00<00:00, 4189.30it/s]
Loading pipeline components...:  33%|███▎      | 2/6 [00:00<00:00, 11.77it/s]Loading pipeline components...:  83%|████████▎ | 5/6 [00:00<00:00, 16.82it/s]Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 15.81it/s]
There are modules in AutoencoderKL that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:207: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:222: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
IP2P 線：10 張、條件 ['warp']、steps=100 s_T=7.5 s_I=1.5 seed=20260812
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/diffusers/image_processor.py:724: FutureWarning: Passing `image` as torch tensor with value range in [-1,1] is deprecated. The expected value range for image tensor is [0,1] when passing as pytorch tensor or numpy Array. You passed `image` with value range [-1.0,1.0]
  warnings.warn(
    [warp] step    0 loss 110.951256 |p| 1.20219
    [warp] step  100 loss 108.947060 |p| 1.24072
    [warp] step  200 loss 108.804695 |p| 1.25253
    [warp] step  300 loss 108.777687 |p| 1.25344
    [warp] step  400 loss 108.773262 |p| 1.25442
    [warp] step  500 loss 108.753395 |p| 1.25812
    [warp] step  600 loss 108.751610 |p| 1.25773
    [warp] step  700 loss 108.751633 |p| 1.25835
    [warp] step  800 loss 108.750565 |p| 1.25842
    [warp] step  900 loss 108.749794 |p| 1.25823
    [warp] step 1000 loss 108.749428 |p| 1.25854
    [warp] step 1100 loss 108.750496 |p| 1.25842
    [warp] step 1200 loss 108.749550 |p| 1.25855
    [warp] step 1300 loss 108.749855 |p| 1.25868
    [warp] step 1400 loss 108.749306 |p| 1.25844
    [warp] step 1500 loss 108.745842 |p| 1.26010
    [warp] step 1600 loss 108.749016 |p| 1.25873
    [warp] step 1700 loss 108.737747 |p| 1.26115
    [warp] step 1800 loss 108.737686 |p| 1.26173
    [warp] step 1900 loss 108.737709 |p| 1.26180
    [warp] step 2000 loss 108.731781 |p| 1.26202
    [warp] step 2100 loss 108.728622 |p| 1.26261
    [warp] step 2200 loss 108.728516 |p| 1.26250
    [warp] step 2300 loss 108.728325 |p| 1.26291
    [warp] step 2400 loss 108.728462 |p| 1.26268
    [warp] step 2500 loss 108.728455 |p| 1.26282
    [warp] step 2600 loss 108.728432 |p| 1.26285
    [warp] step 2700 loss 108.728287 |p| 1.26256
    [warp] step 2800 loss 108.727982 |p| 1.26206
    [warp] step 2900 loss 108.727814 |p| 1.26202
    [warp] step 3000 loss 108.727982 |p| 1.26216
    [warp] step 3100 loss 108.728035 |p| 1.26226
    [warp] step 3200 loss 108.729813 |p| 1.26214
    [warp] step 3300 loss 108.727844 |p| 1.26198
    [warp] step 3400 loss 108.727890 |p| 1.26198
    [warp] step 3500 loss 108.727943 |p| 1.26207
    [warp] step 3600 loss 108.727776 |p| 1.26237
    [warp] step 3700 loss 108.734169 |p| 1.26179
    [warp] step 3800 loss 108.728142 |p| 1.26191
    [warp] step 3900 loss 108.727875 |p| 1.26238
    [warp] step 3999 loss 108.727966 |p| 1.26237
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/diffusers/image_processor.py:724: FutureWarning: Passing `image` as torch tensor with value range in [-1,1] is deprecated. The expected value range for image tensor is [0,1] when passing as pytorch tensor or numpy Array. You passed `image` with value range [-1.0,0.9584155082702637]
  warnings.warn(
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 21156.24it/s]
[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights:  83%|████████▎ | 338/408 [00:00<00:00, 3371.12it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 3369.67it/s]
task_attr_mod_color_11699        warp           r=64.0000 dists=0.0297 lpips=0.1023 effect=0.1267 (1339s)
    [warp] step    0 loss 137.580872 |p| 1.20196
    [warp] step  100 loss 135.313217 |p| 1.29611
    [warp] step  200 loss 134.921921 |p| 1.35287
    [warp] step  300 loss 134.778183 |p| 1.38153
    [warp] step  400 loss 134.736115 |p| 1.39026
    [warp] step  500 loss 134.699036 |p| 1.39656
    [warp] step  600 loss 134.690491 |p| 1.40043
    [warp] step  700 loss 134.682983 |p| 1.40445
    [warp] step  800 loss 134.648453 |p| 1.41025
    [warp] step  900 loss 134.629410 |p| 1.41629
    [warp] step 1000 loss 134.584732 |p| 1.42125
    [warp] step 1100 loss 134.579895 |p| 1.42276
    [warp] step 1200 loss 134.575165 |p| 1.42397
    [warp] step 1300 loss 134.573654 |p| 1.42461
    [warp] step 1400 loss 134.559250 |p| 1.42648
    [warp] step 1500 loss 134.558640 |p| 1.42682
    [warp] step 1600 loss 134.559052 |p| 1.42686
    [warp] step 1700 loss 134.561447 |p| 1.42648
    [warp] step 1800 loss 134.559860 |p| 1.42671
    [warp] step 1900 loss 134.559952 |p| 1.42659
    [warp] step 2000 loss 134.559891 |p| 1.42663
    [warp] step 2100 loss 134.559998 |p| 1.42685
    [warp] step 2200 loss 134.559494 |p| 1.42673
    [warp] step 2300 loss 134.559906 |p| 1.42704
    [warp] step 2400 loss 134.560501 |p| 1.42674
    [warp] step 2500 loss 134.559845 |p| 1.42713
    [warp] step 2600 loss 134.559814 |p| 1.42708
    [warp] step 2700 loss 134.560074 |p| 1.42692
    [warp] step 2800 loss 134.559601 |p| 1.42692
    [warp] step 2900 loss 134.559753 |p| 1.42677
    [warp] step 3000 loss 134.559601 |p| 1.42670
    [warp] step 3100 loss 134.559814 |p| 1.42693
    [warp] step 3200 loss 134.559570 |p| 1.42717
    [warp] step 3300 loss 134.559814 |p| 1.42696
    [warp] step 3400 loss 134.559860 |p| 1.42709
    [warp] step 3500 loss 134.559723 |p| 1.42720
    [warp] step 3600 loss 134.559586 |p| 1.42705
    [warp] step 3700 loss 134.559692 |p| 1.42710
    [warp] step 3800 loss 134.544754 |p| 1.42969
    [warp] step 3900 loss 134.539917 |p| 1.43323
    [warp] step 3999 loss 134.540054 |p| 1.43372
task_attr_mod_color_136767       warp           r=64.0000 dists=0.0398 lpips=0.1003 effect=0.1309 (1344s)
    [warp] step    0 loss 108.872208 |p| 1.20087
    [warp] step  100 loss 106.747375 |p| 1.26115
    [warp] step  200 loss 106.368690 |p| 1.29388
    [warp] step  300 loss 106.280930 |p| 1.30177
    [warp] step  400 loss 106.214211 |p| 1.30612
    [warp] step  500 loss 106.183792 |p| 1.30829
    [warp] step  600 loss 106.182465 |p| 1.30847
    [warp] step  700 loss 106.181961 |p| 1.30747
    [warp] step  800 loss 106.180481 |p| 1.30617
    [warp] step  900 loss 106.175339 |p| 1.30655
    [warp] step 1000 loss 106.177803 |p| 1.30686
    [warp] step 1100 loss 106.175858 |p| 1.30660
    [warp] step 1200 loss 106.174744 |p| 1.30662
    [warp] step 1300 loss 106.174828 |p| 1.30668
    [warp] step 1400 loss 106.174889 |p| 1.30644
    [warp] step 1500 loss 106.155876 |p| 1.31106
    [warp] step 1600 loss 106.135437 |p| 1.31297
    [warp] step 1700 loss 106.130363 |p| 1.31323
