image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,stop_reason,stopped_at,best_eval,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,disp_k8_opt,instruct-pix2pix,turn the color of potted plant to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,4601,92.67672729,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.12756,0.94275,26.072,0.49927,0.06369,0.17892,0.87756,21.816,0.38888,0.09732,0.54157,0.04971,0.97297,0.97805,False,0.837,765.8
task_attr_mod_color_136767,disp_k8_opt,instruct-pix2pix,turn the color of astronaut to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,4001,117.930336,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14022,0.94561,28.047,0.50575,0.09351,0.18651,0.86688,24.923,0.38277,0.11031,0.48305,0.0396,0.99026,0.98424,False,0.837,658.6
task_attr_mod_color_184837,disp_k8_opt,instruct-pix2pix,turn the color of frame to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,max_steps,5000,89.18567657,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14072,0.89749,23.477,0.43396,0.12391,0.23636,0.74542,19.638,0.31029,0.15066,0.58638,0.06701,0.98307,0.96858,False,0.837,818.1
task_attr_mod_color_32648,disp_k8_opt,instruct-pix2pix,turn the color of potion bottle to orange,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3601,152.36611938,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.10669,0.98759,39.25,0.68867,0.05336,0.17271,0.89676,20.735,0.63835,0.1507,0.40422,0.0109,0.95787,0.94844,False,0.837,594.9
task_attr_mod_color_6205,disp_k8_opt,instruct-pix2pix,turn the color of toolbox to red,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,4201,98.17391968,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.10065,0.96022,30.585,0.60677,0.08928,0.24388,0.78249,13.621,0.48157,0.13899,0.52595,0.02956,0.97693,0.95665,False,0.837,690.9
task_env_weather_112463,disp_k8_opt,instruct-pix2pix,transform the setting to spring with blooming flowers,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3901,104.59297943,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.17114,0.91295,29.304,0.53902,0.05389,0.25644,0.74467,21.873,0.31934,0.10329,0.40942,0.03426,0.95698,0.94496,False,0.837,643.1
task_obj_remove_380621,disp_k8_opt,instruct-pix2pix,Remove iceberg,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3901,88.08473969,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13148,0.95055,27.79,0.5953,0.08473,0.20973,0.82947,22.195,0.39633,0.11378,0.75302,0.04079,0.98413,0.97541,False,0.837,643.1
task_obj_swap_joint_mask_276754,disp_k8_opt,instruct-pix2pix,Replace the satellite dish with rocket,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,max_steps,5000,102.07427979,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33239,0.78579,24.4,0.25961,0.13341,0.31734,0.7816,18.151,0.17882,0.21018,0.73362,0.06025,0.93165,0.90932,False,0.837,817.5
task_obj_swap_joint_mask_533428,disp_k8_opt,instruct-pix2pix,Replace the samurai armor with red jacket,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,max_steps,5000,90.17137146,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18878,0.90316,24.586,0.43885,0.10197,0.36999,0.62587,16.701,0.20704,0.17513,0.6931,0.05898,0.95658,0.93484,False,0.837,818.8
task_obj_swap_rand_mask_417469,disp_k8_opt,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,4001,107.8350296,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1487,0.93289,27.27,0.50164,0.05991,0.20112,0.83365,23.417,0.3682,0.08953,0.52852,0.0433,0.97974,0.94197,False,0.837,660.3
