image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.9,512.0,319.6666666666667,170.0,,,,0.316702276468277,0.3028945326805115,0.013807757757604122,0.19710546731948853,30.126266479492188,0.5550294518470764,30.126266479492188,0.5550294518470764,0.9840881824493408,0.013807757757604122,0.25933921337127686,1.7611876726150513,0.829866349697113,0.6763876676559448,32
car_01,S,32,a wrecked car after an accident,25,10,10,1,97.4,rotate,0,0.0,,,11507.9,0.71,512.0,303.0,159.0,,,,0.3620220720767975,0.3456883132457733,0.016333751380443573,0.15431168675422668,30.60980987548828,0.6994085907936096,30.60980987548828,0.6994085907936096,0.9855644106864929,0.016333751380443573,0.2561488747596741,1.6330403089523315,0.7597506642341614,0.6502594947814941,32
dog_00,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,1.59,512.0,305.3333333333333,131.66666666666666,,,,0.47207769751548767,0.4577590227127075,0.014318670146167278,0.042240992188453674,40.361820220947266,0.3153781294822693,40.361820220947266,0.3153781294822693,0.9950456023216248,0.014318670146167278,0.21587204933166504,1.153774619102478,0.6038476228713989,0.5695183277130127,32
dog_01,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,1.76,512.0,287.0,145.66666666666666,,,,0.31503522396087646,0.3007015585899353,0.014333673752844334,0.1992984563112259,36.48037338256836,0.2846534848213196,36.48037338256836,0.2846534848213196,0.9900598526000977,0.014333673752844334,0.27872779965400696,1.7651276588439941,0.9176824688911438,0.7220438718795776,32
person_00,S,32,an elderly person with gray hair,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,1.29,512.0,269.6666666666667,108.33333333333333,,,,0.37623709440231323,0.362388551235199,0.013848548755049706,0.13761144876480103,38.085487365722656,0.38884684443473816,38.085487365722656,0.38884684443473816,0.9927563071250916,0.013848548755049706,0.3399912714958191,2.012432098388672,1.1758487224578857,0.8677698373794556,32
person_01,S,32,an elderly person with gray hair,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,0.96,512.0,292.3333333333333,145.33333333333334,,,,0.3291776478290558,0.31587302684783936,0.013304611667990685,0.18412697315216064,37.55265426635742,0.5219191908836365,37.55265426635742,0.5219191908836365,0.9927927851676941,0.013304611667990685,0.31831759214401245,2.108759880065918,1.0532021522521973,0.8086860179901123,32
