image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.28784,0.95597,26.029,0.4744,0.0849,0.36655,0.71983,18.171,0.29333,0.21,0.78106,0.04995,0.90635,0.90102,False,0.837,403.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34466,0.93043,26.482,0.39906,0.14675,0.4578,0.65689,16.536,0.24009,0.25838,0.77935,0.04741,0.95528,0.92208,False,0.837,391.5
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40784,0.89243,22.125,0.34252,0.20505,0.56862,0.45649,15.694,0.22213,0.32823,0.6968,0.0783,0.93478,0.87791,False,0.837,391.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36684,0.98231,35.8,0.47573,0.06489,0.30402,0.72956,17.141,0.53514,0.20649,0.55614,0.01622,0.93558,0.93455,False,0.837,390.1
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27918,0.9559,29.29,0.52455,0.11735,0.43964,0.62712,11.839,0.3861,0.2565,0.75373,0.03431,0.91175,0.86376,False,0.837,390.7
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39973,0.93675,30.045,0.50572,0.07266,0.39191,0.54011,16.925,0.30915,0.20499,0.47074,0.03146,0.89694,0.8854,False,0.837,390.6
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38052,0.8739,20.395,0.30218,0.13399,0.57278,0.31501,14.765,0.12618,0.32246,0.97647,0.09556,0.91235,0.84591,False,0.837,389.9
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34713,0.9455,25.376,0.41113,0.08869,0.44843,0.65951,17.376,0.22739,0.25231,0.57241,0.05385,0.89203,0.84489,False,0.837,390.0
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45301,0.91128,25.658,0.39349,0.13111,0.51006,0.43042,15.961,0.22905,0.33328,0.6164,0.05213,0.9014,0.72321,True,0.837,391.4
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34963,0.94555,26.335,0.51331,0.1049,0.44328,0.53437,13.923,0.32969,0.25511,0.92808,0.04822,0.8823,0.83301,True,0.837,391.8
