image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.05745,0.98517,32.998,0.66273,0.03143,0.08697,0.94462,25.544,0.50478,0.03756,0.26942,0.02239,37.2
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.10981,0.96693,31.903,0.5935,0.043,0.14557,0.90068,24.196,0.41917,0.08169,0.23347,0.0254,37.2
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.0883,0.9678,27.761,0.55069,0.03511,0.13525,0.84201,21.259,0.38079,0.08517,0.33843,0.04092,37.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.0988,0.99263,43.665,0.75708,0.04176,0.09332,0.96959,34.776,0.657,0.05596,0.13135,0.00656,37.3
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.06019,0.97914,34.55,0.70579,0.06014,0.088,0.93068,26.832,0.58326,0.07432,0.24987,0.01873,37.4
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.11649,0.96391,32.94,0.60659,0.04244,0.19971,0.83449,23.717,0.34684,0.08491,0.25372,0.02254,37.4
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08569,0.96855,33.211,0.62236,0.03784,0.14192,0.916,28.007,0.41727,0.0424,0.26134,0.02185,37.4
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.11377,0.96116,33.432,0.59216,0.04915,0.15073,0.89297,26.425,0.49609,0.08206,0.15384,0.0213,37.5
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.12034,0.96535,26.251,0.552,0.03339,0.261,0.71774,19.307,0.25447,0.10174,0.5028,0.04869,37.3
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08615,0.98278,31.125,0.62042,0.03393,0.12585,0.91747,24.357,0.39835,0.05503,0.36681,0.02778,37.4
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.11325,0.97193,31.021,0.58665,0.04337,0.21083,0.82134,22.73,0.26277,0.07874,0.28207,0.02811,37.4
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.06109,0.98404,34.05,0.70331,0.04047,0.15058,0.88207,18.284,0.50847,0.10466,0.25941,0.01984,37.5
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.19192,0.96647,31.454,0.60915,0.04353,0.23024,0.82538,22.0,0.36561,0.11302,0.2611,0.02675,37.5
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08108,0.9686,36.097,0.67043,0.06072,0.11319,0.92469,30.901,0.57308,0.06488,0.19893,0.01567,37.5
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.0639,0.98195,31.627,0.72021,0.02273,0.1087,0.92475,24.882,0.53937,0.03433,0.29194,0.02622,37.5
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.1725,0.96909,29.536,0.6337,0.02811,0.35432,0.53551,14.166,0.11439,0.21447,0.35139,0.03336,37.4
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.55,False,0.0,0.08,100,7.5,1.5,20260812,False,0.13325,0.97579,36.274,0.69541,0.05901,0.17341,0.92193,29.533,0.44902,0.07507,0.18862,0.01536,37.5
