condition,anchor_dists,latent_move,move_per_dists,out_of_range,dists_lo,dists_hi,n_amps
disp_k1,0.05,50.9515,1019.03,0,0.00012,0.21252,9
disp_k1,0.1,68.629,686.29,0,0.00012,0.21252,9
disp_k1,0.1286,74.1412,576.53,0,0.00012,0.21252,9
disp_k1,0.15,78.2656,521.77,0,0.00012,0.21252,9
disp_k2,0.05,49.7902,995.8,0,0.0001,0.21325,9
disp_k2,0.1,69.7497,697.5,0,0.0001,0.21325,9
disp_k2,0.1286,74.5192,579.47,0,0.0001,0.21325,9
disp_k2,0.15,78.088,520.59,0,0.0001,0.21325,9
disp_k3,0.05,48.5299,970.6,0,0.00011,0.21505,9
disp_k3,0.1,66.933,669.33,0,0.00011,0.21505,9
disp_k3,0.1286,72.744,565.66,0,0.00011,0.21505,9
disp_k3,0.15,76.6069,510.71,0,0.00011,0.21505,9
disp_k4,0.05,45.9484,918.97,0,0.00012,0.21724,9
disp_k4,0.1,64.2274,642.27,0,0.00012,0.21724,9
disp_k4,0.1286,71.6271,556.98,0,0.00012,0.21724,9
disp_k4,0.15,75.5288,503.53,0,0.00012,0.21724,9
disp_k8,0.05,44.3867,887.73,0,9e-05,0.21641,9
disp_k8,0.1,59.9839,599.84,0,9e-05,0.21641,9
disp_k8,0.1286,67.3918,524.04,0,9e-05,0.21641,9
disp_k8,0.15,71.971,479.81,0,9e-05,0.21641,9
disp_kfull,0.05,34.5115,690.23,0,0.0005,0.18044,6
disp_kfull,0.1,49.2816,492.82,0,0.0005,0.18044,6
disp_kfull,0.1286,56.8778,442.28,0,0.0005,0.18044,6
disp_kfull,0.15,62.5616,417.08,0,0.0005,0.18044,6
warp_smooth,0.05,52.951,1059.02,0,0.0069,0.17633,6
warp_smooth,0.1,77.9351,779.35,0,0.0069,0.17633,6
warp_smooth,0.1286,84.8656,659.92,0,0.0069,0.17633,6
warp_smooth,0.15,90.0513,600.34,0,0.0069,0.17633,6
warp_fold,0.05,33.7656,675.31,0,0.00911,0.31431,6
warp_fold,0.1,45.1753,451.75,0,0.00911,0.31431,6
warp_fold,0.1286,51.115,397.47,0,0.00911,0.31431,6
warp_fold,0.15,55.5594,370.4,0,0.00911,0.31431,6
