batch,image_id,group,condition,purify_dir,purify_kind,purify_strength,seed,tau,png,s_target,s_source,margin,success,clip_target,clip_source,clip_margin
s3t20_pj_merged,horse_00,,control,adverse_cleaner_0,,,0,,control/horse_00/purify/adverse_cleaner_0/edit_seed0.png,0.12248677760362625,0.043025337159633636,0.07946144044399261,1,0.315675288438797,0.26446396112442017,0.05121132731437683
s3t20_pj_merged,horse_00,,control,adverse_cleaner_0,,,1,,control/horse_00/purify/adverse_cleaner_0/edit_seed1.png,0.12036394327878952,0.04465442895889282,0.0757095143198967,1,0.2945043742656708,0.2748124301433563,0.019691944122314453
s3t20_pj_merged,horse_00,,control,adverse_cleaner_0,,,2,,control/horse_00/purify/adverse_cleaner_0/edit_seed2.png,0.11654650419950485,0.0624999925494194,0.05404651165008545,1,0.2503178119659424,0.2798100411891937,-0.029492229223251343
s3t20_pj_merged,horse_00,,control,adverse_cleaner_0,,,3,,control/horse_00/purify/adverse_cleaner_0/edit_seed3.png,0.12484700232744217,0.05238533020019531,0.07246167212724686,1,0.31000855565071106,0.274319589138031,0.035688966512680054
s3t20_pj_merged,horse_00,,control,adverse_cleaner_0,,,4,,control/horse_00/purify/adverse_cleaner_0/edit_seed4.png,0.12097533047199249,0.051112957298755646,0.06986237317323685,1,0.3332844376564026,0.26724040508270264,0.06604403257369995
s3t20_pj_merged,horse_00,,control,blur_0.25,,,0,,control/horse_00/purify/blur_0.25/edit_seed0.png,0.11715088039636612,0.049919359385967255,0.06723152101039886,1,0.31080058217048645,0.260366827249527,0.05043375492095947
s3t20_pj_merged,horse_00,,control,blur_0.25,,,1,,control/horse_00/purify/blur_0.25/edit_seed1.png,0.11828669905662537,0.04154384881258011,0.07674285024404526,1,0.3103508949279785,0.2703706920146942,0.0399802029132843
s3t20_pj_merged,horse_00,,control,blur_0.25,,,2,,control/horse_00/purify/blur_0.25/edit_seed2.png,0.11456143110990524,0.056151628494262695,0.05840980261564255,1,0.3060973286628723,0.27106213569641113,0.03503519296646118
s3t20_pj_merged,horse_00,,control,blur_0.25,,,3,,control/horse_00/purify/blur_0.25/edit_seed3.png,0.11785000562667847,0.047187257558107376,0.07066274806857109,1,0.3040182888507843,0.2519228160381317,0.05209547281265259
s3t20_pj_merged,horse_00,,control,blur_0.25,,,4,,control/horse_00/purify/blur_0.25/edit_seed4.png,0.11982079595327377,0.05670742690563202,0.06311336904764175,1,0.3052229881286621,0.24650634825229645,0.05871663987636566
s3t20_pj_merged,horse_00,,control,blur_0.5,,,0,,control/horse_00/purify/blur_0.5/edit_seed0.png,0.12086117267608643,0.05282718688249588,0.06803398579359055,1,0.3114526867866516,0.26870423555374146,0.042748451232910156
s3t20_pj_merged,horse_00,,control,blur_0.5,,,1,,control/horse_00/purify/blur_0.5/edit_seed1.png,0.12008115649223328,0.04725189507007599,0.07282926142215729,1,0.2796172797679901,0.2748825252056122,0.00473475456237793
s3t20_pj_merged,horse_00,,control,blur_0.5,,,2,,control/horse_00/purify/blur_0.5/edit_seed2.png,0.1130208745598793,0.05247269943356514,0.06054817512631416,1,0.3044150769710541,0.27347180247306824,0.03094327449798584
s3t20_pj_merged,horse_00,,control,blur_0.5,,,3,,control/horse_00/purify/blur_0.5/edit_seed3.png,0.12166625261306763,0.0488603338599205,0.07280591875314713,1,0.30511990189552307,0.2525661587715149,0.05255374312400818
s3t20_pj_merged,horse_00,,control,blur_0.5,,,4,,control/horse_00/purify/blur_0.5/edit_seed4.png,0.1192459985613823,0.05274674668908119,0.0664992518723011,1,0.314039021730423,0.2566906809806824,0.0573483407497406
s3t20_pj_merged,horse_00,,control,blur_0.75,,,0,,control/horse_00/purify/blur_0.75/edit_seed0.png,0.12447145581245422,0.050979144871234894,0.07349231094121933,1,0.31392112374305725,0.2630208730697632,0.05090025067329407
s3t20_pj_merged,horse_00,,control,blur_0.75,,,1,,control/horse_00/purify/blur_0.75/edit_seed1.png,0.11676193028688431,0.04651997610926628,0.07024195417761803,1,0.2872241735458374,0.26007598638534546,0.027148187160491943
s3t20_pj_merged,horse_00,,control,blur_0.75,,,2,,control/horse_00/purify/blur_0.75/edit_seed2.png,0.11229731142520905,0.05579795688390732,0.05649935454130173,1,0.2968549132347107,0.28183993697166443,0.015014976263046265
s3t20_pj_merged,horse_00,,control,blur_0.75,,,3,,control/horse_00/purify/blur_0.75/edit_seed3.png,0.11954738944768906,0.04417574033141136,0.0753716491162777,1,0.3098200559616089,0.25580456852912903,0.05401548743247986
s3t20_pj_merged,horse_00,,control,blur_0.75,,,4,,control/horse_00/purify/blur_0.75/edit_seed4.png,0.11794529110193253,0.04341164603829384,0.07453364506363869,1,0.31216639280319214,0.24369485676288605,0.06847153604030609
s3t20_pj_merged,horse_00,,control,crop_resize_0.1,,,0,,control/horse_00/purify/crop_resize_0.1/edit_seed0.png,0.11612345278263092,0.044290851801633835,0.07183260098099709,1,0.32013675570487976,0.25046345591545105,0.06967329978942871
s3t20_pj_merged,horse_00,,control,crop_resize_0.1,,,1,,control/horse_00/purify/crop_resize_0.1/edit_seed1.png,0.12121901661157608,0.05327655375003815,0.06794246286153793,1,0.3122904300689697,0.26878201961517334,0.04350841045379639
s3t20_pj_merged,horse_00,,control,crop_resize_0.1,,,2,,control/horse_00/purify/crop_resize_0.1/edit_seed2.png,0.11545807123184204,0.04761599004268646,0.06784208118915558,1,0.2840099036693573,0.26344969868659973,0.02056020498275757
s3t20_pj_merged,horse_00,,control,crop_resize_0.1,,,3,,control/horse_00/purify/crop_resize_0.1/edit_seed3.png,0.11610063910484314,0.047245483845472336,0.0688551552593708,1,0.31118524074554443,0.2614390552043915,0.049746185541152954
s3t20_pj_merged,horse_00,,control,crop_resize_0.1,,,4,,control/horse_00/purify/crop_resize_0.1/edit_seed4.png,0.11687368899583817,0.058996498584747314,0.05787719041109085,1,0.30170175433158875,0.24955417215824127,0.05214758217334747
