image_id,condition,tau,seed,lpips_to_orig,psnr_to_orig,ssim_to_orig
bird_03,control,,0,0.3946015238761902,21.93110466003418,0.6693002581596375
bird_03,control,,1,0.41263842582702637,20.93441390991211,0.6221791505813599
bird_03,control,,2,0.400829941034317,21.193378448486328,0.63739013671875
bird_03,control,,3,0.43398869037628174,21.201265335083008,0.6257447004318237
bird_03,control,,4,0.3952096998691559,21.390066146850586,0.6479490399360657
bird_03,N4,0.2,0,0.3992531895637512,21.908912658691406,0.6695160865783691
bird_03,N4,0.2,1,0.42312076687812805,21.283863067626953,0.630243718624115
bird_03,N4,0.2,2,0.40177881717681885,21.30526351928711,0.6370033025741577
bird_03,N4,0.2,3,0.43395644426345825,21.09553337097168,0.6270582675933838
bird_03,N4,0.2,4,0.40120992064476013,21.325401306152344,0.6463624835014343
bird_03,N4,0.35,0,0.43118372559547424,20.967758178710938,0.6411974430084229
bird_03,N4,0.35,1,0.4506041407585144,20.856212615966797,0.6151760816574097
bird_03,N4,0.35,2,0.43406033515930176,20.434581756591797,0.6160750389099121
bird_03,N4,0.35,3,0.4748983383178711,20.56464958190918,0.6164578795433044
bird_03,N4,0.35,4,0.42308107018470764,20.953168869018555,0.6293823719024658
bird_03,N4,0.5,0,0.6168625354766846,16.80242347717285,0.4751990735530853
bird_03,N4,0.5,1,0.5868546962738037,17.029598236083984,0.4312949776649475
bird_03,N4,0.5,2,0.6045557260513306,16.13510513305664,0.43876001238822937
bird_03,N4,0.5,3,0.601316511631012,16.668468475341797,0.46140211820602417
bird_03,N4,0.5,4,0.5763423442840576,16.8121280670166,0.4776507616043091
bird_03,Ra,0.2,0,0.4002596139907837,21.799880981445312,0.6690186262130737
bird_03,Ra,0.2,1,0.42235392332077026,20.952606201171875,0.6208527088165283
bird_03,Ra,0.2,2,0.40083783864974976,21.18755531311035,0.6364378929138184
bird_03,Ra,0.2,3,0.4337194561958313,21.086177825927734,0.6272546648979187
bird_03,Ra,0.2,4,0.39925602078437805,21.20528793334961,0.6455796957015991
bird_03,Ra,0.35,0,0.4226701259613037,21.44944953918457,0.6566221117973328
bird_03,Ra,0.35,1,0.4418438971042633,20.648319244384766,0.6083731055259705
bird_03,Ra,0.35,2,0.4287070035934448,20.788124084472656,0.6202298998832703
bird_03,Ra,0.35,3,0.45108234882354736,20.814701080322266,0.6176636815071106
bird_03,Ra,0.35,4,0.409429132938385,20.95994758605957,0.6344664096832275
