image_id,condition,tau,x_base,acut_dev,chroma_bias,acut_hinge_active,chroma_hinge_active,acutance_ratio,lpips,psnr,tau_achieved,scale_k,disp_max_px
bird_03,N1,0.05,orig,0.0237,0.1339,False,False,1.0018,0.0484,31.18,0.0484,0.9375,2.732
bird_03,N1,0.1,orig,0.03844,0.25087,False,False,1.0015,0.1027,27.48,0.1027,1.75,5.1
bird_03,N1,0.2,orig,0.06528,0.45692,True,False,1.0068,0.1997,24.79,0.1997,3.125,9.107
bird_03,N1,0.35,orig,0.10118,0.79476,True,False,1.0202,0.3465,22.78,0.3465,5.5,11.314
bird_03,N2,0.05,orig,0.01801,0.14211,False,False,0.9951,0.0471,31.88,0.0471,0.75,3.384
bird_03,N2,0.1,orig,0.03114,0.25952,False,False,0.9923,0.0985,28.24,0.0985,1.375,6.205
bird_03,N2,0.2,orig,0.05529,0.46862,True,False,0.9882,0.197,25.37,0.197,2.5,10.868
bird_03,N2,0.35,orig,0.11674,0.79267,True,False,0.9958,0.3493,22.97,0.3493,4.625,11.314
bird_03,N3,0.2,baseline_phi0,0.14106,2.72708,True,True,0.8985,0.1968,22.91,0.1968,6.5,
bird_03,N3,0.35,baseline_phi0,0.34318,6.73703,True,True,0.8634,0.3492,15.52,0.3492,17.0,
bird_03,R,0.05,orig,0.03272,0.13002,False,False,1.0001,0.0467,31.81,0.0467,1.875,3.514
bird_03,R,0.1,orig,0.05541,0.24248,True,False,1.0007,0.1018,27.94,0.1018,3.5,6.56
bird_03,R,0.2,orig,0.08636,0.41211,True,False,1.0029,0.1954,25.3,0.1954,6.0,9.958
bird_03,R,0.35,orig,0.14232,0.72086,True,False,1.0199,0.3473,22.98,0.3473,11.0,11.314
bird_03,photoguard_c,0.05,orig,0.00545,0.048,False,False,0.9951,0.0469,55.42,0.0469,0.1875,
bird_03,photoguard_c,0.1,orig,0.00886,0.08716,False,False,0.9936,0.0953,51.91,0.0953,0.2812,
bird_03,photoguard_c,0.2,orig,0.01515,0.16322,False,False,0.9927,0.2015,47.47,0.2015,0.4688,
bird_03,photoguard_c,0.35,orig,0.02844,0.28504,False,False,0.9978,0.3538,42.7,0.3538,0.8125,
bird_03,mist,0.05,orig,0.0122,0.23392,False,False,0.9893,0.0479,50.7,0.0479,0.0625,
bird_03,mist,0.1,orig,0.01923,0.34339,False,False,0.9847,0.0999,46.83,0.0999,0.0977,
bird_03,mist,0.2,orig,0.03412,0.66328,False,False,0.9777,0.2022,41.53,0.2022,0.1797,
bird_03,mist,0.35,orig,0.05862,1.10959,True,True,0.9786,0.3511,36.51,0.3511,0.3203,
bird_03,dia_r,0.05,orig,0.00456,0.06462,False,False,1.0023,0.0534,54.97,0.0534,0.1875,
bird_03,dia_r,0.1,orig,0.00744,0.09787,False,False,1.0043,0.0955,51.46,0.0955,0.2812,
bird_03,dia_r,0.2,orig,0.01859,0.19382,False,False,1.0152,0.199,44.97,0.199,0.5938,
bird_03,dia_r,0.35,orig,0.07006,0.43023,True,False,1.0647,0.351,38.09,0.351,1.3125,
dog_03,N1,0.05,orig,0.01964,0.15492,False,False,1.0073,0.0494,27.57,0.0494,0.6875,2.411
dog_03,N1,0.1,orig,0.02818,0.25073,False,False,1.0073,0.0977,24.16,0.0977,1.125,3.946
dog_03,N1,0.2,orig,0.05252,0.45791,True,False,1.0135,0.2005,20.75,0.2005,2.0625,7.234
dog_03,N1,0.35,orig,0.11846,0.81973,True,True,1.0368,0.3522,18.04,0.3522,3.75,11.314
dog_03,N2,0.05,orig,0.01767,0.14487,False,False,1.0085,0.0487,30.27,0.0487,0.375,5.576
dog_03,N2,0.1,orig,0.0247,0.23692,False,False,1.0086,0.1006,26.57,0.1006,0.625,8.861
dog_03,N2,0.2,orig,0.04113,0.44222,True,False,1.0132,0.2018,22.49,0.2018,1.1875,11.314
dog_03,N2,0.35,orig,0.09614,0.78018,True,False,1.0364,0.3533,19.01,0.3533,2.375,11.314
dog_03,N3,0.2,baseline_phi0,0.13801,2.60352,True,True,1.0034,0.2011,20.52,0.2011,4.5,
dog_03,N3,0.35,baseline_phi0,0.3548,5.18512,True,True,1.0812,0.3507,14.73,0.3507,10.5,
dog_03,R,0.05,orig,0.02791,0.10962,False,False,1.0098,0.0491,28.07,0.0491,1.75,3.507
dog_03,R,0.1,orig,0.04228,0.18404,True,False,1.0122,0.1016,24.61,0.1016,3.0,6.011
dog_03,R,0.2,orig,0.06983,0.31674,True,False,1.0177,0.2021,21.63,0.2021,5.25,9.002
dog_03,R,0.35,orig,0.1198,0.53679,True,False,1.0349,0.3515,19.23,0.3515,9.0,11.314
dog_03,photoguard_c,0.05,orig,0.00354,0.09095,False,False,0.997,0.0547,51.91,0.0547,0.2812,
dog_03,photoguard_c,0.1,orig,0.00492,0.12896,False,False,0.9964,0.0999,49.06,0.0999,0.3906,
dog_03,photoguard_c,0.2,orig,0.00804,0.22017,False,False,0.9965,0.1975,44.55,0.1975,0.6562,
dog_03,photoguard_c,0.35,orig,0.02689,0.56221,False,False,1.0129,0.3549,36.71,0.3549,1.625,
dog_03,mist,0.05,orig,0.0228,0.32991,False,False,0.9786,0.0467,44.5,0.0467,0.125,
dog_03,mist,0.1,orig,0.03161,0.46309,False,False,0.9721,0.0952,41.73,0.0952,0.1719,
dog_03,mist,0.2,orig,0.04218,0.65497,True,False,0.9614,0.1988,37.95,0.1988,0.2656,
dog_03,mist,0.35,orig,0.06453,1.11038,True,True,0.9501,0.3547,33.62,0.3547,0.4375,
dog_03,dia_r,0.05,orig,0.00743,0.35102,False,False,1.0024,0.0481,47.45,0.0481,0.4062,
dog_03,dia_r,0.1,orig,0.0127,0.5522,False,False,1.0053,0.0988,43.71,0.0988,0.625,
dog_03,dia_r,0.2,orig,0.02792,1.05031,False,True,1.0183,0.2042,38.13,0.2042,1.1875,
dog_03,dia_r,0.35,orig,0.09433,2.29071,True,True,1.0859,0.3515,31.26,0.3515,2.625,
