image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34982,0.93349,23.958,0.39293,0.11481,0.49262,0.62092,13.142,0.21302,0.27664,0.94902,0.0634,0.76754,0.78196,True,0.837,191.8
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41248,0.89739,24.038,0.31821,0.18774,0.56756,0.40571,9.726,0.18049,0.33481,0.96188,0.06282,0.79304,0.83846,False,0.837,182.4
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4701,0.84919,20.03,0.27152,0.23282,0.76063,0.14846,7.288,0.1509,0.4674,0.83348,0.09966,0.70952,0.73011,True,0.837,182.5
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43367,0.96993,32.76,0.34803,0.09429,0.35945,0.67076,14.724,0.61905,0.27073,0.84625,0.02301,0.92763,0.91471,False,0.837,182.5
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3491,0.93215,26.889,0.43678,0.1449,0.55072,0.45169,9.813,0.3788,0.33098,0.92711,0.04524,0.84288,0.78858,True,0.837,182.6
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45484,0.91664,28.248,0.43094,0.09163,0.8118,0.42025,10.982,0.18401,0.33144,0.76176,0.03869,0.58446,0.57747,True,0.837,182.7
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43468,0.82465,18.807,0.2416,0.17403,0.62284,0.24371,13.883,0.12202,0.37125,0.97647,0.11472,0.88524,0.84192,False,0.837,183.0
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41133,0.91978,23.311,0.33105,0.11828,0.50764,0.56722,15.449,0.19611,0.30033,0.7451,0.0683,0.86991,0.79627,True,0.837,183.2
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49975,0.86934,23.556,0.31393,0.17262,0.56327,0.36946,15.276,0.20205,0.36784,0.7331,0.0664,0.87313,0.7245,True,0.837,182.8
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40977,0.91951,24.134,0.43874,0.128,0.69889,0.30121,8.108,0.09159,0.3614,0.95137,0.06213,0.74577,0.70554,True,0.837,183.7
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45856,0.82582,21.417,0.1912,0.20506,0.66233,0.50295,12.804,0.01382,0.41784,0.95686,0.08495,0.78317,0.81924,True,0.837,183.6
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49814,0.85599,22.026,0.27037,0.1828,0.64201,0.24744,9.549,0.05376,0.28185,0.82985,0.07919,0.6469,0.61241,True,0.837,183.6
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.8,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47702,0.87228,23.105,0.29098,0.15107,0.68763,0.32888,9.127,0.1176,0.44105,0.96078,0.06995,0.35769,0.4903,True,0.837,182.8
