image,condition,budget_target,variant,effect_mean,effect_sd,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,amp_dev,clip_fraction,clip_mean,clip_max,scale,unreachable,edit_strength,seconds
cat_00,add,human,full,0.16861,,0.05777,0.00724,52.293,0.99895,0.00392,0.00243,0.001907,0.0,0.0,0.0,1.0,False,0.7,6.6
cat_00,add,human,amp,0.11415,,0.01625,0.00147,55.404,0.99958,0.00854,0.00169,0.001805,0.226412,0.00018285,0.006575,1.0,False,0.7,11.8
cat_00,add,human,pha,0.10153,,0.01115,0.00085,56.401,0.99967,0.00831,0.00151,0.000593,0.348014,0.00033375,0.005908,1.0,False,0.7,17.1
cat_00,add,human,amp_s,0.2462,,0.07679,0.00724,50.363,0.99877,0.0153,0.00303,0.003217,0.227858,0.00032973,0.011776,1.79102,False,0.7,22.4
cat_00,add,human,pha_s,0.24026,,0.08286,0.00724,49.7,0.99861,0.01808,0.00327,0.001359,0.351168,0.00073401,0.012855,2.17578,False,0.7,27.8
cat_00,phase,human,full,0.26508,,0.12636,0.04795,34.977,0.97437,0.43137,0.01783,0.013362,0.0,0.0,0.0,1.0,False,0.7,6.2
cat_00,phase,human,amp,0.30993,,0.2062,0.10561,38.704,0.98093,0.18389,0.01161,0.012263,0.335356,0.0018661,0.048962,1.0,False,0.7,11.6
cat_00,phase,human,pha,0.33133,,0.25248,0.11184,37.162,0.97464,0.30649,0.01386,0.004511,0.343933,0.00221738,0.060156,1.0,False,0.7,17.0
cat_00,phase,human,amp_s,0.20286,,0.1062,0.0479,45.063,0.99559,0.08835,0.00558,0.005914,0.333146,0.00089074,0.023525,0.48047,False,0.7,22.4
cat_00,phase,human,pha_s,0.22967,,0.11912,0.04788,44.229,0.99487,0.13558,0.00614,0.003219,0.340199,0.00096772,0.026612,0.44238,False,0.7,27.8
