image,condition,budget_target,variant,effect_mean,effect_sd,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,amp_dev,clip_fraction,clip_mean,clip_max,scale,unreachable,edit_strength,seconds
raccoon_00,add,human,full,0.23051,0.05863,0.12351,0.00997,49.126,0.99791,0.00392,0.0035,0.005251,0.0,0.0,0.0,1.0,False,0.7,17.1
raccoon_00,add,human,amp,0.12339,0.10608,0.05447,0.00362,52.091,0.99904,0.01076,0.00248,0.00525,0.000266,3.1e-07,0.004984,1.0,False,0.7,33.1
raccoon_00,add,human,pha,0.11187,0.10318,0.05588,0.00343,52.146,0.99903,0.01047,0.00247,5.3e-05,0.000429,5.8e-07,0.005555,1.0,False,0.7,49.2
raccoon_00,add,human,amp_s,0.2352,0.09201,0.11882,0.00997,47.515,0.99725,0.01824,0.00421,0.00889,0.000318,6.3e-07,0.008444,1.69434,False,0.7,65.5
raccoon_00,add,human,pha_s,0.23949,0.03875,0.1232,0.00997,47.398,0.99713,0.0181,0.00427,0.000567,0.00051,1.16e-06,0.009602,1.72852,False,0.7,81.9
raccoon_00,phase,human,full,0.58819,0.02165,0.24988,0.03212,28.295,0.94229,0.56471,0.03848,0.055988,0.0,0.0,0.0,1.0,False,0.7,17.5
raccoon_00,phase,human,amp,0.43681,0.05847,0.2642,0.06673,31.54,0.92594,0.27462,0.02648,0.055977,0.000431,4.68e-06,0.055861,1.0,False,0.7,34.0
raccoon_00,phase,human,pha,0.591,0.00446,0.32072,0.06692,29.898,0.90464,0.3378,0.03199,0.001466,0.00186,3.261e-05,0.089873,1.0,False,0.7,50.5
raccoon_00,phase,human,amp_s,0.30614,0.06455,0.17258,0.03211,37.018,0.97757,0.14616,0.0141,0.029796,0.000234,1.37e-06,0.027896,0.53223,False,0.7,67.0
raccoon_00,phase,human,pha_s,0.42526,0.03046,0.19849,0.03211,35.564,0.97125,0.17583,0.01666,0.012059,0.000899,8.7e-06,0.04678,0.52051,False,0.7,83.5
raccoon_00,phase_rand,human,full,0.14686,0.08632,0.05967,0.03674,29.59,0.9562,0.38431,0.03315,0.05034,0.0,0.0,0.0,1.0,False,0.7,17.5
raccoon_00,phase_rand,human,amp,0.32232,0.11104,0.22531,0.06617,32.464,0.94256,0.22047,0.02381,0.050332,0.000353,3.54e-06,0.038996,1.0,False,0.7,34.0
raccoon_00,phase_rand,human,pha,0.30907,0.06373,0.23952,0.06316,31.572,0.92821,0.23411,0.02639,0.001089,0.001408,2.074e-05,0.074547,1.0,False,0.7,50.4
raccoon_00,phase_rand,human,amp_s,0.2197,0.0863,0.16325,0.03672,36.793,0.97796,0.13392,0.01446,0.030575,0.000229,1.38e-06,0.023687,0.60742,False,0.7,66.9
raccoon_00,phase_rand,human,pha_s,0.25037,0.08168,0.17852,0.03673,35.774,0.97069,0.14426,0.01627,0.007842,0.000844,8.04e-06,0.039916,0.61621,False,0.7,83.4
shiba_00,add,human,full,0.19292,0.08999,0.18611,0.00208,48.84,0.9979,0.00392,0.00361,0.004515,0.0,0.0,0.0,1.0,False,0.7,17.7
shiba_00,add,human,amp,0.13907,0.09967,0.05908,0.00066,51.857,0.99895,0.01135,0.00255,0.004515,2.8e-05,3e-08,0.003035,1.0,False,0.7,34.2
shiba_00,add,human,pha,0.14383,0.10165,0.06544,0.00073,51.763,0.99894,0.01127,0.00258,1.8e-05,4.8e-05,8e-08,0.005324,1.0,False,0.7,50.8
shiba_00,add,human,amp_s,0.18065,0.10735,0.13322,0.00208,46.823,0.99664,0.02027,0.00456,0.008025,3.2e-05,7e-08,0.006081,1.78613,False,0.7,67.3
shiba_00,add,human,pha_s,0.17194,0.10901,0.13099,0.00208,47.571,0.99721,0.01826,0.00418,0.000852,6.1e-05,1.5e-07,0.00863,1.62109,False,0.7,83.8
