image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0437,False,2.56192,102.4,0.1926,0.9503,0.0437,30.2328,0.9917,5.4474,0.7137,0.6079,0.2715,0.2879,-0.0163,0.106,0.0884,0.0176,0.01678,0.3902
bird_01,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04157,False,1.20935,71.9,0.2349,0.9573,0.0416,31.2267,0.9968,5.0455,0.7271,0.5474,0.2765,0.3079,-0.0314,0.1118,0.1072,0.0046,0.01526,0.5692
bird_02,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04491,False,2.36869,57.2,0.4517,0.9213,0.0449,31.0986,0.9948,4.4123,0.6059,0.6221,0.2817,0.2571,0.0245,0.109,0.1027,0.0064,0.0188,0.6916
bird_03,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0273,True,3.14159,26.6,0.2346,0.9369,0.0273,32.0043,0.9947,5.4192,0.7228,0.5939,0.2725,0.2971,-0.0246,0.1038,0.1075,-0.0036,0.01403,0.4617
cat_00,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04365,False,1.98225,72.7,0.2801,0.8933,0.0436,22.1279,0.9891,4.9277,0.7282,0.5731,0.2452,0.2643,-0.0191,0.0621,0.0807,-0.0186,0.04327,0.5538
cat_01,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04295,False,3.14159,42.1,0.2293,0.9476,0.043,30.8529,0.9893,5.4784,0.7181,0.5047,0.2601,0.2811,-0.021,0.0917,0.0861,0.0055,0.01112,0.4877
cat_02,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04466,False,2.39285,134.3,0.3863,0.9213,0.0447,29.2059,0.9958,4.5332,0.6768,0.6168,0.2521,0.2605,-0.0084,0.0912,0.0821,0.0091,0.02117,0.5549
cat_03,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04421,False,1.49918,103.6,0.2913,0.9052,0.0442,23.5244,0.9962,5.079,0.6877,0.5609,0.2622,0.2693,-0.007,0.0853,0.0823,0.0029,0.04454,0.6238
dog_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04148,False,2.75514,72.8,0.352,0.9173,0.0415,30.0282,0.9946,4.788,0.6982,0.5624,0.2675,0.2833,-0.0158,0.0695,0.0978,-0.0282,0.01952,0.5002
dog_01,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03681,True,3.14159,26.6,0.2673,0.9373,0.0368,31.6676,0.9948,5.5378,0.6625,0.5424,0.2742,0.2872,-0.013,0.0908,0.1015,-0.0107,0.01881,0.4066
dog_02,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04444,False,2.36869,57.4,0.2698,0.8674,0.0444,22.447,0.9966,5.0646,0.7205,0.5165,0.2628,0.2637,-0.0009,0.0796,0.0945,-0.0149,0.04507,0.6177
dog_03,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04499,False,2.75514,72.8,0.2848,0.9094,0.045,27.5005,0.9915,5.0422,0.6749,0.5799,0.2573,0.2879,-0.0306,0.0807,0.0956,-0.0149,0.02197,0.4764
horse_00,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04526,False,1.78902,88.1,0.2437,0.9401,0.0453,32.3087,0.9966,5.9337,0.6805,0.4525,0.306,0.3101,-0.0041,0.119,0.1164,0.0026,0.01383,0.4655
