image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield_y,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.70646,0.68162,16.362,0.12923,0.21349,0.67981,0.3758,8.186,0.07651,0.37228,0.90196,0.15202,0.73349,0.72039,True,0.837,186.4
task_attr_mod_color_136767,dct_shield_y,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.66388,0.59741,16.485,0.13696,0.23997,0.62925,0.24232,6.562,0.02371,0.46131,0.94731,0.14988,0.79755,0.83194,True,0.837,176.8
task_attr_mod_color_184837,dct_shield_y,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.65469,0.81346,16.162,0.19246,0.20714,0.78109,0.13712,6.276,0.03376,0.66786,0.86006,0.15556,0.69702,0.63555,True,0.837,176.7
task_attr_mod_color_32648,dct_shield_y,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.73124,0.37779,17.685,0.0338,0.34721,0.63577,0.41698,10.049,0.0646,0.39296,0.97191,0.13054,0.80803,0.70027,True,0.837,176.7
task_attr_mod_color_6205,dct_shield_y,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.71603,0.66806,17.01,0.12348,0.24444,0.72448,0.18908,6.532,0.71014,0.78418,0.93725,0.14109,0.54793,0.47307,True,0.837,176.9
task_env_weather_112463,dct_shield_y,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.76554,0.69937,16.522,0.13718,0.20781,0.92105,0.26081,10.377,0.13047,0.41676,0.91834,0.14925,0.55639,0.58165,True,0.837,177.0
task_env_weather_246440,dct_shield_y,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55222,0.81043,16.446,0.19544,0.14728,0.6446,0.27902,12.693,0.0644,0.28137,0.98039,0.15056,0.70294,0.718,True,0.837,176.7
task_env_weather_63722,dct_shield_y,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.69038,0.71404,16.918,0.14833,0.18647,0.69722,0.29913,11.854,0.02498,0.48443,0.81434,0.14259,0.61331,0.60414,True,0.837,176.8
task_obj_add_40931,dct_shield_y,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.64956,0.74254,17.018,0.18219,0.23384,0.73467,0.12782,9.357,0.046,0.40712,0.85702,0.14097,0.48151,0.52295,True,0.837,176.9
task_obj_remove_380621,dct_shield_y,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.70274,0.70209,16.798,0.13774,0.23964,0.75413,0.2304,7.583,0.04534,0.40549,0.90163,0.14457,0.7084,0.68116,True,0.837,176.8
task_obj_swap_joint_mask_276754,dct_shield_y,instruct-pix2pix,Replace the satellite dish with rocket,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53362,0.70516,17.165,0.11831,0.19942,0.65511,0.51959,12.163,0.0134,0.39956,0.89474,0.1386,0.85569,0.90084,False,0.837,176.7
