tag,label,n,edit_lpips,edit_dists,edit_psnr,edit_ssim,edit_vif_p,edit_clip_sim,edit_siglip_sim,siglip_blocked
d1_opt,可學位移 K=1（接閘）,10,0.11245,0.06356,25.7698,0.90545,0.47434,0.98483,0.97513,0/10
d4_opt,可學位移 K=4（接閘）,10,0.21459,0.1188,20.8485,0.82562,0.3832,0.96948,0.95861,0/10
d8_opt,可學位移 K=8（接閘）,10,0.2373,0.13399,20.307,0.79844,0.36716,0.96902,0.95425,0/10
