tag,label,n,fid_dists,fid_lpips,fid_psnr,fid_ssim,fid_vif_p,fid_linf,fid_rms
d1_opt,可學位移 K=1（接閘）,10,0.02881,0.06794,29.0083,0.95919,0.58266,0.66085,0.03901
d4_opt,可學位移 K=4（接閘）,10,0.07348,0.13194,28.1411,0.92806,0.51095,0.61245,0.04281
d8_opt,可學位移 K=8（接閘）,10,0.08577,0.15883,28.0781,0.9219,0.50688,0.56588,0.04344
