condition,radius,r_min,r_max,block,hop,gl_iters,pixel_gate_sigma,quantile,gate_edge_power,loss,gain_ratio,purify_aware,defense_steps,wm_topk,wm_eps,wm_block_frac,wm_q_attack,wm_tau,wm_mu,wm_q_embed,n_images,superseded_implementation,edit_lpips,fid_lpips,fid_dists,method,ratio_fid_lpips,ratio_fid_dists
advdrop,1600.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.24218104,0.18411496,0.042112000000000004,advdrop,1.3154,5.7509
dct_shield,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,75,False,0.6276256,0.4409309,0.049481000000000004,dct_shield,1.4234,12.6842
dct_shield,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,100,,,,,1500,1,0.75,25,False,0.5761572,0.4449972,0.043522,dct_shield,1.2947,13.2383
dct_shield,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,250,,,,,1500,1,0.75,25,False,0.6203044,0.45378120000000005,0.0484752,dct_shield,1.367,12.7963
dct_shield,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,500,,,,,1500,1,0.75,25,False,0.6467372,0.45671999999999996,0.0513612,dct_shield,1.416,12.5919
dct_shield,2.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.7210635999999999,0.5663596,0.10746800000000001,dct_shield,1.2732,6.7096
dct_shield,3.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.729294,0.6230768,0.146816,dct_shield,1.1705,4.9674
dct_wm,2.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,8,2.0,0.5,75,,,,25,True,0.24647639999999998,0.1979776,0.0241544,djsma,1.245,10.2042
dct_wm,2.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,16,2.0,0.5,75,,,,25,True,0.2944396,0.2486896,0.0355324,djsma,1.184,8.2865
dct_wm,2.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,32,2.0,0.5,75,,,,25,True,0.361874,0.3011516,0.0498124,djsma,1.2016,7.2647
dct_wm,2.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,64,2.0,0.5,75,,,,25,True,0.4197012,0.3522732,0.0673388,djsma,1.1914,6.2327
gain_only,0.8,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.0,none,,,,,,,,,25,False,0.21555800000000003,0.14394,0.038553199999999996,texture_rephase,1.4976,5.5912
gain_only,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.0,none,,,,,,,,,25,False,0.24742319999999998,0.17131,0.049370399999999995,texture_rephase,1.4443,5.0116
gain_only,1.3,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.0,none,,,,,,,,,25,False,0.2749128,0.20543199999999998,0.0639256,texture_rephase,1.3382,4.3005
gain_only,1.6,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.0,none,100,,,,,1500,1,0.75,25,False,0.309528,0.2314176,0.0762108,texture_rephase,1.3375,4.0615
gain_only,2.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.0,none,100,,,,,1500,1,0.75,25,False,0.33617919999999996,0.26040759999999996,0.09156399999999999,texture_rephase,1.291,3.6715
gain_only,2.4,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.0,none,100,,,,,1500,1,0.75,25,False,0.3627888,0.28363,0.10610720000000001,texture_rephase,1.2791,3.4191
gain_only,3.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.0,none,100,,,,,1500,1,0.75,25,False,0.3898688,0.312872,0.12223319999999999,texture_rephase,1.2461,3.1895
gain_only,3.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.4,none,100,,,,,1500,1,0.75,25,False,0.4091904,0.3400576,0.1363964,texture_rephase,1.2033,3.0
gain_only,3.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,1.8,none,100,,,,,1500,1,0.75,25,False,0.4198852,0.35376359999999996,0.14198360000000002,texture_rephase,1.1869,2.9573
gain_only,3.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,2.2,none,100,,,,,1500,1,0.75,25,False,0.43099,0.36050319999999997,0.1445324,texture_rephase,1.1955,2.982
phase,0.2,0.06,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.10482839999999999,0.045892,0.027055600000000003,texture_rephase,2.2842,3.8746
phase,0.3,0.06,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.14018840000000002,0.0762968,0.041179600000000004,texture_rephase,1.8374,3.4043
phase,1.2,0.12,0.4,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.1473388,0.0791064,0.0496448,texture_rephase,1.8625,2.9679
phase,0.4,0.08,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.14551640000000002,0.087332,0.031742400000000004,texture_rephase,1.6662,4.5843
phase,1.6,0.12,0.4,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.17759239999999998,0.1038592,0.06806040000000001,texture_rephase,1.7099,2.6093
phase,0.4,0.12,inf,64,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.15686640000000002,0.1075536,0.022092399999999998,texture_rephase,1.4585,7.1005
phase,0.9,0.12,0.7,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.1834964,0.11542279999999999,0.038849999999999996,texture_rephase,1.5898,4.7232
phase,0.45,0.06,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.180896,0.11760759999999999,0.059675599999999995,texture_rephase,1.5381,3.0313
phase,0.55,0.08,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.1800012,0.12169,0.0444436,texture_rephase,1.4792,4.0501
phase,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,curriculum,,,,,,,,,25,False,0.19730920000000002,0.1262796,0.048306800000000004,texture_rephase,1.5625,4.0845
phase,1.0,0.12,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,fixed75,,,,,,,,,25,False,0.1966696,0.1290664,0.0485668,texture_rephase,1.5238,4.0495
phase,0.8,0.12,inf,32,16,0,0.0,0.5,1.0,latent_norm,0.0,none,,,,,,,,,25,False,0.2277092,0.13823280000000002,0.0426284,texture_rephase,1.6473,5.3417
phase,0.55,0.12,inf,64,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.20234639999999998,0.1428816,0.0311476,texture_rephase,1.4162,6.4964
phase,1.8,0.12,inf,32,16,0,2.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.217046,0.15202,0.0435592,texture_rephase,1.4277,4.9828
phase,0.7,0.08,inf,32,16,0,0.0,0.5,1.0,encoder_target,0.0,none,,,,,,,,,25,False,0.2128256,0.152274,0.0566096,texture_rephase,1.3976,3.7595
