method,knob,value,lpips,adopted,at_boundary
pg_enc,epsilon,0.06,0.6170817613601685,True,
advdiff,eps_latent,0.05,0.7059260706106821,False,
advdiff,eps_latent,0.1,0.7183489402135214,False,
advdiff,eps_latent,0.2,0.7230345706144968,False,
advdiff,eps_latent,0.4,0.6505510608355204,True,True
apa_sg,eps_a,0.1,0.18616855392853418,False,
apa_sg,eps_a,0.2,0.39798491696516675,False,
apa_sg,eps_a,0.4,0.6572122176488241,False,
apa_sg,eps_a,0.8,0.628964771827062,True,True
apa_gc,eps_a,0.02,0.06756458121041457,False,
apa_gc,eps_a,0.05,0.07755666971206665,False,
apa_gc,eps_a,0.1,0.09571989625692368,False,
apa_gc,eps_a,0.2,0.14358987659215927,True,True
hybrid,eps_a,0.1,0.31319713095823926,False,
hybrid,eps_a,0.2,0.41912947098414105,False,
hybrid,eps_a,0.4,0.43016182879606885,True,False
hybrid,eps_a,0.8,0.42378905912240344,False,
