method,type,image_id,lpips,psnr,linf
pg_enc,加性,placeholder_000,0.6042536497116089,33.5279655456543,0.030000030994415283
pg_enc,加性,placeholder_001,0.6203314661979675,33.449302673339844,0.030000030994415283
pg_enc,加性,placeholder_002,0.6233963370323181,33.492347717285156,0.030000030994415283
pg_enc,加性,placeholder_003,0.6062291860580444,33.37129211425781,0.030000030994415283
pg_enc,加性,placeholder_004,0.6403756141662598,33.55385208129883,0.030000030994415283
pg_enc,加性,placeholder_005,0.607904314994812,33.56792068481445,0.030000030994415283
advdiff,非加性,placeholder_000,0.48821407556533813,14.692310333251953,0.8708739280700684
advdiff,非加性,placeholder_001,0.8122638463973999,12.459915161132812,1.0
advdiff,非加性,placeholder_002,0.8022168874740601,12.870692253112793,0.7327209711074829
advdiff,非加性,placeholder_003,0.4929719567298889,14.547633171081543,0.8523130416870117
advdiff,非加性,placeholder_004,0.5876912474632263,13.702796936035156,0.6166496276855469
advdiff,非加性,placeholder_005,0.7199483513832092,12.889461517333984,0.8900411128997803
apa,非加性,placeholder_000,0.16444319486618042,22.141746520996094,0.2975177764892578
apa,非加性,placeholder_001,0.13269338011741638,23.06705093383789,0.30402636528015137
apa,非加性,placeholder_002,0.13083800673484802,23.076717376708984,0.29035747051239014
apa,非加性,placeholder_003,0.15183667838573456,22.456560134887695,0.262431263923645
apa,非加性,placeholder_004,0.148604154586792,23.632352828979492,0.36671292781829834
apa,非加性,placeholder_005,0.13312384486198425,23.509765625,0.2921830415725708
hybrid,非加性,placeholder_000,0.4476315379142761,19.163869857788086,0.9238206148147583
hybrid,非加性,placeholder_001,0.36081454157829285,22.95952796936035,0.3347734808921814
hybrid,非加性,placeholder_002,0.6090328693389893,13.097710609436035,0.9541926383972168
hybrid,非加性,placeholder_003,0.45189258456230164,17.352008819580078,0.8151428699493408
hybrid,非加性,placeholder_004,0.3297804296016693,21.06315803527832,0.7432543635368347
hybrid,非加性,placeholder_005,0.3818190097808838,18.05453872680664,0.882326602935791
