image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp,instruct-pix2pix,turn the color of potted plant to pink,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04298,0.9868,31.292,0.71268,0.01306,0.05158,0.97596,29.236,0.61286,0.02007,0.78408,0.02725,0.99813,0.99651,False,0.837,392.0
task_attr_mod_color_136767,warp,instruct-pix2pix,turn the color of astronaut to pink,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02238,0.98487,31.364,0.68301,0.00913,0.03976,0.96945,29.6,0.58971,0.02136,0.60629,0.02703,0.99745,0.99814,False,0.837,381.5
task_attr_mod_color_184837,warp,instruct-pix2pix,turn the color of frame to pink,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02541,0.98046,29.061,0.64441,0.01478,0.04454,0.95758,27.005,0.54572,0.04274,0.61644,0.03523,0.99748,0.99561,False,0.837,381.6
task_attr_mod_color_32648,warp,instruct-pix2pix,turn the color of potion bottle to orange,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.00615,0.99901,49.165,0.92715,0.00368,0.01004,0.99601,39.589,0.88739,0.00876,0.26922,0.00348,0.99952,0.9989,False,0.837,381.0
task_attr_mod_color_6205,warp,instruct-pix2pix,turn the color of toolbox to red,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02133,0.98389,34.287,0.73833,0.00678,0.03407,0.97363,31.956,0.69604,0.02546,0.6178,0.0193,0.9987,0.99726,False,0.837,381.2
task_env_weather_112463,warp,instruct-pix2pix,transform the setting to spring with blooming flowers,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03954,0.96449,31.414,0.62499,0.00858,0.10327,0.90269,25.52,0.47108,0.04134,0.65559,0.02687,0.99573,0.98497,False,0.837,381.1
task_env_weather_246440,warp,instruct-pix2pix,transform the setting to autumn with falling leaves,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03656,0.948,23.323,0.48664,0.01734,0.15306,0.85987,22.565,0.33169,0.0678,0.93005,0.06821,0.98733,0.96909,False,0.837,381.6
task_env_weather_63722,warp,instruct-pix2pix,change the setting to a snowy landscape,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.0506,0.98047,30.485,0.61307,0.01537,0.07866,0.95973,27.452,0.48047,0.02559,0.49777,0.0299,0.98646,0.99248,False,0.837,382.1
task_obj_add_40931,warp,instruct-pix2pix,Add the blood on snout,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.06442,0.95818,26.79,0.53525,0.01973,0.09297,0.92655,24.98,0.44772,0.03573,0.57734,0.04576,0.99672,0.98861,False,0.837,381.8
task_obj_remove_380621,warp,instruct-pix2pix,Remove iceberg,,4.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04902,0.97327,29.942,0.63028,0.02442,0.0913,0.92825,24.908,0.47462,0.04155,0.59332,0.03183,0.99714,0.9957,False,0.837,381.7
