image,site,rank,prompt,steps,steps_done,stop_reason,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,C,32,a wrecked car after an accident,60,60,,10,10,1,147.3,rotate,0,0.0,,,10320.2,2.44,512.0,115.0,27.666666666666668,,,,0.20498225092887878,0.1863306164741516,0.01865164190530777,0.3136693835258484,32.77911376953125,0.2050819993019104,32.77911376953125,0.2050819993019104,0.9808308482170105,0.01865164190530777
car_01,C,32,a wrecked car after an accident,60,60,,10,10,1,147.2,rotate,0,0.0,,,10323.2,15.67,512.0,60.0,17.666666666666668,,,,0.2073148638010025,0.1923912763595581,0.014923583716154099,0.3076087236404419,41.100677490234375,0.03190624713897705,41.100677490234375,0.03190624713897705,0.9979403018951416,0.014923583716154099
