image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.0709,0.9915,36.239,0.74279,0.02366,0.08976,0.95134,26.524,0.52436,0.03954,0.2133,0.01542,36.5
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.12449,0.98449,37.795,0.73089,0.03616,0.17923,0.8793,20.006,0.45837,0.09631,0.14126,0.01289,36.7
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.0897,0.98312,32.398,0.65348,0.02734,0.12879,0.86776,22.622,0.42136,0.09395,0.22775,0.02399,36.7
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.0735,0.99761,49.395,0.8838,0.01478,0.07483,0.96183,31.375,0.74776,0.05988,0.08585,0.00339,36.6
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.07352,0.99084,40.567,0.80947,0.02694,0.0986,0.93173,26.28,0.6283,0.07097,0.13918,0.00937,36.7
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.06937,0.98945,39.821,0.79943,0.01025,0.17257,0.86954,23.362,0.45449,0.08853,0.11692,0.01021,36.8
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.05644,0.99375,40.737,0.83155,0.00892,0.09745,0.95374,30.592,0.54332,0.02673,0.1134,0.00919,36.7
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.08351,0.98751,39.702,0.78751,0.02371,0.09873,0.938,29.264,0.64032,0.0511,0.0934,0.01035,36.8
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.10821,0.97894,29.754,0.6422,0.02078,0.23668,0.75394,19.971,0.28038,0.10691,0.3097,0.03253,36.6
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.08303,0.99014,35.731,0.71707,0.02431,0.11859,0.93045,25.713,0.43838,0.04821,0.25204,0.01635,36.7
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.10071,0.98606,35.531,0.68951,0.02815,0.18082,0.8487,23.654,0.30053,0.0713,0.17516,0.01673,36.7
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.06807,0.99146,38.914,0.78737,0.02182,0.15455,0.88698,18.195,0.5221,0.10339,0.16618,0.01133,36.7
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.20346,0.97805,36.006,0.71558,0.02506,0.22422,0.84054,23.097,0.39504,0.09057,0.1563,0.01584,36.7
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.04335,0.99505,44.127,0.88918,0.00838,0.0661,0.96304,34.041,0.71825,0.03175,0.1293,0.00622,36.7
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.04698,0.99178,36.052,0.8033,0.02097,0.08605,0.94551,26.354,0.59472,0.03494,0.20342,0.01575,36.6
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.1529,0.98635,33.664,0.73147,0.01337,0.3407,0.55815,14.348,0.12892,0.2166,0.26697,0.02074,36.6
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.09559,0.99276,42.542,0.8473,0.01671,0.11901,0.94615,30.939,0.55051,0.0428,0.16067,0.00746,36.7
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.10805,0.99058,37.333,0.8051,0.02288,0.1663,0.86254,23.026,0.47553,0.06945,0.23405,0.01359,36.6
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.12562,0.98281,34.93,0.69931,0.02177,0.15983,0.87651,24.399,0.40453,0.0433,0.21091,0.01793,36.6
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.04087,0.99638,46.541,0.92115,0.01207,0.18703,0.87478,22.637,0.77229,0.17429,0.06924,0.00471,36.7
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.28821,0.97482,34.367,0.59295,0.04023,0.15116,0.81961,22.309,0.28755,0.17106,0.16131,0.01913,36.6
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.11973,0.98039,34.287,0.68679,0.02696,0.18583,0.8216,21.629,0.3785,0.09938,0.31537,0.0193,36.6
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.11604,0.99079,42.138,0.80098,0.02321,0.15243,0.90723,26.175,0.4485,0.09002,0.10595,0.00782,36.6
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.21529,0.97341,35.751,0.67925,0.03309,0.2954,0.75317,21.561,0.27599,0.1024,0.22303,0.01631,36.6
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.4,False,0.0,0.12,0,64,encoder_target,100,7.5,1.5,20260812,False,0.1313,0.98366,37.454,0.73212,0.02079,0.157,0.86561,24.72,0.45069,0.06735,0.24314,0.01341,36.6
