site,image,lpips,acut,linf,acutance_ratio,ok_lpips,ok_acut,feasible
S,car_00,0.03554815053939819,0.21413376927375793,0.6509804129600525,0.7863138318061829,True,False,False
S,car_01,0.04894886910915375,0.18467438220977783,0.6627451181411743,0.8156909346580505,True,False,False
S,dog_00,0.04247494041919708,0.10739853233098984,0.6117647290229797,0.8939355611801147,True,False,False
S,dog_01,0.038644298911094666,0.1318153738975525,0.37647056579589844,0.8682658672332764,True,False,False
S,person_00,0.03767838329076767,0.09725803136825562,0.5529412031173706,0.9117476344108582,True,False,False
S,person_01,0.03755463287234306,0.16227442026138306,0.5372549295425415,0.8385117053985596,True,False,False
P,car_00,0.03177223727107048,0.005776730831712484,0.09019608795642853,1.0018365383148193,True,True,True
P,car_01,0.040151551365852356,0.006306363269686699,0.11764705181121826,1.0041474103927612,True,True,True
P,dog_00,0.03279414400458336,0.011305292136967182,0.047058820724487305,1.0092648267745972,True,True,True
P,dog_01,0.03322586789727211,0.0056634508073329926,0.039215683937072754,1.0039749145507812,True,True,True
P,person_00,0.03273069113492966,0.012085269205272198,0.0470588356256485,1.0105568170547485,True,True,True
P,person_01,0.04399772733449936,0.011961341835558414,0.054901957511901855,1.0100680589675903,True,True,True
