image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
raccoon_00,dct_shield,native,identity,0.64511,0.00476,0.64511,0.00476,1.0,0.7,True,208.2
raccoon_00,dct_shield,native,blur1,0.36743,0.16058,0.64511,0.00476,0.56956,0.7,True,208.2
raccoon_00,dct_shield,native,jpeg75,0.13036,0.07071,0.64511,0.00476,0.20207,0.7,True,208.2
raccoon_00,dct_shield,native,crop_resize0.1,0.56834,0.0492,0.64511,0.00476,0.881,0.7,True,208.2
raccoon_00,dct_shield,native,gridpure,0.4525,0.13659,0.64511,0.00476,0.70143,0.7,True,208.2
raccoon_00,dct_shield_y,native,identity,0.64803,0.00591,0.64803,0.00591,1.0,0.7,True,201.1
raccoon_00,dct_shield_y,native,blur1,0.38637,0.13702,0.64803,0.00591,0.59621,0.7,True,201.1
raccoon_00,dct_shield_y,native,jpeg75,0.6335,0.0273,0.64803,0.00591,0.97757,0.7,True,201.1
raccoon_00,dct_shield_y,native,crop_resize0.1,0.59766,0.05153,0.64803,0.00591,0.92228,0.7,True,201.1
raccoon_00,dct_shield_y,native,gridpure,0.60042,0.00489,0.64803,0.00591,0.92654,0.7,True,201.1
shiba_00,dct_shield,native,identity,0.74673,0.00983,0.74673,0.00983,1.0,0.7,True,201.3
shiba_00,dct_shield,native,blur1,0.24006,0.08084,0.74673,0.00983,0.32148,0.7,True,201.3
shiba_00,dct_shield,native,jpeg75,0.07713,0.04015,0.74673,0.00983,0.1033,0.7,True,201.3
shiba_00,dct_shield,native,crop_resize0.1,0.62936,0.01686,0.74673,0.00983,0.84282,0.7,True,201.3
shiba_00,dct_shield,native,gridpure,0.27558,0.08911,0.74673,0.00983,0.36905,0.7,True,201.3
shiba_00,dct_shield_y,native,identity,0.75547,0.00939,0.75547,0.00939,1.0,0.7,True,201.1
shiba_00,dct_shield_y,native,blur1,0.24476,0.0963,0.75547,0.00939,0.32399,0.7,True,201.1
shiba_00,dct_shield_y,native,jpeg75,0.7636,0.01463,0.75547,0.00939,1.01077,0.7,True,201.1
shiba_00,dct_shield_y,native,crop_resize0.1,0.66565,0.01127,0.75547,0.00939,0.88111,0.7,True,201.1
shiba_00,dct_shield_y,native,gridpure,0.67842,0.0168,0.75547,0.00939,0.89801,0.7,True,201.1
