image_id,tau,reachable,k,lpips,psnr,acut,dists,achieved,metric,note
woman_03,0.0,True,0.0,0.0878,30.49,0.9859,0.0352,0.0352,dists,φ=0，即 VAE 重建下限
woman_03,0.0552,True,0.1719,0.1121,28.71,0.7298,0.0555,0.0555,dists,
woman_03,0.0602,True,0.1875,0.1165,28.45,0.7165,0.0597,0.0597,dists,
woman_03,0.0652,True,0.207,0.1223,28.12,0.7018,0.0654,0.0654,dists,
