image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04207,False,1.20935,84.9,0.1605,0.9716,0.0421,32.9804,0.9961,5.3784,0.7141,0.6043,0.2715,0.2796,-0.0081,0.106,0.0789,0.0271,0.0174,0.3902
bird_00,phase_rand,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04167,False,1.01612,11.0,0.0491,0.9829,0.0417,35.6656,0.9976,5.3012,0.7129,0.184,0.2715,0.2799,-0.0083,0.106,0.1095,-0.0035,0.01306,0.3902
bird_01,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04356,False,0.8229,54.8,0.2198,0.9695,0.0436,32.9727,0.9969,5.0003,0.7206,0.5447,0.2765,0.2997,-0.0232,0.1118,0.1095,0.0023,0.01755,0.5692
bird_01,phase_rand,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04259,False,0.96782,11.3,0.0509,0.9746,0.0426,33.8729,0.9979,4.92,0.7107,0.1689,0.2765,0.2786,-0.0021,0.1118,0.1129,-0.0011,0.01689,0.5692
bird_02,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04145,False,1.30596,99.5,0.3966,0.9588,0.0415,33.9294,0.9957,4.341,0.5867,0.5631,0.2817,0.2569,0.0248,0.109,0.0893,0.0198,0.01996,0.6916
bird_02,phase_rand,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04334,False,1.30596,11.3,0.0705,0.9673,0.0433,35.4093,0.9967,4.2731,0.5662,0.0945,0.2817,0.2728,0.0089,0.109,0.1081,0.0009,0.01822,0.6916
bird_03,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04508,False,2.07886,99.8,0.236,0.9352,0.0451,32.294,0.9954,5.3682,0.7141,0.5973,0.2725,0.2853,-0.0128,0.1038,0.101,0.0029,0.02129,0.4617
bird_03,phase_rand,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04342,False,1.40257,11.3,0.0769,0.9625,0.0434,34.9584,0.9961,5.5146,0.7108,0.1687,0.2725,0.2686,0.0039,0.1038,0.1056,-0.0018,0.01509,0.4617
cat_00,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04516,False,1.40257,85.0,0.2841,0.9102,0.0452,23.3284,0.9869,5.1012,0.7227,0.5438,0.2452,0.2597,-0.0145,0.0621,0.076,-0.0139,0.05827,0.5538
cat_00,phase_rand,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04399,False,1.25765,11.3,0.1017,0.936,0.044,25.0187,0.9895,5.0309,0.7171,0.4016,0.2452,0.2527,-0.0076,0.0621,0.0705,-0.0084,0.05028,0.5538
cat_01,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04479,False,1.40257,85.1,0.1738,0.965,0.0448,32.8505,0.9911,5.5042,0.713,0.4745,0.2601,0.2809,-0.0208,0.0917,0.0878,0.0038,0.01841,0.4877
cat_01,phase_rand,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04375,False,1.40257,11.4,0.0828,0.9663,0.0437,32.9589,0.9913,5.0506,0.718,0.1251,0.2601,0.258,0.0021,0.0917,0.0926,-0.0009,0.01813,0.4877
cat_02,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04194,False,1.40257,85.1,0.3479,0.9494,0.0419,31.5623,0.9956,4.5114,0.6594,0.6035,0.2521,0.267,-0.0149,0.0912,0.0887,0.0025,0.0239,0.5549
cat_02,phase_rand,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04358,False,1.25765,11.3,0.0606,0.9712,0.0436,34.2434,0.997,4.3117,0.5793,0.1754,0.2521,0.2522,-0.0001,0.0912,0.0934,-0.0022,0.01805,0.5549
cat_03,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04371,False,1.06443,114.7,0.2874,0.9283,0.0437,25.1187,0.9953,5.2203,0.6839,0.5962,0.2622,0.2718,-0.0096,0.0853,0.0863,-0.001,0.05474,0.6238
