image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11945,0.98024,32.058,0.63452,0.04325,0.13901,0.921,24.305,0.44838,0.06125,0.36892,0.02495,39.4
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.17522,0.96846,33.976,0.62242,0.06084,0.22959,0.83268,20.389,0.40022,0.12477,0.21607,0.02001,39.7
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.15438,0.95926,28.143,0.53469,0.05444,0.19937,0.77018,19.874,0.34471,0.15421,0.34902,0.03916,40.0
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.12197,0.99521,46.041,0.81113,0.02262,0.12655,0.91557,24.978,0.74259,0.10547,0.09484,0.00499,39.6
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11736,0.98007,36.578,0.70369,0.05809,0.1477,0.89213,23.956,0.54561,0.11139,0.22736,0.01483,39.8
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.13351,0.97549,35.873,0.69747,0.02167,0.25735,0.79924,21.633,0.34351,0.11377,0.20338,0.01608,39.6
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.13007,0.98425,36.553,0.72662,0.01783,0.17271,0.92109,27.907,0.45103,0.04243,0.17082,0.01487,39.5
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.15721,0.96946,35.613,0.67297,0.03936,0.56593,0.70879,14.802,0.34344,0.33347,0.16483,0.01657,39.6
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.18489,0.95013,25.542,0.53275,0.03603,0.31389,0.64816,18.489,0.22021,0.12763,0.50697,0.05283,39.5
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14159,0.97776,31.695,0.60663,0.03601,0.17069,0.8899,23.705,0.36929,0.07044,0.31939,0.02601,39.6
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.17195,0.967,31.411,0.57521,0.0448,0.26979,0.78445,22.197,0.23369,0.09698,0.31129,0.02688,39.6
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11518,0.98175,35.147,0.69291,0.046,0.20661,0.85761,17.971,0.47647,0.13827,0.21494,0.01748,39.6
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.29295,0.9548,31.963,0.59529,0.04515,0.27792,0.72484,20.894,0.33203,0.14391,0.30882,0.02523,39.6
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.08528,0.98812,40.209,0.8102,0.02209,0.10681,0.93639,30.991,0.66079,0.05844,0.16811,0.00976,39.6
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09728,0.9786,31.764,0.70776,0.03357,0.14284,0.90669,24.364,0.50571,0.05209,0.33086,0.02581,39.6
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.7,False,0.0,0.12,0,64,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.22575,0.96716,29.616,0.62651,0.02819,0.41466,0.47122,13.97,0.08809,0.24737,0.55779,0.03305,39.5
