image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.8,False,100,7.5,1.5,20260812,False,0.0649,0.9863,32.302,0.67901,0.01945,0.09629,0.9401,24.875,0.50821,0.04176,0.3536,0.02426,78.8
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.8,False,100,7.5,1.5,20260812,False,0.07137,0.98431,35.494,0.72491,0.03793,0.09496,0.92491,25.637,0.59272,0.07536,0.2896,0.0168,79.8
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.8,False,100,7.5,1.5,20260812,False,0.16892,0.9539,24.79,0.52992,0.03698,0.2979,0.66949,18.514,0.23318,0.13718,0.79715,0.05761,79.7
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.8,False,100,7.5,1.5,20260812,False,0.24634,0.96637,30.841,0.59766,0.03583,0.25284,0.78489,21.395,0.35412,0.12137,0.30395,0.02871,79.8
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.8,False,100,7.5,1.5,20260812,False,0.12925,0.98771,37.71,0.76821,0.02142,0.14554,0.92135,28.635,0.49168,0.04879,0.23486,0.01302,79.1
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.8,False,100,7.5,1.5,20260812,False,0.35459,0.93915,29.675,0.43158,0.05714,0.17955,0.80538,21.597,0.29256,0.1998,0.31509,0.03283,78.7
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.8,False,100,7.5,1.5,20260812,False,0.13632,0.97353,32.244,0.62687,0.02398,0.16758,0.8463,23.716,0.41551,0.06801,0.4407,0.02442,17.8
