image,variant,gate,sign,theta,gate_mean,dists,lpips,psnr,ssim,rms,linf,zero_pair_frac,delta_within_1
task_attr_mod_color_184837,post_int,texture,random,0.08,0.50007,0.0088,0.045862,34.8585,0.993001,0.018075,0.142006,0.656599,0.992121
task_attr_mod_color_184837,post_int,texture,random,0.3,0.50007,0.028464,0.072051,31.4246,0.984529,0.026839,0.235874,0.656599,0.962635
task_attr_mod_color_184837,post_int,texture,random,0.6,0.50007,0.091845,0.144347,27.0692,0.958689,0.044314,0.426993,0.656599,0.933719
task_attr_mod_color_184837,post_int,texture,random,1.2,0.50007,0.198802,0.306576,21.78,0.871084,0.08147,0.776471,0.656599,0.892875
task_attr_mod_color_184837,post_int,texture,random,2.0,0.50007,0.267593,0.441125,18.0586,0.719605,0.125046,0.988235,0.656599,0.854193
task_attr_mod_color_184837,post_int,texture,random,3.1416,0.50007,0.330456,0.530485,15.3042,0.507187,0.171708,1.0,0.656599,0.814694
task_attr_mod_color_184837,post_int,texture,coherent,0.08,0.50007,0.008459,0.045932,34.8623,0.992984,0.018067,0.141273,0.656599,0.992083
task_attr_mod_color_184837,post_int,texture,coherent,0.3,0.50007,0.02729,0.073567,31.4323,0.984431,0.026815,0.2521,0.656599,0.962551
task_attr_mod_color_184837,post_int,texture,coherent,0.6,0.50007,0.090973,0.149864,27.0784,0.958481,0.044267,0.452096,0.656599,0.933698
task_attr_mod_color_184837,post_int,texture,coherent,1.2,0.50007,0.205112,0.314734,21.7866,0.870846,0.081409,0.843137,0.656599,0.892927
task_attr_mod_color_184837,post_int,texture,coherent,2.0,0.50007,0.285142,0.448322,18.0401,0.718576,0.125313,0.988235,0.656599,0.854231
task_attr_mod_color_184837,post_int,texture,coherent,3.1416,0.50007,0.332346,0.533414,15.2839,0.506187,0.172109,1.0,0.656599,0.814901
task_attr_mod_color_32648,pre_float,band,random,0.08,1.0,0.005816,0.005099,49.9178,0.999224,0.003191,0.106947,,
task_attr_mod_color_32648,pre_float,band,random,0.3,1.0,0.073191,0.054075,39.1761,0.992384,0.010995,0.377621,,
task_attr_mod_color_32648,pre_float,band,random,0.6,1.0,0.176235,0.170286,33.3893,0.973153,0.021406,0.713874,,
task_attr_mod_color_32648,pre_float,band,random,1.2,1.0,0.282282,0.310694,27.8078,0.916047,0.040701,0.960784,,
task_attr_mod_color_32648,pre_float,band,random,2.0,1.0,0.362757,0.364096,24.305,0.838051,0.060919,0.992157,,
task_attr_mod_color_32648,pre_float,band,random,3.1416,1.0,0.354426,0.34546,22.8184,0.788484,0.07229,1.0,,
task_attr_mod_color_32648,pre_float,band,coherent,0.08,1.0,0.006664,0.005885,49.9451,0.999226,0.003181,0.113964,,
task_attr_mod_color_32648,pre_float,band,coherent,0.3,1.0,0.081484,0.065377,39.1547,0.9924,0.011022,0.35491,,
task_attr_mod_color_32648,pre_float,band,coherent,0.6,1.0,0.184265,0.191627,33.3352,0.972982,0.02154,0.669968,,
task_attr_mod_color_32648,pre_float,band,coherent,1.2,1.0,0.284582,0.323396,27.7804,0.915341,0.04083,0.957917,,
task_attr_mod_color_32648,pre_float,band,coherent,2.0,1.0,0.347313,0.37165,24.3577,0.837422,0.06055,1.0,,
task_attr_mod_color_32648,pre_float,band,coherent,3.1416,1.0,0.354426,0.34546,22.8184,0.788484,0.07229,1.0,,
task_attr_mod_color_32648,pre_deliver,band,random,0.08,1.0,0.013371,0.081907,43.3686,0.993204,0.006785,0.114642,,
task_attr_mod_color_32648,pre_deliver,band,random,0.3,1.0,0.075247,0.11672,38.1039,0.986735,0.012439,0.378424,,
task_attr_mod_color_32648,pre_deliver,band,random,0.6,1.0,0.179238,0.20821,33.1114,0.968045,0.022102,0.728202,,
task_attr_mod_color_32648,pre_deliver,band,random,1.2,1.0,0.280536,0.320448,27.7687,0.913006,0.040885,0.960784,,
task_attr_mod_color_32648,pre_deliver,band,random,2.0,1.0,0.359963,0.368996,24.3128,0.838802,0.060864,0.992157,,
task_attr_mod_color_32648,pre_deliver,band,random,3.1416,1.0,0.350756,0.35242,22.8369,0.791802,0.072137,1.0,,
task_attr_mod_color_32648,pre_deliver,band,coherent,0.08,1.0,0.014177,0.082017,43.3767,0.993192,0.006778,0.15036,,
task_attr_mod_color_32648,pre_deliver,band,coherent,0.3,1.0,0.084652,0.125557,38.0936,0.986744,0.012454,0.376256,,
task_attr_mod_color_32648,pre_deliver,band,coherent,0.6,1.0,0.185789,0.229385,33.0542,0.967745,0.022248,0.693614,,
task_attr_mod_color_32648,pre_deliver,band,coherent,1.2,1.0,0.281947,0.329162,27.7364,0.912169,0.041037,0.960784,,
task_attr_mod_color_32648,pre_deliver,band,coherent,2.0,1.0,0.344829,0.373462,24.3638,0.838262,0.060508,1.0,,
task_attr_mod_color_32648,pre_deliver,band,coherent,3.1416,1.0,0.350756,0.35242,22.8369,0.791802,0.072137,1.0,,
task_attr_mod_color_32648,post_int,band,random,0.08,1.0,0.016262,0.080565,43.2024,0.993251,0.006916,0.130155,0.916306,0.998529
task_attr_mod_color_32648,post_int,band,random,0.3,1.0,0.088449,0.122668,37.2776,0.985522,0.013681,0.367057,0.916306,0.994292
task_attr_mod_color_32648,post_int,band,random,0.6,1.0,0.190426,0.23232,32.0482,0.961812,0.02498,0.73198,0.916306,0.987264
task_attr_mod_color_32648,post_int,band,random,1.2,1.0,0.284012,0.333422,27.0767,0.905913,0.044276,0.960784,0.916306,0.971212
task_attr_mod_color_32648,post_int,band,random,2.0,1.0,0.358909,0.365047,24.1102,0.840328,0.0623,1.0,0.916306,0.966149
task_attr_mod_color_32648,post_int,band,random,3.1416,1.0,0.350756,0.35242,22.8369,0.791802,0.072137,1.0,0.916306,0.941895
task_attr_mod_color_32648,post_int,band,coherent,0.08,1.0,0.019172,0.081099,43.1799,0.993225,0.006934,0.131126,0.916306,0.998538
task_attr_mod_color_32648,post_int,band,coherent,0.3,1.0,0.099506,0.131056,37.1697,0.985288,0.013852,0.367994,0.916306,0.994231
task_attr_mod_color_32648,post_int,band,coherent,0.6,1.0,0.202379,0.251021,31.883,0.960908,0.025459,0.694737,0.916306,0.987165
task_attr_mod_color_32648,post_int,band,coherent,1.2,1.0,0.288801,0.341988,26.8837,0.904628,0.04527,0.960784,0.916306,0.971194
task_attr_mod_color_32648,post_int,band,coherent,2.0,1.0,0.351116,0.37027,24.0482,0.840004,0.062746,1.0,0.916306,0.966178
task_attr_mod_color_32648,post_int,band,coherent,3.1416,1.0,0.350756,0.35242,22.8369,0.791802,0.072137,1.0,0.916306,0.941895
task_attr_mod_color_32648,pre_float,texture,random,0.08,0.62292,0.000918,0.001731,56.0086,0.999647,0.00158,0.048156,,
task_attr_mod_color_32648,pre_float,texture,random,0.3,0.62292,0.009287,0.013437,47.0819,0.997873,0.004424,0.169529,,
task_attr_mod_color_32648,pre_float,texture,random,0.6,0.62292,0.033063,0.047177,41.3502,0.992407,0.00856,0.333239,,
task_attr_mod_color_32648,pre_float,texture,random,1.2,0.62292,0.098581,0.150131,35.6242,0.973237,0.016549,0.596078,,
task_attr_mod_color_32648,pre_float,texture,random,2.0,0.62292,0.179172,0.260842,31.6254,0.938247,0.026226,0.753545,,
task_attr_mod_color_32648,pre_float,texture,random,3.1416,0.62292,0.260899,0.323734,28.6324,0.889849,0.037015,0.992157,,
task_attr_mod_color_32648,pre_float,texture,coherent,0.08,0.62292,0.000853,0.00178,56.0647,0.999646,0.00157,0.048829,,
task_attr_mod_color_32648,pre_float,texture,coherent,0.3,0.62292,0.009891,0.015117,47.1304,0.997857,0.004399,0.169529,,
task_attr_mod_color_32648,pre_float,texture,coherent,0.6,0.62292,0.03458,0.055095,41.4063,0.992356,0.008505,0.333239,,
task_attr_mod_color_32648,pre_float,texture,coherent,1.2,0.62292,0.110498,0.175354,35.6754,0.972971,0.016452,0.653249,,
task_attr_mod_color_32648,pre_float,texture,coherent,2.0,0.62292,0.19743,0.278682,31.6892,0.937643,0.026034,0.937255,,
task_attr_mod_color_32648,pre_float,texture,coherent,3.1416,0.62292,0.269315,0.333515,28.6967,0.889271,0.036742,1.0,,
task_attr_mod_color_32648,pre_deliver,texture,random,0.08,0.62292,0.009047,0.080692,44.1485,0.993613,0.006202,0.102856,,
task_attr_mod_color_32648,pre_deliver,texture,random,0.3,0.62292,0.01543,0.085876,42.5742,0.991935,0.007435,0.186076,,
task_attr_mod_color_32648,pre_deliver,texture,random,0.6,0.62292,0.037256,0.105442,39.7078,0.986903,0.010342,0.348929,,
task_attr_mod_color_32648,pre_deliver,texture,random,1.2,0.62292,0.100193,0.182661,35.1915,0.96878,0.017395,0.596078,,
task_attr_mod_color_32648,pre_deliver,texture,random,2.0,0.62292,0.176832,0.273241,31.5053,0.935796,0.026591,0.7504,,
task_attr_mod_color_32648,pre_deliver,texture,random,3.1416,0.62292,0.260427,0.32775,28.6266,0.89039,0.03704,0.992157,,
task_attr_mod_color_32648,pre_deliver,texture,coherent,0.08,0.62292,0.008577,0.079546,44.1528,0.993597,0.006199,0.10267,,
task_attr_mod_color_32648,pre_deliver,texture,coherent,0.3,0.62292,0.016166,0.087332,42.6043,0.991905,0.007409,0.187063,,
task_attr_mod_color_32648,pre_deliver,texture,coherent,0.6,0.62292,0.041422,0.113798,39.744,0.986798,0.010299,0.337265,,
task_attr_mod_color_32648,pre_deliver,texture,coherent,1.2,0.62292,0.112329,0.206243,35.2388,0.968387,0.0173,0.670943,,
task_attr_mod_color_32648,pre_deliver,texture,coherent,2.0,0.62292,0.196257,0.289479,31.565,0.935201,0.026409,0.937255,,
task_attr_mod_color_32648,pre_deliver,texture,coherent,3.1416,0.62292,0.267794,0.337017,28.6833,0.889816,0.036799,1.0,,
task_attr_mod_color_32648,post_int,texture,random,0.08,0.62292,0.008994,0.078729,44.1383,0.993656,0.006209,0.102856,0.916306,0.999613
task_attr_mod_color_32648,post_int,texture,random,0.3,0.62292,0.019119,0.085666,42.3525,0.991904,0.007627,0.180893,0.916306,0.997841
task_attr_mod_color_32648,post_int,texture,random,0.6,0.62292,0.041903,0.110572,39.1419,0.985898,0.011038,0.36222,0.916306,0.994754
task_attr_mod_color_32648,post_int,texture,random,1.2,0.62292,0.11024,0.196791,34.4972,0.965224,0.018842,0.596078,0.916306,0.987104
task_attr_mod_color_32648,post_int,texture,random,2.0,0.62292,0.18192,0.276219,31.0492,0.932961,0.028024,0.770619,0.916306,0.977594
task_attr_mod_color_32648,post_int,texture,random,3.1416,0.62292,0.259118,0.329935,28.3699,0.888296,0.038151,0.992157,0.916306,0.962902
task_attr_mod_color_32648,post_int,texture,coherent,0.08,0.62292,0.009461,0.078842,44.1353,0.993646,0.006211,0.102856,0.916306,0.999619
task_attr_mod_color_32648,post_int,texture,coherent,0.3,0.62292,0.019647,0.085758,42.3441,0.991768,0.007634,0.180893,0.916306,0.997823
task_attr_mod_color_32648,post_int,texture,coherent,0.6,0.62292,0.047823,0.116007,39.1226,0.985657,0.011062,0.36222,0.916306,0.994722
task_attr_mod_color_32648,post_int,texture,coherent,1.2,0.62292,0.130256,0.216767,34.4363,0.9645,0.018975,0.666831,0.916306,0.98695
task_attr_mod_color_32648,post_int,texture,coherent,2.0,0.62292,0.208458,0.290084,30.995,0.931917,0.0282,0.937255,0.916306,0.9776
task_attr_mod_color_32648,post_int,texture,coherent,3.1416,0.62292,0.269866,0.338037,28.3219,0.887635,0.038362,1.0,0.916306,0.962955
task_attr_mod_color_6205,pre_float,band,random,0.08,1.0,0.02086,0.016763,40.9926,0.995849,0.00892,0.239954,,
task_attr_mod_color_6205,pre_float,band,random,0.3,1.0,0.166472,0.139854,32.5269,0.968062,0.02364,0.377712,,
task_attr_mod_color_6205,pre_float,band,random,0.6,1.0,0.284031,0.287373,26.9231,0.897833,0.045065,0.667952,,
task_attr_mod_color_6205,pre_float,band,random,1.2,1.0,0.38021,0.463734,21.3992,0.715821,0.085122,0.941169,,
task_attr_mod_color_6205,pre_float,band,random,2.0,1.0,0.406472,0.525438,17.9499,0.490904,0.126621,1.0,,
task_attr_mod_color_6205,pre_float,band,random,3.1416,1.0,0.367132,0.47178,16.4422,0.353847,0.150623,1.0,,
task_attr_mod_color_6205,pre_float,band,coherent,0.08,1.0,0.022553,0.019591,41.0558,0.995949,0.008855,0.217718,,
task_attr_mod_color_6205,pre_float,band,coherent,0.3,1.0,0.177441,0.157388,32.5974,0.968681,0.023449,0.462148,,
task_attr_mod_color_6205,pre_float,band,coherent,0.6,1.0,0.289824,0.308118,26.9729,0.898016,0.044808,0.702407,,
task_attr_mod_color_6205,pre_float,band,coherent,1.2,1.0,0.37395,0.472029,21.4382,0.714156,0.08474,0.943654,,
task_attr_mod_color_6205,pre_float,band,coherent,2.0,1.0,0.41025,0.529905,17.9889,0.490685,0.126054,1.0,,
task_attr_mod_color_6205,pre_float,band,coherent,3.1416,1.0,0.367132,0.47178,16.4422,0.353847,0.150623,1.0,,
task_attr_mod_color_6205,pre_deliver,band,random,0.08,1.0,0.023454,0.073267,36.7521,0.98637,0.014534,0.250385,,
task_attr_mod_color_6205,pre_deliver,band,random,0.3,1.0,0.167054,0.178042,31.6677,0.960008,0.026098,0.405232,,
task_attr_mod_color_6205,pre_deliver,band,random,0.6,1.0,0.283674,0.312859,26.6786,0.891829,0.046352,0.676781,,
task_attr_mod_color_6205,pre_deliver,band,random,1.2,1.0,0.380196,0.472009,21.3474,0.713259,0.085631,0.945098,,
task_attr_mod_color_6205,pre_deliver,band,random,2.0,1.0,0.407065,0.53004,17.9615,0.491939,0.126452,1.0,,
task_attr_mod_color_6205,pre_deliver,band,random,3.1416,1.0,0.366567,0.478758,16.4578,0.356465,0.150353,1.0,,
task_attr_mod_color_6205,pre_deliver,band,coherent,0.08,1.0,0.026429,0.074506,36.7602,0.986412,0.01452,0.249395,,
task_attr_mod_color_6205,pre_deliver,band,coherent,0.3,1.0,0.178027,0.192222,31.6995,0.960093,0.026003,0.45182,,
task_attr_mod_color_6205,pre_deliver,band,coherent,0.6,1.0,0.289685,0.332616,26.7209,0.891375,0.046127,0.690415,,
task_attr_mod_color_6205,pre_deliver,band,coherent,1.2,1.0,0.374368,0.48088,21.3837,0.711177,0.085274,0.972733,,
task_attr_mod_color_6205,pre_deliver,band,coherent,2.0,1.0,0.411147,0.533587,17.9994,0.491353,0.125901,1.0,,
task_attr_mod_color_6205,pre_deliver,band,coherent,3.1416,1.0,0.366567,0.478758,16.4578,0.356465,0.150353,1.0,,
task_attr_mod_color_6205,post_int,band,random,0.08,1.0,0.025979,0.074845,36.6847,0.986183,0.014647,0.263458,0.823986,0.992333
task_attr_mod_color_6205,post_int,band,random,0.3,1.0,0.173463,0.185554,31.3832,0.957619,0.026967,0.387946,0.823986,0.97063
task_attr_mod_color_6205,post_int,band,random,0.6,1.0,0.286874,0.341987,26.2272,0.882897,0.048825,0.78722,0.823986,0.948635
task_attr_mod_color_6205,post_int,band,random,1.2,1.0,0.380302,0.483928,21.0941,0.704463,0.088164,0.945098,0.823986,0.915423
task_attr_mod_color_6205,post_int,band,random,2.0,1.0,0.407768,0.530347,17.9055,0.491763,0.12727,1.0,0.823986,0.904698
task_attr_mod_color_6205,post_int,band,random,3.1416,1.0,0.366567,0.478758,16.4578,0.356465,0.150353,1.0,0.823986,0.873442
task_attr_mod_color_6205,post_int,band,coherent,0.08,1.0,0.028482,0.076458,36.7057,0.986223,0.014612,0.268274,0.823986,0.992336
task_attr_mod_color_6205,post_int,band,coherent,0.3,1.0,0.178628,0.198811,31.4376,0.957822,0.026799,0.466947,0.823986,0.970505
task_attr_mod_color_6205,post_int,band,coherent,0.6,1.0,0.287626,0.359865,26.2729,0.882959,0.048568,0.73872,0.823986,0.948565
task_attr_mod_color_6205,post_int,band,coherent,1.2,1.0,0.376061,0.489479,21.1404,0.703743,0.087696,0.984314,0.823986,0.915167
task_attr_mod_color_6205,post_int,band,coherent,2.0,1.0,0.410379,0.533408,17.9578,0.493166,0.126505,1.0,0.823986,0.904962
task_attr_mod_color_6205,post_int,band,coherent,3.1416,1.0,0.366567,0.478758,16.4578,0.356465,0.150353,1.0,0.823986,0.873442
task_attr_mod_color_6205,pre_float,texture,random,0.08,0.44308,0.003292,0.003603,43.271,0.997926,0.006861,0.22582,,
task_attr_mod_color_6205,pre_float,texture,random,0.3,0.44308,0.014921,0.017156,39.3958,0.994156,0.01072,0.304662,,
task_attr_mod_color_6205,pre_float,texture,random,0.6,0.44308,0.053252,0.055925,34.8368,0.983086,0.01812,0.417723,,
task_attr_mod_color_6205,pre_float,texture,random,1.2,0.44308,0.132352,0.158685,29.4454,0.946994,0.033708,0.671751,,
task_attr_mod_color_6205,pre_float,texture,random,2.0,0.44308,0.202286,0.271991,25.4427,0.884291,0.05344,0.909804,,
task_attr_mod_color_6205,pre_float,texture,random,3.1416,0.44308,0.247795,0.360541,22.2218,0.79224,0.07743,1.0,,
task_attr_mod_color_6205,pre_float,texture,coherent,0.08,0.44308,0.003447,0.00362,43.3051,0.997943,0.006834,0.213188,,
task_attr_mod_color_6205,pre_float,texture,coherent,0.3,0.44308,0.01445,0.018608,39.4962,0.994285,0.010597,0.259042,,
task_attr_mod_color_6205,pre_float,texture,coherent,0.6,0.44308,0.054954,0.062694,34.9442,0.983412,0.017897,0.429539,,
task_attr_mod_color_6205,pre_float,texture,coherent,1.2,0.44308,0.143384,0.176119,29.534,0.94736,0.033365,0.756837,,
task_attr_mod_color_6205,pre_float,texture,coherent,2.0,0.44308,0.212531,0.288728,25.5106,0.884122,0.053024,0.909804,,
task_attr_mod_color_6205,pre_float,texture,coherent,3.1416,0.44308,0.262227,0.374058,22.2789,0.79155,0.076923,1.0,,
task_attr_mod_color_6205,pre_deliver,texture,random,0.08,0.44308,0.009346,0.063497,37.4418,0.988305,0.013425,0.256991,,
task_attr_mod_color_6205,pre_deliver,texture,random,0.3,0.44308,0.018378,0.074471,36.0881,0.984784,0.015689,0.297806,,
task_attr_mod_color_6205,pre_deliver,texture,random,0.6,0.44308,0.054393,0.103878,33.4219,0.974371,0.021326,0.423606,,
task_attr_mod_color_6205,pre_deliver,texture,random,1.2,0.44308,0.132764,0.188767,29.012,0.93995,0.035432,0.679044,,
task_attr_mod_color_6205,pre_deliver,texture,random,2.0,0.44308,0.201112,0.287511,25.2841,0.879398,0.054424,0.909804,,
task_attr_mod_color_6205,pre_deliver,texture,random,3.1416,0.44308,0.247969,0.368584,22.1733,0.790259,0.077863,1.0,,
task_attr_mod_color_6205,pre_deliver,texture,coherent,0.08,0.44308,0.009276,0.063467,37.4403,0.988271,0.013427,0.255373,,
task_attr_mod_color_6205,pre_deliver,texture,coherent,0.3,0.44308,0.020737,0.074776,36.1211,0.984836,0.015629,0.294849,,
task_attr_mod_color_6205,pre_deliver,texture,coherent,0.6,0.44308,0.058273,0.108622,33.4722,0.974551,0.021202,0.41812,,
task_attr_mod_color_6205,pre_deliver,texture,coherent,1.2,0.44308,0.143966,0.20329,29.0801,0.939886,0.035156,0.741983,,
task_attr_mod_color_6205,pre_deliver,texture,coherent,2.0,0.44308,0.211347,0.303724,25.3472,0.87899,0.05403,0.909804,,
task_attr_mod_color_6205,pre_deliver,texture,coherent,3.1416,0.44308,0.262758,0.382377,22.2349,0.789422,0.077314,1.0,,
task_attr_mod_color_6205,post_int,texture,random,0.08,0.44308,0.008994,0.06363,37.4332,0.988319,0.013438,0.259934,0.823986,0.998773
task_attr_mod_color_6205,post_int,texture,random,0.3,0.44308,0.020684,0.075076,35.9861,0.984524,0.015874,0.299996,0.823986,0.991301
task_attr_mod_color_6205,post_int,texture,random,0.6,0.44308,0.05899,0.109423,33.1609,0.972956,0.021976,0.398485,0.823986,0.982143
task_attr_mod_color_6205,post_int,texture,random,1.2,0.44308,0.133994,0.201703,28.6105,0.935269,0.037108,0.761369,0.823986,0.967061
task_attr_mod_color_6205,post_int,texture,random,2.0,0.44308,0.204296,0.29794,24.9749,0.873425,0.056396,0.909804,0.823986,0.950794
task_attr_mod_color_6205,post_int,texture,random,3.1416,0.44308,0.249681,0.37652,21.9943,0.785254,0.079485,0.988235,0.823986,0.931908
task_attr_mod_color_6205,post_int,texture,coherent,0.08,0.44308,0.008978,0.063677,37.4384,0.988319,0.01343,0.264384,0.823986,0.998756
task_attr_mod_color_6205,post_int,texture,coherent,0.3,0.44308,0.022676,0.076322,36.0199,0.984584,0.015812,0.299996,0.823986,0.991243
task_attr_mod_color_6205,post_int,texture,coherent,0.6,0.44308,0.064645,0.113546,33.2371,0.973315,0.021784,0.423643,0.823986,0.982076
task_attr_mod_color_6205,post_int,texture,coherent,1.2,0.44308,0.148859,0.216024,28.6897,0.935544,0.036772,0.747491,0.823986,0.967119
task_attr_mod_color_6205,post_int,texture,coherent,2.0,0.44308,0.215508,0.311609,25.0561,0.874266,0.055872,0.909804,0.823986,0.950768
task_attr_mod_color_6205,post_int,texture,coherent,3.1416,0.44308,0.261832,0.387853,22.0714,0.786007,0.078783,1.0,0.823986,0.931867
task_env_weather_112463,pre_float,band,random,0.08,1.0,0.010733,0.013587,43.5089,0.99737,0.006676,0.12844,,
task_env_weather_112463,pre_float,band,random,0.3,1.0,0.101593,0.128289,33.2745,0.971372,0.02169,0.360955,,
task_env_weather_112463,pre_float,band,random,0.6,1.0,0.201213,0.298589,27.4814,0.899153,0.04226,0.647059,,
task_env_weather_112463,pre_float,band,random,1.2,1.0,0.335686,0.532396,21.9431,0.696403,0.079954,0.945098,,
task_env_weather_112463,pre_float,band,random,2.0,1.0,0.369504,0.615491,18.5436,0.437106,0.118255,1.0,,
task_env_weather_112463,pre_float,band,random,3.1416,1.0,0.3739,0.605521,17.0553,0.273595,0.140357,1.0,,
task_env_weather_112463,pre_float,band,coherent,0.08,1.0,0.010769,0.016342,43.5734,0.997385,0.006626,0.10254,,
task_env_weather_112463,pre_float,band,coherent,0.3,1.0,0.110716,0.147515,33.3603,0.97149,0.021477,0.306758,,
task_env_weather_112463,pre_float,band,coherent,0.6,1.0,0.22199,0.324152,27.5694,0.899005,0.041834,0.640667,,
task_env_weather_112463,pre_float,band,coherent,1.2,1.0,0.341983,0.536356,22.0129,0.695109,0.079315,0.909804,,
task_env_weather_112463,pre_float,band,coherent,2.0,1.0,0.372708,0.613061,18.5751,0.43728,0.117827,0.996078,,
task_env_weather_112463,pre_float,band,coherent,3.1416,1.0,0.3739,0.605521,17.0553,0.273595,0.140357,1.0,,
task_env_weather_112463,pre_deliver,band,random,0.08,1.0,0.016241,0.0513,39.2812,0.989826,0.010862,0.1778,,
task_env_weather_112463,pre_deliver,band,random,0.3,1.0,0.105023,0.155574,32.6828,0.964664,0.02322,0.361213,,
task_env_weather_112463,pre_deliver,band,random,0.6,1.0,0.200985,0.311509,27.3361,0.894059,0.042973,0.647059,,
task_env_weather_112463,pre_deliver,band,random,1.2,1.0,0.335544,0.530684,21.9161,0.693891,0.080203,0.94902,,
task_env_weather_112463,pre_deliver,band,random,2.0,1.0,0.369717,0.611929,18.5491,0.436594,0.118181,1.0,,
task_env_weather_112463,pre_deliver,band,random,3.1416,1.0,0.374752,0.603655,17.0592,0.273238,0.140295,1.0,,
task_env_weather_112463,pre_deliver,band,coherent,0.08,1.0,0.014105,0.053557,39.2973,0.98981,0.010842,0.164069,,
task_env_weather_112463,pre_deliver,band,coherent,0.3,1.0,0.112123,0.172167,32.7467,0.964477,0.02305,0.325378,,
task_env_weather_112463,pre_deliver,band,coherent,0.6,1.0,0.220944,0.333735,27.4166,0.893458,0.042577,0.625635,,
task_env_weather_112463,pre_deliver,band,coherent,1.2,1.0,0.343445,0.535793,21.9783,0.691753,0.079631,0.909804,,
task_env_weather_112463,pre_deliver,band,coherent,2.0,1.0,0.373658,0.608614,18.5787,0.436193,0.117778,0.996078,,
task_env_weather_112463,pre_deliver,band,coherent,3.1416,1.0,0.374752,0.603655,17.0592,0.273238,0.140295,1.0,,
task_env_weather_112463,post_int,band,random,0.08,1.0,0.013731,0.050971,39.2171,0.989733,0.010943,0.182333,0.814825,0.99174
task_env_weather_112463,post_int,band,random,0.3,1.0,0.105064,0.158901,32.4154,0.962253,0.023946,0.349107,0.814825,0.968613
task_env_weather_112463,post_int,band,random,0.6,1.0,0.209299,0.32975,26.9763,0.885048,0.04479,0.647059,0.814825,0.947056
task_env_weather_112463,post_int,band,random,1.2,1.0,0.329477,0.538592,21.6981,0.683372,0.082242,0.94902,0.814825,0.910435
task_env_weather_112463,post_int,band,random,2.0,1.0,0.36697,0.610156,18.4687,0.433624,0.11928,1.0,0.814825,0.900091
task_env_weather_112463,post_int,band,random,3.1416,1.0,0.374752,0.603655,17.0592,0.273238,0.140295,1.0,0.814825,0.859375
task_env_weather_112463,post_int,band,coherent,0.08,1.0,0.013237,0.052581,39.2237,0.989643,0.010934,0.171094,0.814825,0.99176
task_env_weather_112463,post_int,band,coherent,0.3,1.0,0.112779,0.175102,32.4716,0.961869,0.023791,0.308578,0.814825,0.968753
task_env_weather_112463,post_int,band,coherent,0.6,1.0,0.229738,0.350632,27.0594,0.88431,0.044364,0.628725,0.814825,0.947245
task_env_weather_112463,post_int,band,coherent,1.2,1.0,0.339558,0.542827,21.7755,0.681053,0.081513,0.92517,0.814825,0.910583
task_env_weather_112463,post_int,band,coherent,2.0,1.0,0.373763,0.608759,18.5263,0.432873,0.118491,1.0,0.814825,0.899603
task_env_weather_112463,post_int,band,coherent,3.1416,1.0,0.374752,0.603655,17.0592,0.273238,0.140295,1.0,0.814825,0.859375
task_env_weather_112463,pre_float,texture,random,0.08,0.58896,0.002044,0.004507,47.4778,0.998883,0.004227,0.091448,,
task_env_weather_112463,pre_float,texture,random,0.3,0.58896,0.012193,0.033917,39.9207,0.99136,0.010091,0.174032,,
task_env_weather_112463,pre_float,texture,random,0.6,0.58896,0.045449,0.112187,34.3357,0.968272,0.019196,0.332136,,
task_env_weather_112463,pre_float,texture,random,1.2,0.58896,0.120572,0.287157,28.6251,0.889888,0.037046,0.683231,,
task_env_weather_112463,pre_float,texture,random,2.0,0.58896,0.213505,0.444451,24.6521,0.75684,0.058532,0.945098,,
task_env_weather_112463,pre_float,texture,random,3.1416,0.58896,0.295627,0.532923,21.6442,0.586376,0.082754,1.0,,
task_env_weather_112463,pre_float,texture,coherent,0.08,0.58896,0.001571,0.004635,47.5072,0.998884,0.004212,0.094542,,
task_env_weather_112463,pre_float,texture,coherent,0.3,0.58896,0.009638,0.037356,40.0009,0.991403,0.009998,0.164269,,
task_env_weather_112463,pre_float,texture,coherent,0.6,0.58896,0.045332,0.123144,34.4212,0.968409,0.019008,0.309804,,
task_env_weather_112463,pre_float,texture,coherent,1.2,0.58896,0.138299,0.311778,28.7046,0.889941,0.036709,0.619272,,
task_env_weather_112463,pre_float,texture,coherent,2.0,0.58896,0.231227,0.461158,24.7108,0.756548,0.058138,0.868912,,
task_env_weather_112463,pre_float,texture,coherent,3.1416,0.58896,0.30315,0.538995,21.6817,0.586339,0.082398,1.0,,
task_env_weather_112463,pre_deliver,texture,random,0.08,0.58896,0.006136,0.043158,40.3747,0.99129,0.009577,0.150623,,
task_env_weather_112463,pre_deliver,texture,random,0.3,0.58896,0.014878,0.068467,37.5845,0.984071,0.013206,0.194431,,
task_env_weather_112463,pre_deliver,texture,random,0.6,0.58896,0.048335,0.137306,33.5933,0.96185,0.020909,0.335194,,
task_env_weather_112463,pre_deliver,texture,random,1.2,0.58896,0.121319,0.295055,28.4439,0.885292,0.037827,0.711852,,
task_env_weather_112463,pre_deliver,texture,random,2.0,0.58896,0.214921,0.444743,24.5993,0.754071,0.058889,0.945098,,
task_env_weather_112463,pre_deliver,texture,random,3.1416,0.58896,0.295968,0.531643,21.6317,0.585154,0.082873,1.0,,
