image,variant,gate,sign,theta,gate_mean,dists,lpips,psnr,ssim,rms,linf,zero_pair_frac,delta_within_1
task_attr_mod_color_11699,post_int,band,coherent,1.2,1.0,0.341249,0.481241,18.7883,0.720734,0.11497,1.0,0.782099,0.888576
task_attr_mod_color_11699,post_int,band,coherent,2.0,1.0,0.353454,0.52598,15.6308,0.482272,0.165371,1.0,0.782099,0.876157
task_attr_mod_color_11699,post_int,band,coherent,3.1416,1.0,0.331721,0.481283,14.0851,0.310531,0.197581,1.0,0.782099,0.837536
task_attr_mod_color_11699,pre_float,texture,random,0.08,0.49988,0.001567,0.00364,44.3813,0.999005,0.006038,0.114267,,
task_attr_mod_color_11699,pre_float,texture,random,0.3,0.49988,0.007871,0.019127,38.7714,0.996124,0.011519,0.231912,,
task_attr_mod_color_11699,pre_float,texture,random,0.6,0.49988,0.033769,0.062776,33.621,0.98728,0.020842,0.458824,,
task_attr_mod_color_11699,pre_float,texture,random,1.2,0.49988,0.098642,0.165893,28.0308,0.955749,0.03967,0.703382,,
task_attr_mod_color_11699,pre_float,texture,random,2.0,0.49988,0.170802,0.276951,23.972,0.895486,0.0633,0.980392,,
task_attr_mod_color_11699,pre_float,texture,random,3.1416,0.49988,0.231167,0.356188,20.7739,0.802301,0.091475,1.0,,
task_attr_mod_color_11699,pre_float,texture,coherent,0.08,0.49988,0.001621,0.003719,44.383,0.999007,0.006037,0.113811,,
task_attr_mod_color_11699,pre_float,texture,coherent,0.3,0.49988,0.009454,0.02033,38.761,0.996112,0.011533,0.212817,,
task_attr_mod_color_11699,pre_float,texture,coherent,0.6,0.49988,0.037241,0.070547,33.6043,0.987161,0.020882,0.402882,,
task_attr_mod_color_11699,pre_float,texture,coherent,1.2,0.49988,0.106565,0.183939,28.0103,0.955133,0.039763,0.703382,,
task_attr_mod_color_11699,pre_float,texture,coherent,2.0,0.49988,0.187806,0.288693,23.9423,0.893935,0.063517,0.980392,,
task_attr_mod_color_11699,pre_float,texture,coherent,3.1416,0.49988,0.237169,0.362358,20.7438,0.800269,0.091793,1.0,,
task_attr_mod_color_11699,pre_deliver,texture,random,0.08,0.49988,0.009579,0.095615,36.0968,0.991607,0.015673,0.159106,,
task_attr_mod_color_11699,pre_deliver,texture,random,0.3,0.49988,0.01707,0.103815,34.6855,0.988914,0.018438,0.227487,,
task_attr_mod_color_11699,pre_deliver,texture,random,0.6,0.49988,0.042419,0.131019,31.9533,0.980521,0.025254,0.444729,,
task_attr_mod_color_11699,pre_deliver,texture,random,1.2,0.49988,0.101865,0.205322,27.5181,0.950234,0.042082,0.728611,,
task_attr_mod_color_11699,pre_deliver,texture,random,2.0,0.49988,0.171028,0.297,23.7873,0.891839,0.06466,0.980392,,
task_attr_mod_color_11699,pre_deliver,texture,random,3.1416,0.49988,0.229329,0.375177,20.7051,0.801088,0.092203,1.0,,
task_attr_mod_color_11699,pre_deliver,texture,coherent,0.08,0.49988,0.009619,0.096064,36.1045,0.991598,0.015659,0.159114,,
task_attr_mod_color_11699,pre_deliver,texture,coherent,0.3,0.49988,0.016239,0.105812,34.6842,0.988893,0.018441,0.21876,,
task_attr_mod_color_11699,pre_deliver,texture,coherent,0.6,0.49988,0.0418,0.136523,31.9473,0.980412,0.025271,0.422046,,
task_attr_mod_color_11699,pre_deliver,texture,coherent,1.2,0.49988,0.10766,0.220582,27.5109,0.949649,0.042117,0.696254,,
task_attr_mod_color_11699,pre_deliver,texture,coherent,2.0,0.49988,0.186894,0.306597,23.7655,0.890423,0.064822,0.980392,,
task_attr_mod_color_11699,pre_deliver,texture,coherent,3.1416,0.49988,0.236721,0.378987,20.6797,0.799246,0.092473,1.0,,
task_attr_mod_color_11699,post_int,texture,random,0.08,0.49988,0.009444,0.095108,36.0929,0.991638,0.01568,0.172718,0.782099,0.997864
task_attr_mod_color_11699,post_int,texture,random,0.3,0.49988,0.019836,0.105192,34.5416,0.988442,0.018746,0.264404,0.782099,0.986343
task_attr_mod_color_11699,post_int,texture,random,0.6,0.49988,0.047587,0.135753,31.6172,0.978453,0.026251,0.507772,0.782099,0.973662
task_attr_mod_color_11699,post_int,texture,random,1.2,0.49988,0.112001,0.219829,27.0257,0.944045,0.044536,0.796314,0.782099,0.953436
task_attr_mod_color_11699,post_int,texture,random,2.0,0.49988,0.182439,0.309583,23.386,0.883256,0.067717,1.0,0.782099,0.933379
task_attr_mod_color_11699,post_int,texture,random,3.1416,0.49988,0.237054,0.382527,20.4652,0.792762,0.094785,1.0,0.782099,0.908976
task_attr_mod_color_11699,post_int,texture,coherent,0.08,0.49988,0.009846,0.095167,36.0937,0.991629,0.015679,0.172718,0.782099,0.99787
task_attr_mod_color_11699,post_int,texture,coherent,0.3,0.49988,0.0183,0.106812,34.5376,0.988335,0.018755,0.251369,0.782099,0.986404
task_attr_mod_color_11699,post_int,texture,coherent,0.6,0.49988,0.047421,0.144743,31.5905,0.978172,0.026331,0.448031,0.782099,0.973426
task_attr_mod_color_11699,post_int,texture,coherent,1.2,0.49988,0.120255,0.235132,26.9881,0.942944,0.04473,0.760517,0.782099,0.953337
task_attr_mod_color_11699,post_int,texture,coherent,2.0,0.49988,0.193326,0.321341,23.3452,0.881253,0.068036,1.0,0.782099,0.933254
task_attr_mod_color_11699,post_int,texture,coherent,3.1416,0.49988,0.237515,0.387724,20.4388,0.79104,0.095074,1.0,0.782099,0.908857
task_attr_mod_color_136767,pre_float,band,random,0.08,1.0,0.012864,0.015205,41.6704,0.997653,0.00825,0.180156,,
task_attr_mod_color_136767,pre_float,band,random,0.3,1.0,0.155649,0.121485,31.1707,0.974114,0.027635,0.429956,,
task_attr_mod_color_136767,pre_float,band,random,0.6,1.0,0.275016,0.261532,25.3838,0.908702,0.053803,0.83429,,
task_attr_mod_color_136767,pre_float,band,random,1.2,1.0,0.373993,0.441221,19.7639,0.72096,0.102755,1.0,,
