image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.15597,0.93776,28.033,0.49045,0.08882,0.19569,0.82128,23.347,0.35576,0.13087,0.47946,0.03966,82.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.13822,0.98708,40.29,0.67792,0.04588,0.16149,0.89196,21.579,0.66296,0.14719,0.22011,0.00967,82.7
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.18151,0.93376,30.359,0.56146,0.04215,0.28797,0.75935,21.111,0.286,0.12479,0.34351,0.03034,82.8
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.21701,0.91675,30.727,0.53757,0.03951,0.59706,0.68332,14.325,0.32266,0.34004,0.27811,0.02908,82.8
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14652,0.93849,25.968,0.47578,0.08058,0.18835,0.84718,21.821,0.31459,0.09377,0.5576,0.05031,82.8
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11189,0.96115,29.82,0.60263,0.0668,0.20509,0.84295,17.856,0.45192,0.15005,0.45972,0.03228,82.7
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11593,0.96589,35.127,0.68973,0.05068,0.13909,0.90253,28.926,0.59339,0.09255,0.40784,0.01752,84.0
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.21663,0.90802,25.385,0.52593,0.06896,0.41288,0.45589,14.535,0.07856,0.24799,0.65694,0.0538,83.9
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.19737,0.93705,28.335,0.58156,0.07608,0.27184,0.77363,20.723,0.36746,0.12339,0.62632,0.0383,83.7
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09227,0.9776,37.033,0.77354,0.04703,0.26352,0.82512,20.918,0.66557,0.16931,0.22325,0.01407,83.5
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.2137,0.90003,24.626,0.43804,0.08987,0.30862,0.69725,17.326,0.25678,0.14218,0.62892,0.05871,83.3
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.32922,0.86237,25.612,0.37747,0.13167,0.54148,0.46836,16.927,0.2018,0.26216,0.69514,0.05241,83.3
