phase,step,loss,feasible,psnr,linf,ssim,vif_p,fsim,lpips,dists,acutance_ratio,rms,frac_gt_16_255
A1,0,0.16149866580963135,True,25.220529556274414,0.731066107749939,0.8398017883300781,0.31002524495124817,0.9353086948394775,0.14480172097682953,0.03760254383087158,0.9571849703788757,0.05482426658272743,0.16167831420898438
A1,10,0.13194549083709717,True,25.129100799560547,0.8083824515342712,0.8395945429801941,0.3042026162147522,0.9329273104667664,0.1155128926038742,0.04276680946350098,1.0280368328094482,0.055404409766197205,0.16328684985637665
A1,20,0.1236487627029419,True,25.295495986938477,0.8230374455451965,0.8443813323974609,0.30997422337532043,0.9339316487312317,0.10766854137182236,0.04439246654510498,0.9873125553131104,0.054353125393390656,0.1580912321805954
A1,30,0.11922190338373184,True,25.433446884155273,0.8162382245063782,0.8482767939567566,0.3153805732727051,0.9350491762161255,0.10357099771499634,0.04168742895126343,0.9523965120315552,0.053496696054935455,0.15355682373046875
A1,40,0.12728774547576904,False,25.51711654663086,0.828591525554657,0.850029468536377,0.31872639060020447,0.9355111122131348,0.10199051350355148,0.04207003116607666,0.940180778503418,0.0529838465154171,0.15163294970989227
A1,50,0.11478976905345917,True,25.4229736328125,0.8283111453056335,0.8503217101097107,0.31659185886383057,0.9352548122406006,0.09918898344039917,0.04190170764923096,1.0026589632034302,0.053561240434646606,0.15342330932617188
A1,60,0.11209552735090256,True,25.568572998046875,0.8329071402549744,0.8524260520935059,0.3211265802383423,0.9361773729324341,0.0967635065317154,0.03923964500427246,0.9565683007240295,0.05267087742686272,0.14941024780273438
A1,70,0.11181474477052689,True,25.453372955322266,0.8380852937698364,0.851875901222229,0.31824904680252075,0.9358029365539551,0.09629771113395691,0.04036986827850342,1.0214391946792603,0.053374119102954865,0.15209326148033142
A1,80,0.11117376387119293,True,25.479751586914062,0.8397606015205383,0.8524032831192017,0.3190453052520752,0.9359453320503235,0.09570565074682236,0.03961014747619629,1.022064208984375,0.053212255239486694,0.15135574340820312
A1,90,0.110305555164814,True,25.581649780273438,0.8516526818275452,0.8543963432312012,0.32260721921920776,0.936672031879425,0.095047228038311,0.04011225700378418,0.9761496186256409,0.05259163677692413,0.14802679419517517
A1,100,0.10932177305221558,True,25.439434051513672,0.8524688482284546,0.8533734679222107,0.31882593035697937,0.9360119700431824,0.09381690621376038,0.040524959564208984,1.0465102195739746,0.053459834307432175,0.15186437964439392
A1,110,0.10803423821926117,True,25.472566604614258,0.852336049079895,0.8542895317077637,0.3200799822807312,0.936257541179657,0.09259874373674393,0.040744781494140625,1.0405515432357788,0.053256284445524216,0.15059027075767517
A1,120,0.10708092898130417,True,25.534086227416992,0.8473973274230957,0.8552184104919434,0.3218674659729004,0.9366413950920105,0.09176327288150787,0.04007720947265625,1.0214204788208008,0.052880432456731796,0.14923858642578125
A1,130,0.10639036446809769,True,25.593292236328125,0.848555862903595,0.8559746146202087,0.32353055477142334,0.9369516372680664,0.09117607027292252,0.039591193199157715,1.002203106880188,0.05252118781208992,0.1477203369140625
A1,140,0.10585411638021469,True,25.64354705810547,0.8472899198532104,0.8566155433654785,0.32499775290489197,0.9372535943984985,0.09072522819042206,0.039503276348114014,0.9857960343360901,0.05221820995211601,0.14651870727539062
A1,150,0.10544253140687943,True,25.685117721557617,0.8453838229179382,0.8571507930755615,0.32622581720352173,0.9374837279319763,0.09038335084915161,0.03949427604675293,0.9724263548851013,0.05196888744831085,0.145599365234375
A1,160,0.10505703091621399,True,25.720624923706055,0.8431015014648438,0.8575938940048218,0.3272605240345001,0.9376881718635559,0.09005479514598846,0.039441704750061035,0.9612210392951965,0.051756855100393295,0.14473089575767517
A1,170,0.10473505407571793,True,25.751893997192383,0.8384717702865601,0.8579594492912292,0.32811567187309265,0.9378355741500854,0.08978095650672913,0.03949379920959473,0.9515141844749451,0.05157087370753288,0.14400355517864227
A1,180,0.10717771202325821,True,25.691177368164062,0.8425508737564087,0.8577159643173218,0.3263914883136749,0.9375844597816467,0.09213173389434814,0.040457725524902344,0.969675600528717,0.051932625472545624,0.14501063525676727
A1,190,0.10739177465438843,True,25.718673706054688,0.8429902791976929,0.8580702543258667,0.32729172706604004,0.9375888109207153,0.09238988161087036,0.03948259353637695,0.9607399702072144,0.051768481731414795,0.14422480762004852
A1,200,0.12241634726524353,False,25.784591674804688,0.845391035079956,0.8585412502288818,0.32945919036865234,0.9377116560935974,0.09228099882602692,0.04083836078643799,0.9347739815711975,0.05137709900736809,0.14262518286705017
A2,0,0.10473505407571793,True,25.751893997192383,0.8384717702865601,0.8579594492912292,0.32811567187309265,0.9378355741500854,0.08978095650672913,0.03949379920959473,0.9515141844749451,0.05157087370753288,0.14400355517864227
A2,5,0.1062774583697319,True,25.626869201660156,0.854716956615448,0.8577141761779785,0.32436224818229675,0.9374832510948181,0.09111057221889496,0.039737045764923096,1.0155137777328491,0.05231856554746628,0.1466623991727829
A2,10,0.10636826604604721,True,25.554683685302734,0.8572641611099243,0.8563126921653748,0.3214617669582367,0.9371307492256165,0.09104316681623459,0.040515899658203125,1.0431289672851562,0.05275518447160721,0.148681640625
A2,15,0.10506636649370193,True,25.73647689819336,0.8470042943954468,0.858721137046814,0.32723209261894226,0.9379371404647827,0.09006617963314056,0.040697455406188965,0.9831851124763489,0.05166250094771385,0.14426931738853455
A2,20,0.1052229180932045,True,25.707780838012695,0.8442702293395996,0.8579167127609253,0.3264164328575134,0.9377890825271606,0.09015651047229767,0.040207743644714355,1.0003376007080078,0.05183345824480057,0.14512889087200165
A2,25,0.10503730922937393,True,25.64410400390625,0.8534400463104248,0.8568695783615112,0.3244251310825348,0.9375114440917969,0.08985129743814468,0.04038739204406738,1.0213152170181274,0.0522148497402668,0.1465250700712204
A2,30,0.10476163029670715,True,25.73394775390625,0.8556262254714966,0.8586320281028748,0.32720357179641724,0.9378640651702881,0.08976178616285324,0.040308237075805664,0.9832221865653992,0.05167753994464874,0.14417266845703125
A2,35,0.10435986518859863,True,25.806575775146484,0.8482111692428589,0.8593949675559998,0.32963451743125916,0.9380841851234436,0.08948901295661926,0.04031074047088623,0.9595040082931519,0.05124723166227341,0.14259974658489227
A2,40,0.1043621301651001,True,25.77141761779785,0.8435121774673462,0.858672022819519,0.3285325765609741,0.937979519367218,0.08943260461091995,0.04004347324371338,0.976325273513794,0.05145508050918579,0.1435496062040329
A2,45,0.10495863109827042,True,25.58254623413086,0.8505150675773621,0.8562592267990112,0.3224426507949829,0.937258780002594,0.08969415724277496,0.03980684280395508,1.0435960292816162,0.052586209028959274,0.14808909595012665
A2,50,0.10448253899812698,True,25.78829002380371,0.8515883684158325,0.8595392107963562,0.32907718420028687,0.9380767345428467,0.08959868550300598,0.04064035415649414,0.9585119485855103,0.051355231553316116,0.14295324683189392
A2,55,0.10438454151153564,True,25.658214569091797,0.8485168814659119,0.8573240637779236,0.3247902989387512,0.937598466873169,0.08926263451576233,0.03975939750671387,1.0199156999588013,0.05213009938597679,0.1461537778377533
A2,60,0.10406907647848129,True,25.70815658569336,0.8500183820724487,0.8582785129547119,0.32651084661483765,0.9378120303153992,0.08904528617858887,0.040073275566101074,0.9991475343704224,0.05183123052120209,0.14490509033203125
A2,65,0.10404635220766068,True,25.719099044799805,0.8529255986213684,0.858561635017395,0.3268795907497406,0.9378431439399719,0.08904458582401276,0.04035782814025879,0.9938822388648987,0.05176595225930214,0.14461517333984375
A2,70,0.10402236878871918,True,25.742061614990234,0.8514247536659241,0.8589317202568054,0.3275330364704132,0.9379135370254517,0.08905482292175293,0.040281474590301514,0.9892241954803467,0.051629289984703064,0.14405569434165955
A2,75,0.10402318090200424,True,25.74480438232422,0.8508870601654053,0.8588598966598511,0.32754674553871155,0.9379223585128784,0.08904809504747391,0.04042220115661621,0.9920994639396667,0.0516129769384861,0.14403152465820312
A2,80,0.1040501669049263,True,25.727033615112305,0.852196455001831,0.8586675524711609,0.3269021213054657,0.9378610849380493,0.0890398845076561,0.040395915508270264,0.999281644821167,0.05171869322657585,0.14456304907798767
A2,85,0.10405320674180984,True,25.778274536132812,0.8524883985519409,0.8593767881393433,0.32844486832618713,0.9380309581756592,0.08912700414657593,0.04075217247009277,0.980364978313446,0.051414474844932556,0.1432851254940033
A2,90,0.10421047359704971,True,25.723478317260742,0.8521901369094849,0.8585906028747559,0.32651710510253906,0.9378187656402588,0.08917199075222015,0.040522217750549316,1.0052385330200195,0.05173986405134201,0.14472326636314392
A2,95,0.10406986624002457,True,25.793867111206055,0.8507881760597229,0.8595114946365356,0.32882148027420044,0.9380736351013184,0.08915672451257706,0.04087251424789429,0.9788861870765686,0.051322273910045624,0.14301936328411102
A2,100,0.10426773875951767,True,25.698379516601562,0.8530927896499634,0.8581611514091492,0.32565978169441223,0.9377126693725586,0.08917593955993652,0.04049944877624512,1.016021490097046,0.051889583468437195,0.14539337158203125
A2,105,0.10411165654659271,True,25.75984001159668,0.8527530431747437,0.8591305613517761,0.32762718200683594,0.937949538230896,0.08913688361644745,0.040674448013305664,0.9922648072242737,0.05152372270822525,0.14383570849895477
A2,110,0.10456958413124084,True,25.630224227905273,0.8540829420089722,0.8571312427520752,0.32347145676612854,0.9373945593833923,0.08934512734413147,0.04034566879272461,1.0434963703155518,0.05229836329817772,0.14706675708293915
A2,115,0.10401229560375214,True,25.823259353637695,0.850723147392273,0.8600418567657471,0.32986095547676086,0.9381529092788696,0.0891607403755188,0.04101395606994629,0.9673070907592773,0.05114889517426491,0.1424102783203125
A2,120,0.10392846167087555,True,25.748306274414062,0.8514063358306885,0.8589072227478027,0.3273673951625824,0.9378950595855713,0.08894975483417511,0.04032421112060547,0.9986878037452698,0.05159218981862068,0.14419302344322205
A2,125,0.1099020391702652,False,25.596881866455078,0.854866623878479,0.856695294380188,0.32251259684562683,0.9372427463531494,0.08935270458459854,0.040094614028930664,1.0552897453308105,0.05249950289726257,0.14779917895793915
A2,130,0.10825231671333313,False,25.870723724365234,0.8498514890670776,0.8607507944107056,0.331596314907074,0.9382606148719788,0.08922334760427475,0.0412524938583374,0.9457303285598755,0.050870154052972794,0.1412099301815033
A2,135,0.10377772152423859,True,25.745712280273438,0.8504648804664612,0.8589479327201843,0.3273012340068817,0.9378972053527832,0.08880685269832611,0.04018533229827881,0.999859631061554,0.05160760506987572,0.1442362517118454
A2,140,0.10403323173522949,True,25.664995193481445,0.8531814813613892,0.85780930519104,0.3246888518333435,0.9375836253166199,0.08891910314559937,0.0400620698928833,1.0297393798828125,0.052089426666498184,0.14617538452148438
A2,145,0.10403260588645935,True,25.631813049316406,0.8565284013748169,0.8575891256332397,0.32366132736206055,0.93747478723526,0.08886487782001495,0.04023087024688721,1.0383896827697754,0.05228877812623978,0.14684805274009705
A2,150,0.10389339178800583,True,25.64436149597168,0.8562344908714294,0.8578206896781921,0.324165016412735,0.9375435709953308,0.08875399827957153,0.04020082950592041,1.0343276262283325,0.05221329629421234,0.14648056030273438
A2,155,0.10374987870454788,True,25.67418670654297,0.8555364608764648,0.8582215309143066,0.3253079652786255,0.9376617074012756,0.08867166936397552,0.04014933109283447,1.0247371196746826,0.05203431844711304,0.14577357470989227
A2,160,0.10360977798700333,True,25.70270538330078,0.856095552444458,0.8586875200271606,0.3263852000236511,0.9377678632736206,0.08859078586101532,0.040201544761657715,1.0138211250305176,0.05186375603079796,0.14508184790611267
