image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size,prompt_idx,prompt_split,eval_prompt,eval_strength,strength_split,edit_lpips,edit_psnr,ctrl_lpips,net_lpips
dog_00,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11506.6,6.75,512.0,349.6666666666667,192.33333333333334,,,,0.4872194528579712,0.4796845316886902,0.007534925825893879,0.020315472036600113,49.69789505004883,0.07406619191169739,49.69789505004883,0.07406619191169739,0.9993671774864197,0.007534925825893879,0.08612123131752014,1.1710824966430664,0.3006390631198883,0.2421981245279312,32,0,train,a cat sitting on the grass,0.5,train,0.015722621232271194,42.11847686767578,0.0,0.015722621232271194
dog_00,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11506.6,6.75,512.0,349.6666666666667,192.33333333333334,,,,0.4872194528579712,0.4796845316886902,0.007534925825893879,0.020315472036600113,49.69789505004883,0.07406619191169739,49.69789505004883,0.07406619191169739,0.9993671774864197,0.007534925825893879,0.08612123131752014,1.1710824966430664,0.3006390631198883,0.2421981245279312,32,0,train,a cat sitting on the grass,0.7,heldout,0.011934390291571617,44.32099914550781,0.0,0.011934390291571617
dog_00,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11506.6,6.75,512.0,349.6666666666667,192.33333333333334,,,,0.4872194528579712,0.4796845316886902,0.007534925825893879,0.020315472036600113,49.69789505004883,0.07406619191169739,49.69789505004883,0.07406619191169739,0.9993671774864197,0.007534925825893879,0.08612123131752014,1.1710824966430664,0.3006390631198883,0.2421981245279312,32,1,heldout,a dog under heavy rain at night,0.3,heldout,0.017066139727830887,42.29094696044922,0.0,0.017066139727830887
dog_00,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11506.6,6.75,512.0,349.6666666666667,192.33333333333334,,,,0.4872194528579712,0.4796845316886902,0.007534925825893879,0.020315472036600113,49.69789505004883,0.07406619191169739,49.69789505004883,0.07406619191169739,0.9993671774864197,0.007534925825893879,0.08612123131752014,1.1710824966430664,0.3006390631198883,0.2421981245279312,32,1,heldout,a dog under heavy rain at night,0.5,train,0.014426340349018574,43.033897399902344,0.0,0.014426340349018574
dog_00,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11506.6,6.75,512.0,349.6666666666667,192.33333333333334,,,,0.4872194528579712,0.4796845316886902,0.007534925825893879,0.020315472036600113,49.69789505004883,0.07406619191169739,49.69789505004883,0.07406619191169739,0.9993671774864197,0.007534925825893879,0.08612123131752014,1.1710824966430664,0.3006390631198883,0.2421981245279312,32,1,heldout,a dog under heavy rain at night,0.7,heldout,0.014803135767579079,43.8084831237793,0.0,0.014803135767579079
dog_01,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11505.1,3.39,512.0,341.3333333333333,182.66666666666666,,,,0.44173023104667664,0.42937350273132324,0.012356730177998543,0.07062651216983795,49.030067443847656,0.14730338752269745,49.030067443847656,0.14730338752269745,0.9993268847465515,0.012356730177998543,0.1268387734889984,1.5084905624389648,0.7029872536659241,0.32694751024246216,32,0,train,a cat sitting on the grass,0.3,heldout,0.035665616393089294,38.85197448730469,0.0,0.035665616393089294
dog_01,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11505.1,3.39,512.0,341.3333333333333,182.66666666666666,,,,0.44173023104667664,0.42937350273132324,0.012356730177998543,0.07062651216983795,49.030067443847656,0.14730338752269745,49.030067443847656,0.14730338752269745,0.9993268847465515,0.012356730177998543,0.1268387734889984,1.5084905624389648,0.7029872536659241,0.32694751024246216,32,0,train,a cat sitting on the grass,0.5,train,0.03167358413338661,39.40922927856445,0.0,0.03167358413338661
dog_01,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11505.1,3.39,512.0,341.3333333333333,182.66666666666666,,,,0.44173023104667664,0.42937350273132324,0.012356730177998543,0.07062651216983795,49.030067443847656,0.14730338752269745,49.030067443847656,0.14730338752269745,0.9993268847465515,0.012356730177998543,0.1268387734889984,1.5084905624389648,0.7029872536659241,0.32694751024246216,32,0,train,a cat sitting on the grass,0.7,heldout,0.05547763779759407,36.66172409057617,0.0,0.05547763779759407
dog_01,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11505.1,3.39,512.0,341.3333333333333,182.66666666666666,,,,0.44173023104667664,0.42937350273132324,0.012356730177998543,0.07062651216983795,49.030067443847656,0.14730338752269745,49.030067443847656,0.14730338752269745,0.9993268847465515,0.012356730177998543,0.1268387734889984,1.5084905624389648,0.7029872536659241,0.32694751024246216,32,1,heldout,a dog under heavy rain at night,0.3,heldout,0.037088457494974136,38.26512908935547,0.0,0.037088457494974136
dog_01,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11505.1,3.39,512.0,341.3333333333333,182.66666666666666,,,,0.44173023104667664,0.42937350273132324,0.012356730177998543,0.07062651216983795,49.030067443847656,0.14730338752269745,49.030067443847656,0.14730338752269745,0.9993268847465515,0.012356730177998543,0.1268387734889984,1.5084905624389648,0.7029872536659241,0.32694751024246216,32,1,heldout,a dog under heavy rain at night,0.5,train,0.02359292469918728,41.179039001464844,0.0,0.02359292469918728
dog_01,S,32,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11505.1,3.39,512.0,341.3333333333333,182.66666666666666,,,,0.44173023104667664,0.42937350273132324,0.012356730177998543,0.07062651216983795,49.030067443847656,0.14730338752269745,49.030067443847656,0.14730338752269745,0.9993268847465515,0.012356730177998543,0.1268387734889984,1.5084905624389648,0.7029872536659241,0.32694751024246216,32,1,heldout,a dog under heavy rain at night,0.7,heldout,0.02734067291021347,39.51603698730469,0.0,0.02734067291021347
person_00,S,32,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11506.6,4.37,512.0,324.0,152.0,,,,0.38502398133277893,0.3618677854537964,0.0231561828404665,0.13813219964504242,44.33895492553711,0.11439254879951477,44.33895492553711,0.11439254879951477,0.9973685145378113,0.0231561828404665,0.2682226896286011,2.1213202476501465,1.0880074501037598,0.6630898118019104,32,0,train,an elderly person with gray hair,0.3,heldout,0.03773439675569534,41.085662841796875,0.0,0.03773439675569534
person_00,S,32,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11506.6,4.37,512.0,324.0,152.0,,,,0.38502398133277893,0.3618677854537964,0.0231561828404665,0.13813219964504242,44.33895492553711,0.11439254879951477,44.33895492553711,0.11439254879951477,0.9973685145378113,0.0231561828404665,0.2682226896286011,2.1213202476501465,1.0880074501037598,0.6630898118019104,32,0,train,an elderly person with gray hair,0.5,train,0.041635919362306595,39.57516860961914,0.0,0.041635919362306595
person_00,S,32,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11506.6,4.37,512.0,324.0,152.0,,,,0.38502398133277893,0.3618677854537964,0.0231561828404665,0.13813219964504242,44.33895492553711,0.11439254879951477,44.33895492553711,0.11439254879951477,0.9973685145378113,0.0231561828404665,0.2682226896286011,2.1213202476501465,1.0880074501037598,0.6630898118019104,32,0,train,an elderly person with gray hair,0.7,heldout,0.04136195033788681,36.98591613769531,0.0,0.04136195033788681
person_00,S,32,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11506.6,4.37,512.0,324.0,152.0,,,,0.38502398133277893,0.3618677854537964,0.0231561828404665,0.13813219964504242,44.33895492553711,0.11439254879951477,44.33895492553711,0.11439254879951477,0.9973685145378113,0.0231561828404665,0.2682226896286011,2.1213202476501465,1.0880074501037598,0.6630898118019104,32,1,heldout,a person standing in a burning room,0.3,heldout,0.03820011392235756,41.17632293701172,0.0,0.03820011392235756
person_00,S,32,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11506.6,4.37,512.0,324.0,152.0,,,,0.38502398133277893,0.3618677854537964,0.0231561828404665,0.13813219964504242,44.33895492553711,0.11439254879951477,44.33895492553711,0.11439254879951477,0.9973685145378113,0.0231561828404665,0.2682226896286011,2.1213202476501465,1.0880074501037598,0.6630898118019104,32,1,heldout,a person standing in a burning room,0.5,train,0.037274815142154694,39.53682327270508,0.0,0.037274815142154694
person_00,S,32,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11506.6,4.37,512.0,324.0,152.0,,,,0.38502398133277893,0.3618677854537964,0.0231561828404665,0.13813219964504242,44.33895492553711,0.11439254879951477,44.33895492553711,0.11439254879951477,0.9973685145378113,0.0231561828404665,0.2682226896286011,2.1213202476501465,1.0880074501037598,0.6630898118019104,32,1,heldout,a person standing in a burning room,0.7,heldout,0.058084189891815186,34.460350036621094,0.0,0.058084189891815186
person_01,S,32,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11505.1,2.31,512.0,348.0,188.0,,,,0.3589382469654083,0.3394935429096222,0.019444700330495834,0.1605064570903778,47.66893005371094,0.21668162941932678,47.66893005371094,0.21668162941932678,0.998208224773407,0.019444700330495834,0.2325744479894638,1.5828335285186768,1.0565941333770752,0.5408738851547241,32,0,train,an elderly person with gray hair,0.3,heldout,0.03375692665576935,39.87562561035156,0.0,0.03375692665576935
person_01,S,32,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11505.1,2.31,512.0,348.0,188.0,,,,0.3589382469654083,0.3394935429096222,0.019444700330495834,0.1605064570903778,47.66893005371094,0.21668162941932678,47.66893005371094,0.21668162941932678,0.998208224773407,0.019444700330495834,0.2325744479894638,1.5828335285186768,1.0565941333770752,0.5408738851547241,32,0,train,an elderly person with gray hair,0.5,train,0.061664413660764694,38.15100860595703,0.0,0.061664413660764694
person_01,S,32,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11505.1,2.31,512.0,348.0,188.0,,,,0.3589382469654083,0.3394935429096222,0.019444700330495834,0.1605064570903778,47.66893005371094,0.21668162941932678,47.66893005371094,0.21668162941932678,0.998208224773407,0.019444700330495834,0.2325744479894638,1.5828335285186768,1.0565941333770752,0.5408738851547241,32,0,train,an elderly person with gray hair,0.7,heldout,0.07529948651790619,38.009368896484375,0.0,0.07529948651790619
person_01,S,32,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11505.1,2.31,512.0,348.0,188.0,,,,0.3589382469654083,0.3394935429096222,0.019444700330495834,0.1605064570903778,47.66893005371094,0.21668162941932678,47.66893005371094,0.21668162941932678,0.998208224773407,0.019444700330495834,0.2325744479894638,1.5828335285186768,1.0565941333770752,0.5408738851547241,32,1,heldout,a person standing in a burning room,0.3,heldout,0.037016164511442184,39.796653747558594,0.0,0.037016164511442184
person_01,S,32,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11505.1,2.31,512.0,348.0,188.0,,,,0.3589382469654083,0.3394935429096222,0.019444700330495834,0.1605064570903778,47.66893005371094,0.21668162941932678,47.66893005371094,0.21668162941932678,0.998208224773407,0.019444700330495834,0.2325744479894638,1.5828335285186768,1.0565941333770752,0.5408738851547241,32,1,heldout,a person standing in a burning room,0.5,train,0.04591070115566254,38.682674407958984,0.0,0.04591070115566254
person_01,S,32,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11505.1,2.31,512.0,348.0,188.0,,,,0.3589382469654083,0.3394935429096222,0.019444700330495834,0.1605064570903778,47.66893005371094,0.21668162941932678,47.66893005371094,0.21668162941932678,0.998208224773407,0.019444700330495834,0.2325744479894638,1.5828335285186768,1.0565941333770752,0.5408738851547241,32,1,heldout,a person standing in a burning room,0.7,heldout,0.04275469481945038,39.46421813964844,0.0,0.04275469481945038
