image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_acutance_ratio,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,defimg_acutance_ratio,ctrl_lpips,ctrl_psnr,net_lpips
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,identity,0.0,train,0.0,27.427825927734375,0.7796616554260254,0.9556945562362671,0.055646248161792755,0.03129464387893677,0.9164493680000305,4.215788341561983,4.0253682108695426,0.2232273519039154,0.05863351374864578,0.21890239417552948,0.05238261818885803,43.28758239746094,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.001692056655883789,0.9579780101776123,0.0,80.0,0.055646248161792755
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,blur,0.0,heldout,0.0,31.912216186523438,0.6682775020599365,0.9809648394584656,0.027047276496887207,0.022106409072875977,0.924140989780426,3.607388867230174,3.370468447829647,0.21795710921287537,0.04843774065375328,0.21865051984786987,0.037898190319538116,43.28758239746094,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.001692056655883789,0.9579780101776123,0.0,80.0,0.027047276496887207
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,blur,0.5,heldout,0.0,27.02976417541504,0.6619381904602051,0.9366350173950195,0.09033194184303284,0.05512267351150513,0.6966113448143005,3.607388867230174,2.940528333182417,0.21795710921287537,0.04843774065375328,0.21650764346122742,0.021168900653719902,30.70748519897461,0.2972832918167114,0.9902899265289307,0.033967841416597366,0.015932679176330566,0.686802864074707,0.07280343770980835,27.877161026000977,0.017528504133224487
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,blur,1.0,heldout,0.0,22.839611053466797,0.7522678375244141,0.810443103313446,0.3134254217147827,0.12753546237945557,0.3827207684516907,3.607388867230174,4.15979830908885,0.21795710921287537,0.04843774065375328,0.21897698938846588,0.00492398627102375,23.158897399902344,0.6145395040512085,0.9153522849082947,0.2147766351699829,0.0867774486541748,0.30986347794532776,0.3081440329551697,22.882883071899414,0.005281388759613037
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,blur,1.5,heldout,0.0,21.61414337158203,0.7497272491455078,0.731876790523529,0.4395690858364105,0.18832367658615112,0.24306875467300415,3.607388867230174,6.237658797356331,0.21795710921287537,0.04843774065375328,0.22018681466579437,0.038019318133592606,21.263675689697266,0.7416009902954102,0.8226308226585388,0.33728912472724915,0.16497212648391724,0.1723230928182602,0.4379340708255768,21.619068145751953,0.0016350150108337402
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,blur,2.0,heldout,0.0,20.96259880065918,0.7360343933105469,0.6728266477584839,0.5108065605163574,0.2296391725540161,0.16241440176963806,3.607388867230174,7.5412297395999985,0.21795710921287537,0.04843774065375328,0.2130242884159088,0.021740976721048355,20.27810287475586,0.7993326783180237,0.7383862733840942,0.4216400384902954,0.2076878547668457,0.11022622138261795,0.5099867582321167,20.968475341796875,0.0008198022842407227
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,blur,3.0,heldout,0.0,20.020923614501953,0.7731920480728149,0.5783984065055847,0.5858206748962402,0.28301239013671875,0.08730823546648026,3.607388867230174,9.243740186033248,0.21795710921287537,0.04843774065375328,0.21005640923976898,0.026667946949601173,19.132898330688477,0.8400796055793762,0.606702446937561,0.5309889316558838,0.2600744962692261,0.05760008841753006,0.5855351686477661,20.02093505859375,0.0002855062484741211
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,jpeg,95,heldout,0.0,28.58748435974121,0.767795205116272,0.9604942202568054,0.05510839819908142,0.04324620962142944,0.9169182777404785,3.607388867230174,3.3819203325340896,0.21795710921287537,0.04843774065375328,0.21673943102359772,0.02782035619020462,34.610103607177734,0.3333333730697632,0.9916612505912781,0.024435807019472122,0.005912423133850098,0.9559181332588196,0.04655233025550842,29.74864959716797,0.008556067943572998
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,jpeg,85,heldout,0.0,25.727502822875977,0.7913880348205566,0.9193414449691772,0.10273943841457367,0.054340362548828125,0.997653067111969,3.607388867230174,3.435415017773179,0.21795710921287537,0.04843774065375328,0.22759127616882324,0.03200746700167656,31.44326400756836,0.3607843220233917,0.9821292757987976,0.06785564124584198,0.008947968482971191,0.9572850465774536,0.08944735676050186,26.51421546936035,0.013292081654071808
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,jpeg,75,heldout,0.0,24.136917114257812,0.8504149913787842,0.8904762268066406,0.13343927264213562,0.07257670164108276,1.0720804929733276,3.607388867230174,3.403742236379175,0.21795710921287537,0.04843774065375328,0.2231617271900177,0.03168324753642082,29.45174217224121,0.4784314036369324,0.9738339185714722,0.1045721173286438,0.017244935035705566,0.9579066634178162,0.1362108737230301,24.49603843688965,-0.00277160108089447
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,jpeg,60,heldout,0.0,23.19169044494629,0.8603655099868774,0.8606032133102417,0.17097556591033936,0.08864939212799072,1.1009129285812378,3.607388867230174,2.96293730374842,0.21795710921287537,0.04843774065375328,0.22627989947795868,0.04076924920082092,27.71274757385254,0.5411764979362488,0.9635725021362305,0.14801710844039917,0.025370419025421143,0.9552389979362488,0.15937384963035583,23.30567169189453,0.01160171627998352
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,jpeg,45,heldout,0.0,23.12828826904297,0.82293701171875,0.8576494455337524,0.18609032034873962,0.08539599180221558,0.977236807346344,3.607388867230174,2.612121157379839,0.21795710921287537,0.04843774065375328,0.21840232610702515,0.03337039798498154,26.626354217529297,0.572549045085907,0.9542939066886902,0.18126925826072693,0.034081220626831055,0.949540913105011,0.18372881412506104,22.8984432220459,0.002361506223678589
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,jpeg,30,heldout,0.0,22.971832275390625,0.7986525893211365,0.838822066783905,0.2193840742111206,0.10537713766098022,0.9109479784965515,3.607388867230174,1.9043404246331024,0.21795710921287537,0.04843774065375328,0.21772536635398865,0.03454936295747757,25.420177459716797,0.5607843399047852,0.9386143684387207,0.22428539395332336,0.05046778917312622,0.9371781349182129,0.217988058924675,22.87649917602539,0.0013960152864456177
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.7,rotate,0,0.0,,,10146.0,1.78,512.0,351.3333333333333,199.0,,,,0.652120053768158,0.44435375928878784,0.20776627957820892,0.055646248161792755,43.28850555419922,0.28105220198631287,43.28850555419922,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.07763703167438507,1.9281609058380127,0.6038801670074463,0.20200827717781067,32,noise,0.0,heldout,0.0,31.912216186523438,0.6682775020599365,0.9809648394584656,0.027047276496887207,0.022106409072875977,0.924140989780426,3.607388867230174,3.370468447829647,0.21795710921287537,0.04843774065375328,0.21865051984786987,0.037898190319538116,43.28758239746094,0.28105220198631287,0.9991748332977295,0.0029341797344386578,0.001692056655883789,0.9579780101776123,0.0,80.0,0.027047276496887207
