loss,L_def,L_fid,defense_mode,edit_shift,attn_masked_l1,attn_ref_l1,attn_suppressed,attn_suppressed_rel,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,step,stage,stage_step,lr,grad_norm
237.399658203125,237.399658203125,0.0,suppress_attn_ca,nan,237.399658203125,236.25338745117188,-1.146270751953125,-0.004851870122666633,0.0,0.0,9.999999974752427e-07,0.0,0.7285206913948059,25.222827911376953,0.14459644258022308,0.0,0.8399187922477722,0.0,120.0,0.0,0.0,0.0,0,stage2,0,0.02,0.9999998211860657
231.8314208984375,231.8314208984375,0.0,suppress_attn_ca,nan,231.8314208984375,236.25338745117188,4.421966552734375,0.018717050368847275,0.009594084694981575,0.0,0.0395609512925148,0.0,0.7286583781242371,25.208969116210938,0.14480924606323242,0.0030910612549632788,0.8397840261459351,0.19539406895637512,44.98289108276367,0.13539406657218933,0.0,0.0,1,stage2,1,0.02,0.9999999403953552
222.45928955078125,222.45928955078125,0.0,suppress_attn_ca,nan,222.45928955078125,236.25338745117188,13.794097900390625,0.05838687880503532,0.03292126581072807,0.0,0.12964189052581787,0.0,0.7409945130348206,25.13448715209961,0.14640361070632935,0.01442322600632906,0.8377019762992859,0.33782511949539185,37.099849700927734,0.27782511711120605,0.0,0.0,2,stage2,2,0.02,0.9999999403953552
212.282958984375,212.282958984375,0.0,suppress_attn_ca,nan,212.282958984375,236.25338745117188,23.970428466796875,0.1014606762908363,0.06846340000629425,0.0,0.2722935378551483,0.0,0.8157060146331787,24.923851013183594,0.15180373191833496,0.033369794487953186,0.8321183919906616,0.6755181550979614,32.784523010253906,0.6155181527137756,0.0,1.2154769897460938,3,stage2,3,0.02,0.9999999403953552
200.79110717773438,200.79110717773438,0.0,suppress_attn_ca,nan,200.79110717773438,236.25338745117188,35.4622802734375,0.15010273781054986,0.10513608157634735,0.0,0.45309311151504517,0.0,0.833221971988678,24.64865493774414,0.16292864084243774,0.0589226558804512,0.822978675365448,0.7548338174819946,30.259096145629883,0.6948338150978088,0.0,3.740903854370117,4,stage2,4,0.02,1.0
191.1640625,191.1640625,0.0,suppress_attn_ca,nan,191.1640625,236.25338745117188,45.089324951171875,0.19085154899838547,0.14467643201351166,0.0,0.668910801410675,0.0,0.8230423331260681,24.319995880126953,0.18153497576713562,0.09157183766365051,0.8110553622245789,0.7865359783172607,28.49643898010254,0.726535975933075,0.0,5.503561019897461,5,stage2,5,0.02,0.9999999403953552
183.7340545654297,181.1707000732422,2.563358783721924,suppress_attn_ca,nan,181.1707000732422,236.25338745117188,55.08268737792969,0.23315088927270516,0.185633584856987,0.025633588433265686,0.9191855788230896,0.0,0.8012606501579285,23.93669891357422,0.20547139644622803,0.12806525826454163,0.7954437136650085,0.7932015657424927,27.097633361816406,0.7332015633583069,0.0,6.902366638183594,6,stage2,6,0.02,0.9999998807907104
171.74337768554688,170.00091552734375,1.7424583435058594,suppress_attn_ca,nan,170.00091552734375,236.25338745117188,66.25247192382812,0.28042972267443567,0.1774245798587799,0.017424583435058594,1.173996925354004,0.0,0.7943868041038513,23.680917739868164,0.2297452688217163,0.16271419823169708,0.7817217111587524,0.7806576490402222,26.226699829101562,0.7206576466560364,0.0,7.7733001708984375,7,stage2,7,0.02,1.0
159.9552459716797,159.9552459716797,0.0,suppress_attn_ca,nan,159.9552459716797,236.25338745117188,76.29814147949219,0.32295046561083174,0.1570841372013092,0.0,1.4557819366455078,0.0,0.7919908761978149,23.44455909729004,0.25416821241378784,0.1952463835477829,0.7681936025619507,0.7554633617401123,25.552589416503906,0.6954633593559265,0.0,8.447410583496094,8,stage2,8,0.02,0.9999998211860657
154.04177856445312,149.92343139648438,4.118348598480225,suppress_attn_ca,nan,149.92343139648438,236.25338745117188,86.3299560546875,0.3654125639681247,0.17111265659332275,0.01111266016960144,1.8014458417892456,0.0,0.806480884552002,23.06145668029785,0.28187161684036255,0.2300708293914795,0.75030517578125,0.7728705406188965,24.760360717773438,0.7128705382347107,0.030070826411247253,9.239639282226562,9,stage2,9,0.02,1.0
147.2861785888672,141.29306030273438,5.9931206703186035,suppress_attn_ca,nan,141.29306030273438,236.25338745117188,94.9603271484375,0.4019427114799089,0.16605746746063232,0.006057471036911011,2.1489291191101074,0.0,0.837161660194397,22.715518951416016,0.300883948802948,0.253873735666275,0.7340900301933289,0.7603058815002441,24.152793884277344,0.7003058791160583,0.053873732686042786,9.847206115722656,10,stage2,10,0.02,0.9999999403953552
140.174072265625,133.40872192382812,6.765352249145508,suppress_attn_ca,nan,133.40872192382812,236.25338745117188,102.84466552734375,0.4353150938358476,0.14222924411296844,0.0,2.460109233856201,0.0,0.8242025375366211,22.445560455322266,0.31142306327819824,0.26765352487564087,0.7213829755783081,0.7206806540489197,23.71780014038086,0.6606806516647339,0.06765352189540863,10.28219985961914,11,stage2,11,0.02,0.9999998211860657
130.3292694091797,122.49066162109375,7.838602542877197,suppress_attn_ca,nan,122.49066162109375,236.25338745117188,113.76272583007812,0.48152844307297077,0.1499117612838745,0.0,2.759197950363159,0.0,0.8460578918457031,22.14645767211914,0.3193691074848175,0.27838602662086487,0.708509624004364,0.7206806540489197,23.271875381469727,0.6606806516647339,0.07838602364063263,10.728124618530273,12,stage2,12,0.02,0.9999998807907104
125.36048889160156,114.81969451904297,10.540792465209961,suppress_attn_ca,nan,114.81969451904297,236.25338745117188,121.4336929321289,0.5139976795347599,0.17628343403339386,0.016283437609672546,3.0734527111053467,0.0,0.8893932104110718,21.78655242919922,0.32761406898498535,0.2891244888305664,0.6939110159873962,0.7492790222167969,22.772506713867188,0.6892790198326111,0.08912448585033417,11.227493286132812,13,stage2,13,0.02,0.9999999403953552
131.72576904296875,109.26194763183594,22.463825225830078,suppress_attn_ca,nan,109.26194763183594,236.25338745117188,126.99143981933594,0.5375221967794309,0.16838106513023376,0.008381068706512451,3.3214962482452393,0.12149620056152344,0.8977051377296448,21.56243324279785,0.33181440830230713,0.29476097226142883,0.6855697631835938,0.7647004723548889,22.46250343322754,0.7047004699707031,0.0947609692811966,11.537496566772461,14,stage2,14,0.02,1.0
116.61873626708984,106.17919921875,10.439534187316895,suppress_attn_ca,nan,106.17919921875,236.25338745117188,130.07418823242188,0.5505706802164062,0.16681331396102905,0.006813317537307739,3.0085813999176025,0.0,0.8870928287506104,21.505863189697266,0.33384406566619873,0.2975820302963257,0.6820868253707886,0.7698075175285339,22.364791870117188,0.7098075151443481,0.09758202731609344,11.635208129882812,15,stage2,15,0.02,0.9999999403953552
111.91360473632812,102.3911361694336,9.522472381591797,suppress_attn_ca,nan,102.3911361694336,236.25338745117188,133.86225128173828,0.5666045796249356,0.14358189702033997,0.0,2.7774014472961426,0.0,0.8825797438621521,21.521141052246094,0.3316980004310608,0.29522472620010376,0.6822896003723145,0.7632335424423218,22.363073348999023,0.703233540058136,0.09522472321987152,11.636926651000977,16,stage2,16,0.02,1.0
107.38459014892578,98.28465270996094,9.09993839263916,suppress_attn_ca,nan,98.28465270996094,236.25338745117188,137.96873474121094,0.583986270968182,0.14464625716209412,0.0,2.652513027191162,0.0,0.8800798058509827,21.50700569152832,0.3284396827220917,0.2909993827342987,0.6824353933334351,0.7630466222763062,22.331588745117188,0.7030466198921204,0.09099937975406647,11.668411254882812,17,stage2,17,0.02,0.9999999403953552
102.54179382324219,93.75474548339844,8.787046432495117,suppress_attn_ca,nan,93.75474548339844,236.25338745117188,142.49864196777344,0.60316020652709,0.1523606777191162,0.0,2.6397433280944824,0.0,0.8796610236167908,21.44240379333496,0.32558196783065796,0.28787046670913696,0.6809120178222656,0.7891672253608704,22.240245819091797,0.7291672229766846,0.08787046372890472,11.759754180908203,18,stage2,18,0.02,0.9999998211860657
97.97220611572266,89.14030456542969,8.831899642944336,suppress_attn_ca,nan,89.14030456542969,236.25338745117188,147.1130828857422,0.6226919515223758,0.16386273503303528,0.003862738609313965,2.695225954055786,0.0,0.8763486742973328,21.34730339050293,0.32220375537872314,0.2844562530517578,0.6784496307373047,0.852253794670105,22.116270065307617,0.7922537922859192,0.08445625007152557,11.883729934692383,19,stage2,19,0.02,1.0
94.28766632080078,85.97265625,8.31501293182373,suppress_attn_ca,nan,85.97265625,236.25338745117188,150.28073120117188,0.6360997944727097,0.136488139629364,0.0,2.7605881690979004,0.0,0.8836917877197266,21.30718994140625,0.32088929414749146,0.2831501364707947,0.677508533000946,0.8588426113128662,22.062864303588867,0.7988426089286804,0.08315013349056244,11.937135696411133,20,stage2,20,0.02,0.9999998211860657
90.63058471679688,82.54505920410156,8.08552360534668,suppress_attn_ca,nan,82.54505920410156,236.25338745117188,153.7083282470703,0.6506079337331757,0.13574828207492828,0.0,2.828334093093872,0.0,0.902708888053894,21.251487731933594,0.3187318444252014,0.2808552384376526,0.6764918565750122,0.8649454712867737,21.98888397216797,0.8049454689025879,0.08085523545742035,12.011116027832031,21,stage2,21,0.02,0.9999998807907104
87.56790161132812,79.82241821289062,7.745484828948975,suppress_attn_ca,nan,79.82241821289062,236.25338745117188,156.43096923828125,0.662132174805798,0.14902961254119873,0.0,2.897592544555664,0.0,0.9102985858917236,21.18506622314453,0.3160521388053894,0.27745485305786133,0.6752228736877441,0.8702709674835205,21.90260124206543,0.8102709650993347,0.07745485007762909,12.09739875793457,22,stage2,22,0.02,0.9999999403953552
85.38795471191406,77.1097412109375,8.278210639953613,suppress_attn_ca,nan,77.1097412109375,236.25338745117188,159.14364624023438,0.6736142408672371,0.16609665751457214,0.00609666109085083,2.9650163650512695,0.0,0.9138015508651733,21.108644485473633,0.3155866861343384,0.2766854465007782,0.6731699705123901,0.8726630210876465,21.811254501342773,0.8126630187034607,0.07668544352054596,12.188745498657227,23,stage2,23,0.02,0.9999998211860657
82.89633178710938,75.13108825683594,7.7652411460876465,suppress_attn_ca,nan,75.13108825683594,236.25338745117188,161.12229919433594,0.6819893713804895,0.13528433442115784,0.0,3.0385260581970215,0.0,0.9168285727500916,21.128684997558594,0.3167027235031128,0.27765241265296936,0.6736209392547607,0.8780404329299927,21.82555389404297,0.8180404305458069,0.07765240967273712,12.174446105957031,24,stage2,24,0.02,0.9999998807907104
80.41012573242188,73.05674743652344,7.353381633758545,suppress_attn_ca,nan,73.05674743652344,236.25338745117188,163.19664001464844,0.6907695240914902,0.12827754020690918,0.0,3.091488838195801,0.0,0.9082959890365601,21.140966415405273,0.3133554458618164,0.27353382110595703,0.6744067668914795,0.8727498054504395,21.83645248413086,0.8127498030662537,0.07353381812572479,12.16354751586914,25,stage2,25,0.02,0.9999998211860657
77.76859283447266,71.16395568847656,6.6046342849731445,suppress_attn_ca,nan,71.16395568847656,236.25338745117188,165.0894317626953,0.6987812261393098,0.12603025138378143,0.0,3.1210103034973145,0.0,0.8921157717704773,21.161439895629883,0.3066589832305908,0.26604634523391724,0.6766831874847412,0.8636637926101685,21.863500595092773,0.8036637902259827,0.066046342253685,12.136499404907227,26,stage2,26,0.02,0.9999999403953552
75.28580474853516,69.38494873046875,5.900858402252197,suppress_attn_ca,nan,69.38494873046875,236.25338745117188,166.86843872070312,0.7063113063519184,0.12914618849754333,0.0,3.1313109397888184,0.0,0.8745079040527344,21.184852600097656,0.3005056083202362,0.25900858640670776,0.6791974902153015,0.8517184853553772,21.897066116333008,0.7917184829711914,0.059008583426475525,12.102933883666992,27,stage2,27,0.02,0.9999997615814209
72.76811981201172,67.55535888671875,5.212761402130127,suppress_attn_ca,nan,67.55535888671875,236.25338745117188,168.69802856445312,0.7140554909474859,0.13796812295913696,0.0,3.1363255977630615,0.0,0.8638738393783569,21.183761596679688,0.2950282096862793,0.25212761759757996,0.6806188821792603,0.8385097980499268,21.903438568115234,0.778509795665741,0.05212761461734772,12.096561431884766,28,stage2,28,0.02,0.9999999403953552
70.67518615722656,66.03398895263672,4.641194820404053,suppress_attn_ca,nan,66.03398895263672,236.25338745117188,170.21939849853516,0.7204950597109029,0.15167561173439026,0.0,3.142526626586914,0.0,0.8586464524269104,21.151824951171875,0.29068756103515625,0.24641194939613342,0.680841863155365,0.8308039903640747,21.873489379882812,0.7708039879798889,0.046411946415901184,12.126510620117188,29,stage2,29,0.02,0.9999998807907104
69.42633819580078,64.22384643554688,5.2024946212768555,suppress_attn_ca,nan,64.22384643554688,236.25338745117188,172.029541015625,0.7281569287601413,0.16887341439723969,0.008873417973518372,3.162205219268799,0.0,0.856521487236023,21.084949493408203,0.28816092014312744,0.24315153062343597,0.6796720027923584,0.8308039903640747,21.800012588500977,0.7708039879798889,0.043151527643203735,12.199987411499023,30,stage2,30,0.02,0.9999998211860657
67.64932250976562,63.373252868652344,4.276072978973389,suppress_attn_ca,nan,63.373252868652344,236.25338745117188,172.88013458251953,0.7317572731872464,0.14479666948318481,0.0,3.189931869506836,0.0,0.865891695022583,21.070110321044922,0.2876485586166382,0.24276073276996613,0.679823100566864,0.8385366201400757,21.784900665283203,0.7785366177558899,0.04276072978973389,12.215099334716797,31,stage2,31,0.02,0.9999998807907104
66.47579193115234,62.01031494140625,4.465475559234619,suppress_attn_ca,nan,62.01031494140625,236.25338745117188,174.24307250976562,0.7375262398968889,0.14293280243873596,0.0,3.205141544342041,0.005141496658325195,0.8702307343482971,21.043685913085938,0.284809410572052,0.23951326310634613,0.6797940135002136,0.8484232425689697,21.758419036865234,0.7884232401847839,0.03951326012611389,12.241580963134766,32,stage2,32,0.02,1.0
65.51612854003906,61.532405853271484,3.983722686767578,suppress_attn_ca,nan,61.532405853271484,236.25338745117188,174.7209815979004,0.739549106503335,0.15178662538528442,0.0,2.8629794120788574,0.0,0.8722695112228394,21.074018478393555,0.2845662236213684,0.23983722925186157,0.6787790060043335,0.8458385467529297,21.797712326049805,0.7858385443687439,0.039837226271629333,12.202287673950195,33,stage2,33,0.02,0.9999997615814209
64.99203491210938,60.72700119018555,4.265032768249512,suppress_attn_ca,nan,60.72700119018555,236.25338745117188,175.52638626098633,0.7429581778896761,0.1667652428150177,0.006765246391296387,2.6551215648651123,0.0,0.87406986951828,21.05941390991211,0.28111788630485535,0.23588508367538452,0.6778769493103027,0.8434029221534729,21.78546714782715,0.7834029197692871,0.03588508069515228,12.214532852172852,34,stage2,34,0.02,0.9999998807907104
63.465579986572266,59.99309539794922,3.4724831581115723,suppress_attn_ca,nan,59.99309539794922,236.25338745117188,176.26029205322266,0.7460646128921711,0.13604184985160828,0.0,2.5412328243255615,0.0,0.8691264390945435,21.115415573120117,0.2798708379268646,0.23472483456134796,0.6800276637077332,0.8489378094673157,21.845685958862305,0.7889378070831299,0.03472483158111572,12.154314041137695,35,stage2,35,0.02,0.9999998211860657
62.140708923339844,59.10224914550781,3.0384600162506104,suppress_attn_ca,nan,59.10224914550781,236.25338745117188,177.15113830566406,0.7498353366140713,0.12805214524269104,0.0,2.496314287185669,0.0,0.8657126426696777,21.127086639404297,0.27664241194725037,0.23038460314273834,0.6817746162414551,0.8556275963783264,21.85765838623047,0.7956275939941406,0.030384600162506104,12.142341613769531,36,stage2,36,0.02,0.9999998211860657
60.821590423583984,58.306678771972656,2.5149106979370117,suppress_attn_ca,nan,58.306678771972656,236.25338745117188,177.94670867919922,0.7532027819748265,0.13136066496372223,0.0,2.4932608604431152,0.0,0.8644088506698608,21.110431671142578,0.27271324396133423,0.22514910995960236,0.6832144260406494,0.863169252872467,21.8375301361084,0.8031692504882812,0.025149106979370117,12.162469863891602,37,stage2,37,0.02,0.9999998211860657
59.271480560302734,57.1803092956543,2.0911707878112793,suppress_attn_ca,nan,57.1803092956543,236.25338745117188,179.07307815551758,0.7579704151015734,0.13875077664852142,0.0,2.5133986473083496,0.0,0.8665114641189575,21.072301864624023,0.26946693658828735,0.22091171145439148,0.683830976486206,0.8646425008773804,21.79559898376465,0.8046424984931946,0.02091170847415924,12.204401016235352,38,stage2,38,0.02,0.9999998211860657
58.24003601074219,56.33568572998047,1.9043490886688232,suppress_attn_ca,nan,56.33568572998047,236.25338745117188,179.9177017211914,0.761545490044566,0.14762000739574432,0.0,2.544269561767578,0.0,0.9124609231948853,21.01789093017578,0.26787248253822327,0.21904349327087402,0.6833154559135437,0.8646425008773804,21.731367111206055,0.8046424984931946,0.019043490290641785,12.268632888793945,39,stage2,39,0.02,0.9999998211860657
56.979068756103516,55.278839111328125,1.7002298831939697,suppress_attn_ca,nan,55.278839111328125,236.25338745117188,180.97454833984375,0.7660188507445085,0.15742340683937073,0.0,2.5892317295074463,0.0,0.9490196108818054,20.949417114257812,0.266401469707489,0.21700230240821838,0.6820383071899414,0.8755291700363159,21.653268814086914,0.8155291676521301,0.017002299427986145,12.346731185913086,40,stage2,40,0.02,0.9999999403953552
57.009883880615234,54.338233947753906,2.6716513633728027,suppress_attn_ca,nan,54.338233947753906,236.25338745117188,181.91515350341797,0.7700001911761609,0.17162370681762695,0.01162371039390564,2.6431736946105957,0.0,0.9490196108818054,20.865093231201172,0.26537543535232544,0.21509280800819397,0.6800059080123901,0.8755291700363159,21.55999755859375,0.8155291676521301,0.015092805027961731,12.44000244140625,41,stage2,41,0.02,0.9999999403953552
55.49044418334961,53.846771240234375,1.6436725854873657,suppress_attn_ca,nan,53.846771240234375,236.25338745117188,182.4066162109375,0.7720804267775282,0.13736270368099213,0.0,2.684582233428955,0.0,0.9471036195755005,20.867250442504883,0.26671573519706726,0.2164367288351059,0.6805903911590576,0.8736132383346558,21.557100296020508,0.81361323595047,0.016436725854873657,12.442899703979492,42,stage2,42,0.02,0.9999998807907104
54.624488830566406,53.12186813354492,1.502619743347168,suppress_attn_ca,nan,53.12186813354492,236.25338745117188,183.13151931762695,0.7751487557209144,0.1293002963066101,0.0,2.735142946243286,0.0,0.9239383935928345,20.849191665649414,0.26534736156463623,0.21502619981765747,0.6809260845184326,0.8608744144439697,21.529922485351562,0.8008744120597839,0.015026196837425232,12.470077514648438,43,stage2,43,0.02,0.9999997019767761
53.81896209716797,52.45507049560547,1.3638927936553955,suppress_attn_ca,nan,52.45507049560547,236.25338745117188,183.7983169555664,0.7779711391166964,0.13795115053653717,0.0,2.7955477237701416,0.0,0.89882493019104,20.796497344970703,0.2643278241157532,0.21363893151283264,0.6802867650985718,0.8619245290756226,21.463220596313477,0.8019245266914368,0.013638928532600403,12.536779403686523,44,stage2,44,0.02,0.9999998211860657
52.88059616088867,51.66141891479492,1.2191786766052246,suppress_attn_ca,nan,51.66141891479492,236.25338745117188,184.59196853637695,0.7813304627199381,0.15132147073745728,0.0,2.8528714179992676,0.0,0.9147922992706299,20.722835540771484,0.2632002830505371,0.21219179034233093,0.6790000200271606,0.8645711541175842,21.376789093017578,0.8045711517333984,0.012191787362098694,12.623210906982422,45,stage2,45,0.02,0.9999997615814209
52.48601531982422,50.95094299316406,1.5350713729858398,suppress_attn_ca,nan,50.95094299316406,236.25338745117188,185.3024444580078,0.7843377250889388,0.1659480780363083,0.005948081612586975,2.9046671390533447,0.0,0.9406646490097046,20.64535140991211,0.260924369096756,0.2094026356935501,0.6775297522544861,0.8703661561012268,21.293764114379883,0.810366153717041,0.009402632713317871,12.706235885620117,46,stage2,46,0.02,0.9999998807907104
51.76567840576172,50.675376892089844,1.0903030633926392,suppress_attn_ca,nan,50.675376892089844,236.25338745117188,185.57801055908203,0.7855041257236437,0.13379524648189545,0.0,2.9497318267822266,0.0,0.9561368227005005,20.646753311157227,0.2614733576774597,0.21090303361415863,0.6779845952987671,0.8632047772407532,21.298114776611328,0.8032047748565674,0.010903030633926392,12.701885223388672,47,stage2,47,0.02,0.9999998807907104
51.118980407714844,50.07927703857422,1.039703130722046,suppress_attn_ca,nan,50.07927703857422,236.25338745117188,186.17411041259766,0.788027263528975,0.13374315202236176,0.0,2.9887962341308594,0.0,0.9692999124526978,20.627182006835938,0.2612689435482025,0.21039703488349915,0.6777346134185791,0.8616781234741211,21.276832580566406,0.8016781210899353,0.010397031903266907,12.723167419433594,48,stage2,48,0.02,0.9999998211860657
50.30421829223633,49.38283920288086,0.921379029750824,suppress_attn_ca,nan,49.38283920288086,236.25338745117188,186.87054824829102,0.7909751062803824,0.15030460059642792,0.0,3.014248847961426,0.0,0.9676719903945923,20.58037757873535,0.2605017423629761,0.20921379327774048,0.6764447689056396,0.8983422517776489,21.225936889648438,0.8383422493934631,0.00921379029750824,12.774063110351562,49,stage2,49,0.02,0.9999997615814209
50.56903839111328,48.74047088623047,1.8285677433013916,suppress_attn_ca,nan,48.74047088623047,236.25338745117188,187.5129165649414,0.7936940866242437,0.17047110199928284,0.010471105575561523,3.050502061843872,0.0,0.9647929668426514,20.513456344604492,0.26001670956611633,0.20781457424163818,0.6746906042098999,0.9312230348587036,21.15430450439453,0.8712230324745178,0.007814571261405945,12.845695495605469,50,stage2,50,0.02,0.9999999403953552
49.2825813293457,48.39811706542969,0.8844643831253052,suppress_attn_ca,nan,48.39811706542969,236.25338745117188,187.8552703857422,0.7951431825483033,0.13907456398010254,0.0,3.115434169769287,0.0,0.9717601537704468,20.54482650756836,0.2606779932975769,0.2088446468114853,0.6764525175094604,0.9457075595855713,21.183902740478516,0.8857075572013855,0.008844643831253052,12.816097259521484,51,stage2,51,0.02,0.9999998211860657
48.589298248291016,47.916259765625,0.6730392575263977,suppress_attn_ca,nan,47.916259765625,236.25338745117188,188.33712768554688,0.7971827609221976,0.1276003122329712,0.0,3.1812968254089355,0.0,0.9798588752746582,20.56011390686035,0.25947922468185425,0.20673039555549622,0.6780458688735962,0.9538062810897827,21.20073699951172,0.8938062787055969,0.006730392575263977,12.799263000488281,52,stage2,52,0.02,0.9999998807907104
50.417362213134766,47.398590087890625,3.018771171569824,suppress_attn_ca,nan,47.398590087890625,236.25338745117188,188.85479736328125,0.7993739239074961,0.13252772390842438,0.0,3.2258923053741455,0.025892257690429688,0.9857522249221802,20.550247192382812,0.2573353052139282,0.20429545640945435,0.67863529920578,0.9596996307373047,21.19226837158203,0.8996996283531189,0.004295453429222107,12.807731628417969,53,stage2,53,0.02,0.9999999403953552
48.44947814941406,47.917236328125,0.53224116563797,suppress_attn_ca,nan,47.917236328125,236.25338745117188,188.33615112304688,0.7971786273835825,0.15201666951179504,0.0,2.9169745445251465,0.0,0.9929220676422119,20.580995559692383,0.2578218877315521,0.20532241463661194,0.6773605346679688,0.9668694734573364,21.2309627532959,0.9068694710731506,0.0053224116563797,12.769037246704102,54,stage2,54,0.02,1.0
52.142120361328125,47.96583557128906,4.176285743713379,suppress_attn_ca,nan,47.96583557128906,236.25338745117188,188.2875518798828,0.7969729192509356,0.19453467428684235,0.03453467786312103,2.736024856567383,0.0,0.9950345754623413,20.531024932861328,0.25931987166404724,0.2072281837463379,0.6716989278793335,0.9689819812774658,21.17304229736328,0.90898197889328,0.007228180766105652,12.826957702636719,55,stage2,55,0.02,0.9999998211860657
48.678001403808594,47.805294036865234,0.8727073669433594,suppress_attn_ca,nan,47.805294036865234,236.25338745117188,188.44809341430664,0.7976524503939844,0.15921682119369507,0.0,2.5955893993377686,0.0,0.9997445344924927,20.566688537597656,0.26058584451675415,0.20872707664966583,0.6722995042800903,0.9736919403076172,21.215505599975586,0.9136919379234314,0.008727073669433594,12.784494400024414,56,stage2,56,0.02,0.9999998211860657
47.76604080200195,46.94051742553711,0.8255228400230408,suppress_attn_ca,nan,46.94051742553711,236.25338745117188,189.31287002563477,0.801312828010821,0.1523675173521042,0.0,2.520676612854004,0.0,1.0,20.563884735107422,0.2604406177997589,0.20825523138046265,0.6719149351119995,0.9739474058151245,21.215627670288086,0.9139474034309387,0.008255228400230408,12.784372329711914,57,stage2,57,0.02,0.9999998211860657
47.497596740722656,46.45720672607422,1.0403916835784912,suppress_attn_ca,nan,46.45720672607422,236.25338745117188,189.79618072509766,0.8033585582527326,0.1649470031261444,0.004947006702423096,2.4908900260925293,0.0,1.0,20.530338287353516,0.25806301832199097,0.2054569125175476,0.6711863875389099,0.9739474058151245,21.180898666381836,0.9139474034309387,0.005456909537315369,12.819101333618164,58,stage2,58,0.02,0.9999998807907104
46.84384536743164,46.31901168823242,0.5248323082923889,suppress_attn_ca,nan,46.31901168823242,236.25338745117188,189.93437576293945,0.8039435024066883,0.13620704412460327,0.0,2.464724540710449,0.0,1.0,20.58770751953125,0.25751227140426636,0.20524832606315613,0.6743720769882202,0.9739474058151245,21.238679885864258,0.9139474034309387,0.005248323082923889,12.761320114135742,59,stage2,59,0.02,0.9999998211860657
46.03272247314453,45.806243896484375,0.22647976875305176,suppress_attn_ca,nan,45.806243896484375,236.25338745117188,190.4471435546875,0.8061139169657346,0.12702348828315735,0.0,2.4591636657714844,0.0,1.0,20.619853973388672,0.25567466020584106,0.20226480066776276,0.6767856478691101,0.9739474058151245,21.268985748291016,0.9139474034309387,0.0022647976875305176,12.731014251708984,60,stage2,60,0.02,0.9999998807907104
