image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_attr_mod_color_174506,turn the color of mushroom to gray,0.29331,0.31159,0.01828,0.05078,0.06675,0.01597,0.38316,100,7.5,1.5,20260812,77.7
task_attr_mod_color_59806,turn the color of robot to be white,0.26515,0.25663,-0.00851,0.08497,0.10204,0.01707,0.20554,100,7.5,1.5,20260812,67.9
task_env_weather_126577,change the setting to spring with blossoms,0.19959,0.25609,0.0565,0.01077,0.07764,0.06686,0.44641,100,7.5,1.5,20260812,68.2
task_env_weather_226185,change the setting to spring with blooming flowers,0.15924,0.19849,0.03925,-0.04847,-0.0136,0.03487,0.27136,100,7.5,1.5,20260812,68.4
task_env_weather_9736,transform the setting to a cloudy day,0.18421,0.29099,0.10677,-0.00785,0.10797,0.11583,0.69682,100,7.5,1.5,20260812,68.4
task_obj_add_375217,Add bush,0.20308,0.20648,0.0034,0.01869,0.02882,0.01013,0.21864,100,7.5,1.5,20260812,68.3
task_obj_add_669258,Add person,0.19682,0.20269,0.00587,-0.05703,-0.05565,0.00138,0.18282,100,7.5,1.5,20260812,68.3
task_obj_remove_197959,Remove car,0.1788,0.23128,0.05248,-0.02622,0.02529,0.0515,0.57687,100,7.5,1.5,20260812,68.4
task_obj_remove_483219,Remove the lamp,0.1976,0.18609,-0.01151,-0.02382,-0.01748,0.00634,0.22083,100,7.5,1.5,20260812,68.4
task_obj_remove_869495,Remove child,0.23817,0.2476,0.00943,0.05483,0.05486,3e-05,0.2388,100,7.5,1.5,20260812,68.2
task_obj_swap_joint_mask_698465,Replace the snowball with grey furry centre,0.28819,0.2591,-0.02909,0.07475,0.08426,0.00952,0.33354,100,7.5,1.5,20260812,68.3
task_obj_swap_rand_mask_392115,Replace the samurai warrior with woman,0.28184,0.25877,-0.02306,0.10636,0.14164,0.03528,0.12199,100,7.5,1.5,20260812,67.4
