image,condition,budget_target,purifier,reference,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,dct_shield,native,identity,orig,0.62038,0.00483,0.62038,0.00483,1.0,0.68806,True,0.8,True,493.9
task_attr_mod_color_11699,dct_shield,native,blur1,orig,0.27527,0.00438,0.62038,0.00483,0.44372,0.95194,False,0.8,True,493.9
task_attr_mod_color_11699,dct_shield,native,jpeg75,orig,0.19092,0.00345,0.62038,0.00483,0.30775,0.97046,False,0.8,True,493.9
task_attr_mod_color_11699,dct_shield,native,jpeg30,orig,0.25897,0.00252,0.62038,0.00483,0.41744,0.96562,False,0.8,True,493.9
task_attr_mod_color_11699,dct_shield,native,blur2,orig,0.33136,0.00509,0.62038,0.00483,0.53413,0.92925,False,0.8,True,493.9
task_attr_mod_color_11699,dct_shield,native,crop_resize0.1,purified_orig,0.44847,0.01878,0.62038,0.00483,0.7229,0.90382,False,0.8,True,493.9
task_attr_mod_color_6205,dct_shield,native,identity,orig,0.71486,0.0189,0.71486,0.0189,1.0,0.476,True,0.8,True,488.1
task_attr_mod_color_6205,dct_shield,native,blur1,orig,0.31467,0.04899,0.71486,0.0189,0.44018,0.8981,False,0.8,True,488.1
task_attr_mod_color_6205,dct_shield,native,jpeg75,orig,0.147,0.00156,0.71486,0.0189,0.20564,0.95898,False,0.8,True,488.1
task_attr_mod_color_6205,dct_shield,native,jpeg30,orig,0.19676,0.01569,0.71486,0.0189,0.27524,0.95173,False,0.8,True,488.1
task_attr_mod_color_6205,dct_shield,native,blur2,orig,0.33819,0.0603,0.71486,0.0189,0.47309,0.91813,False,0.8,True,488.1
task_attr_mod_color_6205,dct_shield,native,crop_resize0.1,purified_orig,0.49116,0.01417,0.71486,0.0189,0.68707,0.90305,False,0.8,True,488.1
