image,condition,budget_target,purifier,reference,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,phase,native,identity,orig,0.39427,0.00162,0.39427,0.00162,1.0,0.89153,False,0.8,True,493.5
task_attr_mod_color_11699,phase,native,blur1,orig,0.19521,0.00806,0.39427,0.00162,0.49511,0.9719,False,0.8,True,493.5
task_attr_mod_color_11699,phase,native,jpeg75,orig,0.42771,0.00369,0.39427,0.00162,1.0848,0.90414,False,0.8,True,493.5
task_attr_mod_color_11699,phase,native,jpeg30,orig,0.32166,0.00236,0.39427,0.00162,0.81582,0.9138,False,0.8,True,493.5
task_attr_mod_color_11699,phase,native,blur2,orig,0.29882,0.00725,0.39427,0.00162,0.7579,0.8971,False,0.8,True,493.5
task_attr_mod_color_11699,phase,native,crop_resize0.1,purified_orig,0.39204,0.03773,0.39427,0.00162,0.99434,0.92965,False,0.8,True,493.5
task_attr_mod_color_6205,phase,native,identity,orig,0.48492,0.01491,0.48492,0.01491,1.0,0.88638,False,0.8,True,487.1
task_attr_mod_color_6205,phase,native,blur1,orig,0.24065,0.06838,0.48492,0.01491,0.49625,0.94941,False,0.8,True,487.1
task_attr_mod_color_6205,phase,native,jpeg75,orig,0.50639,0.01254,0.48492,0.01491,1.04427,0.87231,False,0.8,True,487.1
task_attr_mod_color_6205,phase,native,jpeg30,orig,0.33761,0.039,0.48492,0.01491,0.69622,0.9122,False,0.8,True,487.1
task_attr_mod_color_6205,phase,native,blur2,orig,0.32233,0.07193,0.48492,0.01491,0.6647,0.91589,False,0.8,True,487.1
task_attr_mod_color_6205,phase,native,crop_resize0.1,purified_orig,0.37869,0.00979,0.48492,0.01491,0.78094,0.91227,False,0.8,True,487.1
