image,condition,budget_target,purifier,reference,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,phase_gain,native,identity,orig,0.43232,0.00302,0.43232,0.00302,1.0,0.8629,False,0.8,True,469.3
task_attr_mod_color_11699,phase_gain,native,blur1,orig,0.2051,0.00567,0.43232,0.00302,0.47442,0.94541,False,0.8,True,469.3
task_attr_mod_color_11699,phase_gain,native,jpeg75,orig,0.31296,0.00362,0.43232,0.00302,0.72391,0.92606,False,0.8,True,469.3
task_attr_mod_color_11699,phase_gain,native,jpeg30,orig,0.30394,0.00292,0.43232,0.00302,0.70304,0.962,False,0.8,True,469.3
task_attr_mod_color_11699,phase_gain,native,blur2,orig,0.31083,0.00598,0.43232,0.00302,0.71899,0.89092,False,0.8,True,469.3
task_attr_mod_color_11699,phase_gain,native,crop_resize0.1,purified_orig,0.39457,0.03503,0.43232,0.00302,0.91268,0.89443,False,0.8,True,469.3
task_attr_mod_color_6205,phase_gain,native,identity,orig,0.64254,0.05363,0.64254,0.05363,1.0,0.82919,True,0.8,True,460.8
task_attr_mod_color_6205,phase_gain,native,blur1,orig,0.21718,0.05734,0.64254,0.05363,0.338,0.94449,False,0.8,True,460.8
task_attr_mod_color_6205,phase_gain,native,jpeg75,orig,0.32753,0.04158,0.64254,0.05363,0.50973,0.90928,False,0.8,True,460.8
task_attr_mod_color_6205,phase_gain,native,jpeg30,orig,0.24571,0.03457,0.64254,0.05363,0.3824,0.94124,False,0.8,True,460.8
task_attr_mod_color_6205,phase_gain,native,blur2,orig,0.33214,0.07163,0.64254,0.05363,0.51692,0.91453,False,0.8,True,460.8
task_attr_mod_color_6205,phase_gain,native,crop_resize0.1,purified_orig,0.43047,0.0106,0.64254,0.05363,0.66995,0.87978,False,0.8,True,460.8
