image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.17268,0.95778,29.732,0.54176,0.06782,0.20588,0.81522,23.178,0.37483,0.13504,0.41079,0.03261,123.1
task_attr_mod_color_22137,phase,instruct-pix2pix,turn the color of ring to be gray,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.22611,0.96683,27.799,0.43569,0.08653,0.23377,0.85004,21.655,0.24159,0.23989,0.60934,0.04074,123.5
task_attr_mod_color_59806,phase,instruct-pix2pix,turn the color of robot to be white,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.14942,0.9362,26.637,0.50524,0.06577,0.19647,0.78757,20.937,0.3692,0.12911,0.53979,0.04658,124.0
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.17485,0.95241,31.72,0.60407,0.02881,0.28331,0.7703,20.933,0.30263,0.1232,0.32413,0.02594,124.4
task_env_weather_137230,phase,instruct-pix2pix,change the setting to a summer day,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.2312,0.95574,29.892,0.5905,0.06024,0.2718,0.8223,23.086,0.3883,0.10407,0.36931,0.03202,124.5
task_env_weather_226185,phase,instruct-pix2pix,change the setting to spring with blooming flowers,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.28276,0.94247,28.586,0.52689,0.05225,0.32186,0.67517,18.629,0.22576,0.14742,0.39971,0.03722,124.5
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.17,0.95934,27.39,0.51763,0.05971,0.20265,0.85121,22.003,0.32644,0.09664,0.5187,0.04271,124.5
task_obj_add_166344,phase,instruct-pix2pix,Add mountain,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.22927,0.95017,28.026,0.53713,0.05891,0.26435,0.77035,19.922,0.37763,0.17272,0.49535,0.03969,124.3
task_obj_add_375217,phase,instruct-pix2pix,Add bush,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.3024,0.94649,31.011,0.56381,0.04292,0.37751,0.70818,23.292,0.24002,0.1202,0.29868,0.02815,124.5
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.11934,0.97654,36.699,0.73423,0.03381,0.13665,0.90833,28.759,0.62231,0.0896,0.35793,0.01462,124.3
task_obj_add_709390,phase,instruct-pix2pix,Add glasses,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.4245,0.95626,34.733,0.5588,0.07855,0.37848,0.80143,23.29,0.30296,0.19514,0.19965,0.01834,124.2
task_obj_remove_197959,phase,instruct-pix2pix,Remove car,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.14678,0.97196,32.669,0.72429,0.02958,0.4947,0.63865,18.003,0.24804,0.35096,0.49109,0.02326,122.6
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.23419,0.95691,29.169,0.61451,0.06264,0.40226,0.70717,17.351,0.25604,0.17788,0.66905,0.0348,122.3
task_obj_remove_571780,phase,instruct-pix2pix,Remove the house,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.23514,0.95044,30.111,0.52146,0.04797,0.30557,0.70704,19.602,0.23423,0.20143,0.38901,0.03122,122.4
task_obj_remove_869495,phase,instruct-pix2pix,Remove child,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.34872,0.90191,23.206,0.42716,0.07741,0.42737,0.52519,18.035,0.18673,0.13473,0.62355,0.06913,81.9
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.25508,0.93289,26.176,0.48533,0.07175,0.30502,0.68198,17.372,0.26937,0.14962,0.5924,0.04911,81.8
task_obj_swap_rand_mask_11376,phase,instruct-pix2pix,Replace the glass dome with house,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.30499,0.92751,24.765,0.39685,0.05862,0.48942,0.44074,14.309,0.09071,0.25928,0.53099,0.05778,82.1
task_obj_swap_rand_mask_392115,phase,instruct-pix2pix,Replace the samurai warrior with woman,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.16979,0.96752,31.54,0.61586,0.03775,0.19125,0.89375,26.275,0.45162,0.08039,0.44542,0.02649,82.4
